ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-3,BUY_ZUAI-2,SELL_UEBR-1,SELL_GIOT-4,BUY_WRSW-1,BUY_WRSW-2,BUY_GIOT-4,BUY_UEBR-1,SELL_IESE-1,BUY_LUIS-4,SELL_GIOT-3,SELL_WRSW-2,SELL_WRSW-3,SELL_WRSW-1,BUY_WRSW-3,BUY_IESE-1,SELL_LUIS-4,tick,timestamp
SPNG,24.75,24.75,0.0,1936800.0,1506100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 00:28:18.811976
SMMR,0.0,0.0,0.0,1820900.0,2004500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 00:28:18.811976
ATMN,0.0,0.0,0.0,2361800.0,2488400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 00:28:18.811976
WNTR,0.0,0.0,0.0,1962500.0,2192300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 00:28:18.811976
SPNG,24.75,24.75,25.02,1936800.0,1597000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 00:28:19.351042,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.
SMMR,0.0,0.0,25.03,1820900.0,2022800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 00:28:19.351042,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,0.0,0.0,0.0,2361800.0,2488800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 00:28:19.351042,,,,,,
WNTR,0.0,0.0,25.01,1962500.0,2180200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 00:28:19.351042,,,,,,
SPNG,25.15,24.94,25.15,1967500.0,1506100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 00:28:20.397449
SMMR,25.03,24.96,25.03,1923300.0,2022800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 00:28:20.397449
ATMN,25.09,25.06,25.09,2396200.0,2488800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 00:28:20.397449
WNTR,25.01,24.92,25.01,1940600.0,2180200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 00:28:20.397449
SPNG,25.15,24.81,25.15,1938400.0,1506100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 00:28:21.438849
SMMR,24.97,24.97,25.0,1932800.0,2021900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 00:28:21.438849
ATMN,25.09,25.18,25.24,2385400.0,2472000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 00:28:21.438849
WNTR,25.01,24.97,25.0,2210300.0,2146700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 00:28:21.438849
SPNG,25.12,25.12,25.15,1953600.0,1586400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 00:28:22.472266
SMMR,24.97,24.97,25.0,1949700.0,2021900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 00:28:22.472266
ATMN,25.06,25.06,25.22,2396200.0,2429000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 00:28:22.472266
WNTR,25.03,24.97,25.03,2213800.0,2192300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 00:28:22.472266
SPNG,25.12,25.12,25.15,1953600.0,1954800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 00:28:23.510309
SMMR,24.97,24.97,25.0,1949900.0,2024800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 00:28:23.510309
