ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-3,BUY_ZUAI-2,SELL_UEBR-1,SELL_GIOT-4,BUY_WRSW-1,BUY_WRSW-2,BUY_GIOT-4,BUY_UEBR-1,SELL_IESE-1,BUY_LUIS-4,SELL_GIOT-3,SELL_WRSW-2,SELL_WRSW-3,SELL_WRSW-1,BUY_LUIS-1,BUY_WRSW-3,SELL_LUIS-1,BUY_IESE-1,SELL_LUIS-4,tick,timestamp
SPNG,0.0,0.0,0.0,2074100.0,1556800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 10:04:17.991724
SMMR,0.0,0.0,0.0,2404200.0,2035500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 10:04:17.991724
ATMN,0.0,0.0,0.0,2148400.0,2346000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 10:04:17.991724
WNTR,0.0,0.0,0.0,2342100.0,2370100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 10:04:17.991724
SPNG,25.1,24.99,25.03,2038800.0,1634700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 10:04:19.088380,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.
SMMR,25.05,24.88,25.05,2404200.0,2248500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 10:04:19.088380,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,24.84,24.84,25.04,2033200.0,2318900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 10:04:19.088380,,,,,,
WNTR,24.94,24.94,25.0,2218000.0,2392800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 10:04:19.088380,,,,,,
SPNG,25.1,24.99,25.03,2046000.0,1820200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 10:04:20.139857
SMMR,25.13,25.17,25.19,2435400.0,2110900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 10:04:20.139857
ATMN,25.04,24.84,25.04,2161100.0,2318900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 10:04:20.139857
WNTR,25.12,24.94,25.01,2352700.0,2389400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 10:04:20.139857
SPNG,25.1,24.99,25.1,2064900.0,1730500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 10:04:21.181224
SMMR,25.19,25.01,25.19,2422300.0,2233400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 10:04:21.181224
ATMN,24.8,24.8,25.16,2178700.0,2335800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 10:04:21.181224
WNTR,25.18,24.94,25.18,2352700.0,2258600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 10:04:21.181224
SPNG,25.21,24.95,25.21,2028000.0,1726500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 10:04:22.218979
SMMR,25.19,25.01,25.19,2452200.0,2233400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 10:04:22.218979
ATMN,25.16,25.16,25.18,2419300.0,2356100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 10:04:22.218979
WNTR,25.18,25.11,25.18,2374000.0,2348900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-04 10:04:22.218979
SPNG,25.21,24.95,25.21,2028000.0,1943600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 10:04:22.752870
SMMR,25.08,25.01,25.08,2452200.0,2345300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 10:04:22.752870
ATMN,25.16,25.16,25.18,2419300.0,2380100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 10:04:22.752870
WNTR,25.11,24.94,25.06,2352700.0,2378000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-04 10:04:22.752870
SPNG,24.72,24.72,25.21,2046800.0,1943600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 10:04:23.790010
SMMR,25.19,25.01,25.14,2452200.0,2365700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 10:04:23.790010
ATMN,25.16,24.8,24.95,2280700.0,2406200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 10:04:23.790010
WNTR,25.06,25.12,25.18,2376800.0,2419500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 10:04:23.790010
SPNG,25.29,24.72,25.29,2046800.0,1833100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 10:04:24.822200
SMMR,24.95,25.05,25.14,2438100.0,2366600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 10:04:24.822200
ATMN,25.18,24.95,25.18,2450100.0,2414500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 10:04:24.822200
WNTR,25.12,25.05,25.12,2369200.0,2385300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 10:04:24.822200
