ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_WRSW-1,BUY_BRCH-1,SELL_CALG-1,SELL_GIOT-3,BUY_GIOT-3,SELL_WRSW-1,BUY_WRSW-3,SELL_WRSW-3,SELL_COLA-1,BUY_CALG-1,BUY_COLA-1,SELL_BRCH-1,SELL_LUIS-1,BUY_LUIS-1,tick,timestamp
SPNG,24.6,24.6,0.0,1919000.0,2145800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 13:28:27.367358
SMMR,25.0,25.0,0.0,2017400.0,1534000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 13:28:27.367358
ATMN,25.08,0.0,25.08,2118400.0,2249200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 13:28:27.367358
WNTR,25.03,0.0,25.03,2457700.0,2184600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-04 13:28:27.367358
SPNG,24.6,24.6,25.05,2004600.0,2156000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 13:28:27.979449,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.
SMMR,25.0,25.09,25.12,2048700.0,1534000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 13:28:27.979449,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,24.96,24.96,25.08,2251300.0,2249200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 13:28:27.979449,,,,,,
WNTR,25.03,25.08,25.13,2453600.0,2076000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-04 13:28:27.979449,,,,,,
SPNG,24.58,24.58,25.53,2004800.0,2145800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 13:28:29.017140
SMMR,25.09,25.0,25.02,2017400.0,1918200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 13:28:29.017140
ATMN,24.7,25.03,25.08,2164900.0,2249200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 13:28:29.017140
WNTR,25.13,25.08,25.13,2453600.0,2278100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-04 13:28:29.017140
SPNG,24.56,24.74,25.53,1975200.0,2151800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-04 13:28:30.061368
