ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_WRSW-1,BUY_UEBR-1,BUY_BRCH-1,BUY_LAVL-1,SELL_CALG-1,SELL_GIOT-3,SELL_CHUL-4,SELL_LAVL-1,BUY_GIOT-3,BUY_CHUL-4,SELL_UEBR-1,SELL_WRSW-1,BUY_WRSW-3,SELL_WRSW-3,SELL_COLA-1,BUY_CALG-1,BUY_COLA-1,SELL_BRCH-1,BUY_WRSW-4,SELL_LUIS-1,SELL_WRSW-4,BUY_LUIS-1,tick,timestamp
SPNG,0.0,0.0,0.0,2338200.0,1881600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 00:22:49.520969
SMMR,0.0,0.0,0.0,2069000.0,1706400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 00:22:49.520969
ATMN,25.0,25.0,0.0,2005900.0,2246400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 00:22:49.520969
WNTR,0.0,0.0,24.86,1715000.0,2224000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 00:22:49.520969
SPNG,24.91,24.91,25.23,2338200.0,1752800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 00:22:50.182782,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.
SMMR,0.0,24.98,25.02,2069000.0,1825700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 00:22:50.182782,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,25.05,25.0,25.05,2005900.0,2253300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 00:22:50.182782,,,,,,
WNTR,25.04,24.86,25.04,1837200.0,2245600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 00:22:50.182782,,,,,,
SPNG,24.91,24.86,24.87,2391500.0,1869100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 00:22:51.233662
SMMR,24.98,24.89,24.9,2100900.0,2026900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 00:22:51.233662
ATMN,25.1,24.93,25.1,2019500.0,2016600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 00:22:51.233662
WNTR,25.04,25.07,25.22,1934100.0,2223100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 00:22:51.233662
SPNG,24.86,24.86,25.08,2391500.0,1769700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 00:22:52.337844
SMMR,24.98,24.89,24.9,2087700.0,2028800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 00:22:52.337844
ATMN,24.73,24.73,25.29,1809100.0,1761300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 00:22:52.337844
WNTR,25.07,24.86,24.93,1948100.0,2224000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 00:22:52.337844
SPNG,24.8,24.8,25.08,2379800.0,1769700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 00:22:53.021033
SMMR,25.02,24.89,25.02,2087700.0,2004900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 00:22:53.021033
ATMN,25.29,24.73,25.29,1809100.0,1761300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 00:22:53.021033
WNTR,25.07,24.86,25.07,2082900.0,2248300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 00:22:53.021033
SPNG,25.08,25.02,25.08,2375700.0,1769700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 00:22:54.082165
SMMR,25.04,25.02,25.04,2075400.0,1999000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 00:22:54.082165
ATMN,25.01,24.73,24.86,1809100.0,1878200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 00:22:54.082165
WNTR,25.04,24.92,24.94,2179800.0,2245600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 00:22:54.082165
SPNG,25.02,25.02,25.18,2375700.0,1828800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 00:22:55.131220
SMMR,24.89,24.89,25.04,2074600.0,2007700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 00:22:55.131220
ATMN,24.86,24.88,25.25,2144200.0,1771200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 00:22:55.131220
WNTR,24.94,24.96,25.07,2203200.0,2248300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 00:22:55.131220
SPNG,24.71,24.71,25.18,2381000.0,2047500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 00:22:56.174831
SMMR,24.81,24.81,25.04,2085700.0,2042100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 00:22:56.174831
ATMN,25.34,24.73,25.34,2047600.0,1526700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 00:22:56.174831
WNTR,24.94,25.03,25.07,2310500.0,2252900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 00:22:56.174831
SPNG,24.68,24.68,25.18,2351900.0,2052600.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 00:22:57.229715
SMMR,25.05,24.92,25.05,2072800.0,2016200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 00:22:57.229715
ATMN,25.54,24.73,25.54,2152700.0,1498900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 00:22:57.229715
WNTR,25.03,25.03,25.21,2310500.0,2248200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 00:22:57.229715
SPNG,24.64,24.64,25.18,2354800.0,2052600.0,7000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 00:22:58.270821
SMMR,25.07,24.92,24.98,2072800.0,2056000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 00:22:58.270821
ATMN,24.84,25.1,25.3,2045000.0,1498900.0,7000.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 00:22:58.270821
WNTR,25.21,25.03,25.21,2310500.0,2241800.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 00:22:58.270821
SPNG,24.64,25.02,25.18,2257600.0,7000.0,2052600.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 00:22:59.313365
SMMR,24.95,24.81,24.88,2085700.0,,2087000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 00:22:59.313365
ATMN,24.84,25.1,25.24,2048200.0,7000.0,1609300.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 00:22:59.313365
WNTR,25.21,25.03,25.16,2310500.0,,2252600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 00:22:59.313365
SPNG,25.32,25.02,25.32,2143500.0,14000.0,2086900.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 00:23:00.348485
SMMR,24.98,25.05,25.07,2098000.0,,2065900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 00:23:00.348485
ATMN,25.05,24.73,25.0,2062900.0,7000.0,1740900.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 00:23:00.348485
WNTR,24.78,24.78,25.08,1855200.0,,2244100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 00:23:00.348485
SPNG,25.06,25.02,25.06,2253300.0,7000.0,2032400.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 00:23:01.384066
SMMR,25.05,25.05,25.07,2095200.0,,2040600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 00:23:01.384066
ATMN,25.54,24.97,25.54,2072100.0,7000.0,1498900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 00:23:01.384066
WNTR,24.78,25.0,25.06,2088000.0,,2247600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 00:23:01.384066
