ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_UEBR-2,BUY_GIOT-3,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,SELL_DUBL-5,SELL_BRCH-3,BUY_LAVL-1,BUY_BRCH-3,BUY_UEBR-1,SELL_BABS-4,SELL_LETH-1,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,SELL_COLA-3,SELL_CNCD-1,BUY_CNCD-1,BUY_COLA-1,SELL_UOTB-3,SELL_HECM-3,SELL_NAIT-1,BUY_LETH-1,BUY_WRSW-2,SELL_WRSW-1,BUY_CNCD-5,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_BRCH-2,SELL_UOTB-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,SELL_GIOT-3,BUY_UOTB-3,BUY_DUBL-5,BUY_BABS-4,BUY_CAMN-1,SELL_CNCD-5,BUY_COLB-2,SELL_WRSW-2,SELL_UEBR-2,SELL_CAMN-1,BUY_HECM-3,SELL_BRCH-2,tick,timestamp
SPNG,24.91,24.91,0.0,2163600.0,2364100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 09:11:39.831945
SMMR,25.03,0.0,25.03,1952400.0,2184900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 09:11:39.831945
ATMN,0.0,0.0,0.0,1893000.0,2056300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 09:11:39.831945
WNTR,0.0,0.0,0.0,2310400.0,2202700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 09:11:39.831945
SPNG,24.91,24.91,25.08,2163600.0,2346100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 09:11:40.556752,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.
SMMR,25.03,24.99,25.03,1983900.0,2184900.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 09:11:40.556752,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,24.99,24.99,25.02,1893000.0,2056300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 09:11:40.556752,,,,,,
WNTR,0.0,24.99,25.01,2327700.0,2202700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-06 09:11:40.556752,,,,,,
SPNG,24.92,24.92,24.99,4500.0,679.0,4500.0,1681600.0,2250.0,679.0,2106000.0,2250.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 09:11:41.667081
SMMR,24.98,25.01,25.09,4125.0,,1500.0,1868800.0,,630.0,1882400.0,,4125.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 09:11:41.667081
ATMN,25.02,24.99,25.02,4500.0,710.0,,1799700.0,1875.0,710.0,1824200.0,,4500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 09:11:41.667081
WNTR,24.96,24.99,25.05,4125.0,770.0,1500.0,1944800.0,,770.0,1978200.0,,4125.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 09:11:41.667081
SPNG,24.9,24.67,25.03,2250.0,6000.0,1788200.0,1500.0,2250.0,2099600.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 09:11:42.754535
SMMR,25.24,25.24,25.26,,6000.0,1425000.0,1500.0,,2052800.0,4125.0,740.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 09:11:42.754535
ATMN,24.76,24.76,25.02,,,2109900.0,,1875.0,1622300.0,,,710.0,8625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 09:11:42.754535
WNTR,25.06,25.0,25.04,,3000.0,1963200.0,1500.0,,2086700.0,,770.0,770.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 09:11:42.754535
SPNG,25.21,24.79,24.85,2000.0,7500.0,6996.0,2250.0,1462400.0,1500.0,2114500.0,2250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 09:11:43.820821
SMMR,25.24,25.19,25.2,,10500.0,,,1333600.0,1500.0,2098300.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 09:11:43.820821
ATMN,24.89,24.91,25.01,,4500.0,,3750.0,1560300.0,4500.0,1622300.0,1875.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 09:11:43.820821
WNTR,24.89,24.91,25.0,,3000.0,,,2078400.0,6000.0,1727500.0,,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 09:11:43.820821
SPNG,25.05,25.07,25.19,7500.0,5000.0,5000.0,587.0,6750.0,820600.0,2000.0,6996.0,5000.0,5000.0,6750.0,1729000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 09:11:44.886265
SMMR,25.19,25.02,25.16,4500.0,,,,,1769900.0,,,,,,2014600.0,2000.0,8231.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 09:11:44.886265
ATMN,24.9,24.9,25.23,3000.0,,,,1875.0,1682100.0,,1093.0,,,,1913700.0,,,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 09:11:44.886265
WNTR,25.01,25.02,25.03,9000.0,,,,,1539200.0,,8231.0,,,,1862300.0,,8231.0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 09:11:44.886265
SPNG,25.07,25.09,25.17,5000.0,5000.0,2250.0,1500.0,1913400.0,5000.0,5652.0,5000.0,599.0,9000.0,1370500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 09:11:45.446038
SMMR,24.96,24.97,25.12,,5000.0,,,1984500.0,5000.0,8975.0,5000.0,740.0,,1436200.0,1500.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 09:11:45.446038
ATMN,25.24,24.92,24.96,,,3750.0,4500.0,1239800.0,,,,710.0,1875.0,1599900.0,3000.0,,710.0,4375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 09:11:45.446038
WNTR,24.93,25.02,25.03,,,,6000.0,1635300.0,,14880.0,,770.0,,1723200.0,1500.0,2000.0,770.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 09:11:45.446038
SPNG,25.08,25.09,25.12,7500.0,5000.0,6073.0,679.0,2000.0,1301300.0,15750.0,348600.0,679.0,5060.0,4554.0,2797.0,2000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 09:11:46.572905
SMMR,24.96,25.07,25.09,4500.0,5000.0,100.0,630.0,2000.0,1225900.0,,543000.0,740.0,8500.0,100.0,8500.0,2000.0,5000.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 09:11:46.572905
ATMN,25.17,25.17,25.21,4500.0,,,,,1424200.0,5625.0,1313400.0,609.0,,7145.0,,,,3000.0,5625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 09:11:46.572905
WNTR,25.08,24.99,25.08,3000.0,8500.0,,770.0,,1381900.0,,2349300.0,,,,,,5000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 09:11:46.572905
SPNG,24.67,24.68,24.91,3000.0,5000.0,5000.0,1896100.0,9610.0,7797.0,1500.0,218200.0,13500.0,11006.0,2000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 09:11:47.695061
SMMR,25.1,25.01,25.08,3000.0,,,1799400.0,5000.0,7000.0,6000.0,771800.0,,100.0,4000.0,630.0,740.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 09:11:47.695061
ATMN,24.76,24.92,25.19,1500.0,,,1781800.0,,,4500.0,890800.0,9375.0,7592.0,2000.0,,609.0,3750.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 09:11:47.695061
WNTR,25.07,25.01,25.07,4500.0,12000.0,3500.0,948400.0,,,,2362200.0,,,,770.0,,,2384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 09:11:47.695061
