news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CALG-1,BUY_CALG-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,2,2026-02-01 02:40:25.919004,SPNG,25.01,24.75,25.01,1987300.0,2187900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 02:40:25.919004,SMMR,24.94,24.94,24.99,2184400.0,2178000.0,0,0
,,,,,,2,2026-02-01 02:40:25.919004,ATMN,0.0,25.16,25.17,2367100.0,2354700.0,0,0
,,,,,,2,2026-02-01 02:40:25.919004,WNTR,24.97,24.94,24.97,2155400.0,2125400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,3,2026-02-01 02:40:26.951351,SPNG,25.25,24.75,25.25,2102200.0,2179700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 02:40:26.951351,SMMR,24.94,24.94,24.96,2263800.0,2162900.0,0,0
,,,,,,3,2026-02-01 02:40:26.951351,ATMN,24.89,25.02,25.17,2361300.0,2350600.0,0,0
,,,,,,3,2026-02-01 02:40:26.951351,WNTR,25.03,24.94,25.03,2188000.0,2154200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,4,2026-02-01 02:40:27.983515,SPNG,25.25,24.75,25.25,2102200.0,2204900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 02:40:27.983515,SMMR,24.96,24.94,24.96,2249200.0,2162900.0,0,0
,,,,,,4,2026-02-01 02:40:27.983515,ATMN,24.82,24.82,25.17,2390000.0,2350200.0,0,0
,,,,,,4,2026-02-01 02:40:27.983515,WNTR,24.94,24.94,25.03,2188000.0,2153400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,5,2026-02-01 02:40:29.009688,SPNG,25.25,25.0,25.15,2227900.0,2189900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 02:40:29.009688,SMMR,24.99,24.92,24.99,2276900.0,2178000.0,0,0
,,,,,,5,2026-02-01 02:40:29.009688,ATMN,24.95,24.95,25.17,2392100.0,2350200.0,0,0
,,,,,,5,2026-02-01 02:40:29.009688,WNTR,24.92,24.92,24.94,2173200.0,2155500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,6,2026-02-01 02:40:30.042043,SPNG,25.25,25.0,25.13,2227900.0,2185800.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 02:40:30.042043,SMMR,25.08,24.92,25.08,2251100.0,2188400.0,0,0
,,,,,,6,2026-02-01 02:40:30.042043,ATMN,25.17,24.81,25.17,2402400.0,2341300.0,0,0
,,,,,,6,2026-02-01 02:40:30.042043,WNTR,24.84,24.84,24.94,2162000.0,2188600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,7,2026-02-01 02:40:31.070413,SPNG,25.13,25.0,25.13,2234300.0,2193400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 02:40:31.070413,SMMR,25.09,24.92,24.98,2251100.0,2214800.0,0,0
