news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_COLA-6,BUY_COLA-6
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,2,2026-02-01 05:11:50.415078,SPNG,24.86,24.86,24.95,1714600.0,2101600.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 05:11:50.415078,SMMR,25.1,25.0,25.1,2440900.0,1945300.0,0,0
,,,,,,2,2026-02-01 05:11:50.415078,ATMN,24.63,24.63,25.27,2280400.0,1907300.0,0,0
,,,,,,2,2026-02-01 05:11:50.415078,WNTR,25.02,24.93,25.02,2365000.0,2291800.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,3,2026-02-01 05:11:51.452175,SPNG,24.95,25.06,25.2,1930400.0,2094300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 05:11:51.452175,SMMR,24.98,24.89,24.92,2391800.0,2135500.0,0,0
,,,,,,3,2026-02-01 05:11:51.452175,ATMN,24.63,24.81,25.17,2304100.0,2010600.0,0,0
,,,,,,3,2026-02-01 05:11:51.452175,WNTR,25.02,24.93,25.02,2369100.0,2268700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,4,2026-02-01 05:11:52.482766,SPNG,24.86,24.86,25.2,1824100.0,2045300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 05:11:52.482766,SMMR,25.11,24.93,25.11,2373600.0,2023700.0,0,0
,,,,,,4,2026-02-01 05:11:52.482766,ATMN,24.81,24.81,25.1,2304100.0,2103400.0,0,0
,,,,,,4,2026-02-01 05:11:52.482766,WNTR,24.98,24.98,25.09,2359900.0,2283400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,5,2026-02-01 05:11:53.508323,SPNG,24.8,24.87,25.2,1914700.0,2068300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 05:11:53.508323,SMMR,24.93,24.89,24.91,2379900.0,2271500.0,0,0
,,,,,,5,2026-02-01 05:11:53.508323,ATMN,24.58,24.58,25.17,2341900.0,2108800.0,0,0
,,,,,,5,2026-02-01 05:11:53.508323,WNTR,25.04,24.98,25.04,2359900.0,2277300.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,6,2026-02-01 05:11:54.539,SPNG,24.79,24.79,25.2,1705900.0,2092800.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 05:11:54.539,SMMR,24.95,24.98,25.08,2382900.0,2138400.0,0,0
,,,,,,6,2026-02-01 05:11:54.539,ATMN,25.3,25.25,25.3,2328500.0,1910000.0,0,0
,,,,,,6,2026-02-01 05:11:54.539,WNTR,24.93,24.93,24.98,2354200.0,2253300.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,7,2026-02-01 05:11:55.571430,SPNG,24.72,24.72,25.2,1591100.0,2092400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 05:11:55.571430,SMMR,24.95,24.98,25.06,2352600.0,2256800.0,0,0
,,,,,,7,2026-02-01 05:11:55.571430,ATMN,25.3,25.25,25.3,2328500.0,2143800.0,0,0
,,,,,,7,2026-02-01 05:11:55.571430,WNTR,25.12,24.93,25.12,2354200.0,2280500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,8,2026-02-01 05:11:56.602371,SPNG,24.72,24.98,25.2,1781300.0,2090900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 05:11:56.602371,SMMR,25.08,24.98,25.08,2384000.0,2271800.0,0,0
,,,,,,8,2026-02-01 05:11:56.602371,ATMN,25.25,24.58,25.22,2341900.0,2171100.0,0,0
,,,,,,8,2026-02-01 05:11:56.602371,WNTR,25.12,25.02,25.12,2352900.0,2280500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,9,2026-02-01 05:11:57.634645,SPNG,24.72,24.98,25.2,1975900.0,2091300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 05:11:57.634645,SMMR,24.93,25.03,25.06,2354600.0,2273200.0,0,0
,,,,,,9,2026-02-01 05:11:57.634645,ATMN,25.25,24.58,25.22,2345900.0,2171100.0,0,0
,,,,,,9,2026-02-01 05:11:57.634645,WNTR,24.97,24.97,25.17,2369100.0,2251700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,10,2026-02-01 05:11:58.673249,SPNG,25.2,24.98,25.2,1975900.0,2051900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 05:11:58.673249,SMMR,25.03,24.89,24.94,2350100.0,2226200.0,0,0
,,,,,,10,2026-02-01 05:11:58.673249,ATMN,25.22,25.13,25.22,2357300.0,2171100.0,0,0
,,,,,,10,2026-02-01 05:11:58.673249,WNTR,24.92,24.92,25.17,2357100.0,2251700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,11,2026-02-01 05:11:59.696157,SPNG,24.8,24.8,25.2,1785700.0,2032700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 05:11:59.696157,SMMR,25.08,24.89,25.08,2350100.0,2280900.0,0,0
,,,,,,11,2026-02-01 05:11:59.696157,ATMN,25.07,25.07,25.31,2340300.0,2106900.0,0,0
,,,,,,11,2026-02-01 05:11:59.696157,WNTR,25.17,24.99,25.17,2390000.0,2230700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,12,2026-02-01 05:12:00.728579,SPNG,24.75,25.05,25.2,2044300.0,2032700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 05:12:00.728579,SMMR,25.08,24.95,25.08,2342500.0,2269900.0,0,0
,,,,,,12,2026-02-01 05:12:00.728579,ATMN,25.07,25.2,25.23,2315100.0,2155400.0,0,0
,,,,,,12,2026-02-01 05:12:00.728579,WNTR,24.89,24.98,25.08,2389000.0,2242000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,14,2026-02-01 05:12:01.763255,SPNG,25.05,24.75,24.85,2063000.0,2007100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 05:12:01.763255,SMMR,25.11,24.95,25.11,2318900.0,2305900.0,0,0
,,,,,,14,2026-02-01 05:12:01.763255,ATMN,25.07,25.07,25.23,2301300.0,2155400.0,0,0
,,,,,,14,2026-02-01 05:12:01.763255,WNTR,24.98,25.02,25.08,2366800.0,2242000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,15,2026-02-01 05:12:02.810509,SPNG,25.21,25.11,25.21,2035100.0,1974500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 05:12:02.810509,SMMR,24.92,24.94,25.06,2322500.0,2291000.0,0,0
,,,,,,15,2026-02-01 05:12:02.810509,ATMN,25.31,25.2,25.31,2304600.0,2151900.0,0,0
,,,,,,15,2026-02-01 05:12:02.810509,WNTR,25.0,25.0,25.03,2400700.0,2212400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,16,2026-02-01 05:12:03.839028,SPNG,24.75,24.75,25.17,2035400.0,1964300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,16,2026-02-01 05:12:03.839028,SMMR,24.94,24.96,25.04,2323400.0,2258800.0,0,0
,,,,,,16,2026-02-01 05:12:03.839028,ATMN,25.2,25.2,25.26,2304600.0,2179000.0,0,0
,,,,,,16,2026-02-01 05:12:03.839028,WNTR,25.0,25.0,25.03,2375500.0,2212400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,17,2026-02-01 05:12:04.884570,SPNG,24.75,24.75,25.17,2035400.0,1945600.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 05:12:04.884570,SMMR,24.94,24.96,24.99,2290800.0,2236900.0,0,0
,,,,,,17,2026-02-01 05:12:04.884570,ATMN,25.26,25.2,25.26,2304600.0,2190000.0,0,0
,,,,,,17,2026-02-01 05:12:04.884570,WNTR,24.99,24.98,24.99,2365800.0,2220700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,18,2026-02-01 05:12:05.923651,SPNG,24.55,25.06,25.17,2059600.0,1945600.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 05:12:05.923651,SMMR,24.99,24.96,24.99,2290800.0,2245900.0,0,0
,,,,,,18,2026-02-01 05:12:05.923651,ATMN,24.99,24.99,25.31,2275200.0,2167800.0,0,0
,,,,,,18,2026-02-01 05:12:05.923651,WNTR,24.98,24.98,25.03,2365800.0,2212400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,19,2026-02-01 05:12:06.963204,SPNG,24.55,24.58,25.15,2104600.0,1928200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,19,2026-02-01 05:12:06.963204,SMMR,24.93,24.92,24.93,2319800.0,2234800.0,0,0
,,,,,,19,2026-02-01 05:12:06.963204,ATMN,24.98,24.98,25.4,2282700.0,2153200.0,0,0
,,,,,,19,2026-02-01 05:12:06.963204,WNTR,24.9,24.9,25.12,2387000.0,2218200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,20,2026-02-01 05:12:08.006676,SPNG,24.55,25.09,25.15,2073900.0,1928200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,20,2026-02-01 05:12:08.006676,SMMR,25.04,24.88,25.04,2370100.0,2229200.0,0,0
,,,,,,20,2026-02-01 05:12:08.006676,ATMN,25.09,24.98,25.09,2282700.0,2146500.0,0,0
,,,,,,20,2026-02-01 05:12:08.006676,WNTR,25.15,25.04,25.15,2374200.0,2231900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,21,2026-02-01 05:12:09.044222,SPNG,25.17,24.74,25.17,2085500.0,1945600.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,21,2026-02-01 05:12:09.044222,SMMR,24.94,24.94,24.98,2366700.0,2262200.0,0,0
,,,,,,21,2026-02-01 05:12:09.044222,ATMN,25.21,24.98,25.21,2296400.0,2161600.0,0,0
,,,,,,21,2026-02-01 05:12:09.044222,WNTR,25.15,25.15,25.17,2390000.0,2217600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,22,2026-02-01 05:12:10.076671,SPNG,25.17,24.74,25.17,2101700.0,1945600.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,22,2026-02-01 05:12:10.076671,SMMR,24.98,24.88,24.98,2349300.0,2265100.0,0,0
,,,,,,22,2026-02-01 05:12:10.076671,ATMN,24.89,24.89,25.12,2300600.0,2181400.0,0,0
,,,,,,22,2026-02-01 05:12:10.076671,WNTR,25.15,25.04,25.14,2377100.0,2253600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,23,2026-02-01 05:12:11.104103,SPNG,25.21,24.95,25.21,2113000.0,1930100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,23,2026-02-01 05:12:11.104103,SMMR,24.85,24.92,24.98,2365000.0,2265100.0,0,0
,,,,,,23,2026-02-01 05:12:11.104103,ATMN,25.12,24.89,25.12,2332800.0,2181400.0,0,0
,,,,,,23,2026-02-01 05:12:11.104103,WNTR,25.03,25.03,25.1,2361000.0,2243700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,24,2026-02-01 05:12:12.132051,SPNG,24.95,24.95,25.21,2113000.0,1939500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,24,2026-02-01 05:12:12.132051,SMMR,24.92,24.92,25.04,2365000.0,2224900.0,0,0
,,,,,,24,2026-02-01 05:12:12.132051,ATMN,25.21,25.39,25.4,2348200.0,2173400.0,0,0
,,,,,,24,2026-02-01 05:12:12.132051,WNTR,25.11,25.03,25.11,2376100.0,2249800.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 15000 shares for this week.,25,2026-02-01 05:12:13.165352,SPNG,24.74,24.74,25.05,2101700.0,1952900.0,0,0
