news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-3,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,1,2026-02-01 08:50:46.383434,SPNG,25.14,24.94,25.14,2196500.0,2113800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 08:50:46.383434,SMMR,25.05,24.88,24.95,2116800.0,1531900.0,0,0,0,0,0,0
,,,,,,1,2026-02-01 08:50:46.383434,ATMN,25.12,24.77,24.92,2090800.0,2032000.0,0,0,0,0,0,0
,,,,,,1,2026-02-01 08:50:46.383434,WNTR,24.98,24.85,24.89,1964800.0,2243400.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,3,2026-02-01 08:50:47.420809,SPNG,25.23,24.94,24.99,2196500.0,2073500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 08:50:47.420809,SMMR,25.06,24.94,25.06,2090700.0,1415700.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 08:50:47.420809,ATMN,25.12,25.21,25.26,2107200.0,1809900.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 08:50:47.420809,WNTR,24.89,25.03,25.05,2190200.0,2267700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,4,2026-02-01 08:50:48.466135,SPNG,25.23,24.94,24.99,2200800.0,2073500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 08:50:48.466135,SMMR,24.94,24.94,25.06,2090700.0,1525400.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 08:50:48.466135,ATMN,25.21,24.78,24.84,2117000.0,2028600.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 08:50:48.466135,WNTR,25.07,25.04,25.07,2329000.0,2305900.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,5,2026-02-01 08:50:49.499374,SPNG,25.24,24.94,25.24,2200800.0,2107200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 08:50:49.499374,SMMR,24.83,24.97,25.06,2098900.0,1630400.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 08:50:49.499374,ATMN,24.84,24.84,25.26,2154900.0,2023900.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 08:50:49.499374,WNTR,25.07,25.04,25.07,2314700.0,2342200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,6,2026-02-01 08:50:50.533413,SPNG,24.94,24.94,25.25,2200800.0,2084500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 08:50:50.533413,SMMR,25.08,24.97,25.08,2095300.0,1637300.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 08:50:50.533413,ATMN,25.07,24.84,25.07,2154900.0,2012200.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 08:50:50.533413,WNTR,25.07,25.04,25.07,2314700.0,2371900.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,7,2026-02-01 08:50:51.566222,SPNG,24.88,24.88,25.25,2202900.0,2095100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 08:50:51.566222,SMMR,24.97,24.83,24.87,2136200.0,1841200.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 08:50:51.566222,ATMN,25.07,24.84,25.07,2154900.0,2012200.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 08:50:51.566222,WNTR,25.03,25.03,25.07,2285900.0,2377300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,8,2026-02-01 08:50:52.603607,SPNG,25.33,24.88,25.33,2202900.0,2100000.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 08:50:52.603607,SMMR,24.87,24.94,25.03,2104700.0,1833800.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 08:50:52.603607,ATMN,25.07,24.99,25.07,2169200.0,2044200.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 08:50:52.603607,WNTR,25.07,24.93,25.07,2196200.0,2377300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,9,2026-02-01 08:50:53.637820,SPNG,25.34,25.23,25.34,2207600.0,2112300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 08:50:53.637820,SMMR,24.94,24.9,24.94,2125300.0,1948400.0,0,0,0,0,0,0
,,,,,,9,2026-02-01 08:50:53.637820,ATMN,25.13,24.84,25.13,2154900.0,2022000.0,0,0,0,0,0,0
,,,,,,9,2026-02-01 08:50:53.637820,WNTR,25.07,25.02,25.06,2323100.0,2417300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,10,2026-02-01 08:50:54.667494,SPNG,24.84,24.84,25.51,2202100.0,2087900.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 08:50:54.667494,SMMR,25.03,25.04,25.08,2119400.0,1848700.0,0,0,0,0,0,0
,,,,,,10,2026-02-01 08:50:54.667494,ATMN,24.78,24.97,25.15,2154200.0,2035700.0,0,0,0,0,0,0
,,,,,,10,2026-02-01 08:50:54.667494,WNTR,24.95,24.95,25.06,2296300.0,2449800.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,11,2026-02-01 08:50:55.689250,SPNG,25.1,24.84,25.03,2202100.0,2122200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 08:50:55.689250,SMMR,25.03,25.04,25.07,2149400.0,1935800.0,0,0,0,0,0,0
,,,,,,11,2026-02-01 08:50:55.689250,ATMN,24.97,24.78,24.84,2190700.0,2083200.0,0,0,0,0,0,0
,,,,,,11,2026-02-01 08:50:55.689250,WNTR,25.07,25.08,25.09,2308000.0,2402700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,12,2026-02-01 08:50:56.722334,SPNG,25.29,25.32,25.51,2204200.0,2121400.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 08:50:56.722334,SMMR,25.08,25.04,25.08,2172600.0,1942000.0,0,0,0,0,0,0
,,,,,,12,2026-02-01 08:50:56.722334,ATMN,24.97,24.78,24.97,2195900.0,2093800.0,0,0,0,0,0,0
,,,,,,12,2026-02-01 08:50:56.722334,WNTR,25.12,25.08,25.12,2322900.0,2362400.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,13,2026-02-01 08:50:57.742820,SPNG,24.84,24.93,25.51,2208400.0,2123300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 08:50:57.742820,SMMR,24.97,24.97,25.08,2159200.0,2044200.0,0,0,0,0,0,0
,,,,,,13,2026-02-01 08:50:57.742820,ATMN,24.97,24.78,24.97,2195900.0,2093800.0,0,0,0,0,0,0
,,,,,,13,2026-02-01 08:50:57.742820,WNTR,25.07,24.95,25.03,2296300.0,2364500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,14,2026-02-01 08:50:58.777268,SPNG,24.84,24.84,25.16,2202100.0,2136200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 08:50:58.777268,SMMR,24.95,24.95,25.01,2154800.0,2163600.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 08:50:58.777268,ATMN,25.26,24.78,25.26,2159900.0,2054800.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 08:50:58.777268,WNTR,25.15,24.95,25.15,2296300.0,2356200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,15,2026-02-01 08:50:59.807135,SPNG,25.04,25.04,25.16,2241200.0,2136200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 08:50:59.807135,SMMR,24.95,24.95,25.01,2151300.0,2190100.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 08:50:59.807135,ATMN,24.77,24.77,24.95,2181800.0,2080900.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 08:50:59.807135,WNTR,25.07,25.13,25.15,2305100.0,2356200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,16,2026-02-01 08:51:00.846600,SPNG,25.16,25.37,25.53,2233400.0,2120100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,16,2026-02-01 08:51:00.846600,SMMR,24.92,24.92,25.01,2154300.0,2195500.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 08:51:00.846600,ATMN,24.95,24.97,25.09,2147900.0,2060300.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 08:51:00.846600,WNTR,25.16,25.13,25.16,2305100.0,2348300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,17,2026-02-01 08:51:01.877797,SPNG,25.16,25.37,25.53,2233400.0,2152300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 08:51:01.877797,SMMR,24.9,24.9,25.01,2171300.0,2195500.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 08:51:01.877797,ATMN,24.9,24.9,25.03,2154000.0,2092700.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 08:51:01.877797,WNTR,25.13,24.95,25.01,2296300.0,2306700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,18,2026-02-01 08:51:02.914375,SPNG,25.16,25.37,25.5,2233400.0,2169100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 08:51:02.914375,SMMR,24.9,24.9,25.01,2199500.0,2197800.0,0,0,0,0,0,0
,,,,,,18,2026-02-01 08:51:02.914375,ATMN,24.77,24.77,25.03,2181800.0,2090700.0,0,0,0,0,0,0
,,,,,,18,2026-02-01 08:51:02.914375,WNTR,25.01,24.97,25.01,2311700.0,2306700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,19,2026-02-01 08:51:03.949359,SPNG,24.84,24.84,25.34,2091100.0,2186800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,19,2026-02-01 08:51:03.949359,SMMR,25.11,24.9,25.11,2200700.0,2153600.0,0,0,0,0,0,0
,,,,,,19,2026-02-01 08:51:03.949359,ATMN,24.76,24.79,24.83,2164600.0,2064000.0,0,0,0,0,0,0
,,,,,,19,2026-02-01 08:51:03.949359,WNTR,25.01,25.02,25.03,2335600.0,2321700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,20,2026-02-01 08:51:04.983973,SPNG,24.84,24.84,25.09,2200100.0,2172900.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,20,2026-02-01 08:51:04.983973,SMMR,25.14,24.9,25.01,2200700.0,1986400.0,0,0,0,0,0,0
,,,,,,20,2026-02-01 08:51:04.983973,ATMN,24.83,24.87,25.03,2180700.0,2061100.0,0,0,0,0,0,0
,,,,,,20,2026-02-01 08:51:04.983973,WNTR,25.02,25.02,25.03,2304600.0,2321700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,21,2026-02-01 08:51:06.017590,SPNG,25.34,24.84,25.34,2179100.0,2186800.0,0,0,0,0,0,0
