news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,1,2026-02-01 10:56:37.272088,SPNG,24.82,24.82,25.29,2154700.0,2211700.0,2500.0,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 10:56:37.272088,SMMR,24.98,24.98,25.02,2276100.0,1521000.0,,
,,,,,,1,2026-02-01 10:56:37.272088,ATMN,25.02,24.93,25.01,2024400.0,1899600.0,2500.0,2500.0
,,,,,,1,2026-02-01 10:56:37.272088,WNTR,24.98,24.98,25.0,2432400.0,1874500.0,,
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,2,2026-02-01 10:56:38.300644,SPNG,25.0,24.82,25.0,2154700.0,2500.0,2169600.0,2500.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 10:56:38.300644,SMMR,25.1,24.99,25.1,2157900.0,2500.0,1293500.0,
,,,,,,2,2026-02-01 10:56:38.300644,ATMN,25.04,25.02,25.04,2048600.0,2500.0,1786800.0,
,,,,,,2,2026-02-01 10:56:38.300644,WNTR,25.03,24.98,25.03,2432400.0,,1853200.0,
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,3,2026-02-01 10:56:39.327846,SPNG,25.0,24.89,25.0,2500.0,2285900.0,2289500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 10:56:39.327846,SMMR,25.07,24.96,25.07,,2268500.0,1408500.0,0
,,,,,,3,2026-02-01 10:56:39.327846,ATMN,25.17,25.04,25.17,,2175400.0,1659400.0,0
,,,,,,3,2026-02-01 10:56:39.327846,WNTR,25.03,24.96,25.03,,2393900.0,1719800.0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,4,2026-02-01 10:56:40.356283,SPNG,24.89,24.88,24.89,2384200.0,2304500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 10:56:40.356283,SMMR,25.07,24.96,25.05,2268500.0,1731500.0,0,0
,,,,,,4,2026-02-01 10:56:40.356283,ATMN,25.19,25.12,25.19,2186700.0,1692500.0,0,0
,,,,,,4,2026-02-01 10:56:40.356283,WNTR,25.3,24.95,25.3,2376800.0,1404800.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,5,2026-02-01 10:56:41.392679,SPNG,25.51,24.88,25.51,2373900.0,2296400.0,,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 10:56:41.392679,SMMR,25.01,24.97,25.01,2159800.0,1842600.0,2500.0,2500.0
,,,,,,5,2026-02-01 10:56:41.392679,ATMN,25.19,25.12,25.19,2186700.0,1909200.0,,
,,,,,,5,2026-02-01 10:56:41.392679,WNTR,24.95,24.96,24.97,2282100.0,1655400.0,2500.0,2500.0
