news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-1,SELL_LUIS-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,2,2026-02-01 12:03:20.429096,SPNG,25.15,24.87,25.15,2347800.0,2355000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 12:03:20.429096,SMMR,24.87,24.87,25.05,1902800.0,2264700.0,0,0
,,,,,,2,2026-02-01 12:03:20.429096,ATMN,25.32,24.76,25.32,2038400.0,1498500.0,0,0
,,,,,,2,2026-02-01 12:03:20.429096,WNTR,25.07,25.08,25.2,2365000.0,2235900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,3,2026-02-01 12:03:21.463646,SPNG,24.87,24.87,25.15,2347800.0,2353700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 12:03:21.463646,SMMR,24.76,24.95,25.05,2039100.0,2264700.0,0,0
,,,,,,3,2026-02-01 12:03:21.463646,ATMN,24.84,25.09,25.32,2046200.0,1709200.0,0,0
,,,,,,3,2026-02-01 12:03:21.463646,WNTR,25.08,25.0,25.06,2362600.0,2332700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,4,2026-02-01 12:03:22.496462,SPNG,24.74,24.74,25.16,2230000.0,2302000.0,,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 12:03:22.496462,SMMR,24.95,24.96,24.99,2163900.0,2143000.0,2500.0,2500.0
,,,,,,4,2026-02-01 12:03:22.496462,ATMN,24.98,24.89,24.98,2007500.0,1832700.0,,
,,,,,,4,2026-02-01 12:03:22.496462,WNTR,25.08,25.0,25.04,2362600.0,2327200.0,,
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,5,2026-02-01 12:03:23.529091,SPNG,25.03,24.74,24.87,2336000.0,2283900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 12:03:23.529091,SMMR,24.95,24.85,24.88,2135200.0,2273500.0,0,0
,,,,,,5,2026-02-01 12:03:23.529091,ATMN,24.89,24.89,25.32,1979400.0,1709200.0,0,0
,,,,,,5,2026-02-01 12:03:23.529091,WNTR,25.08,25.0,25.03,2362600.0,2308500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,6,2026-02-01 12:03:24.566298,SPNG,25.03,24.75,24.86,2500.0,2252300.0,2500.0,2162100.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 12:03:24.566298,SMMR,24.94,24.86,24.9,2500.0,2146600.0,2500.0,2140600.0
,,,,,,6,2026-02-01 12:03:24.566298,ATMN,25.13,24.9,25.13,2500.0,1869400.0,2500.0,1717900.0
,,,,,,6,2026-02-01 12:03:24.566298,WNTR,25.12,25.02,25.12,,2364300.0,,2335000.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,7,2026-02-01 12:03:25.586743,SPNG,25.17,24.74,25.0,2391800.0,2291400.0,,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 12:03:25.586743,SMMR,25.0,24.98,25.0,2239700.0,2268000.0,,0
,,,,,,7,2026-02-01 12:03:25.586743,ATMN,24.8,24.81,24.94,1894900.0,1911100.0,2500.0,0
,,,,,,7,2026-02-01 12:03:25.586743,WNTR,25.17,25.0,25.17,2362600.0,2345900.0,,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,8,2026-02-01 12:03:26.629559,SPNG,24.72,24.73,25.0,2500.0,2306700.0,2291400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 12:03:26.629559,SMMR,25.05,24.98,25.05,,2246600.0,2264700.0,0
,,,,,,8,2026-02-01 12:03:26.629559,ATMN,25.07,24.8,25.07,,2028500.0,1819900.0,0
,,,,,,8,2026-02-01 12:03:26.629559,WNTR,24.99,24.99,25.09,,2360300.0,2339100.0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,10,2026-02-01 12:03:28.061233,SPNG,25.0,25.06,25.17,2426800.0,2313800.0,,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 12:03:28.061233,SMMR,25.07,25.0,25.07,2164800.0,2195100.0,2500.0,2500.0
,,,,,,10,2026-02-01 12:03:28.061233,ATMN,24.83,24.8,24.83,2023600.0,1819900.0,,
,,,,,,10,2026-02-01 12:03:28.061233,WNTR,25.09,24.99,25.09,2341600.0,2337800.0,,
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,11,2026-02-01 12:03:29.418744,SPNG,25.17,24.68,25.17,2325600.0,2500.0,2294800.0,0
