news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_IESE-1,SELL_LUIS-1,BUY_IESE-1,SELL_LUIS-3,BUY_LUIS-1,BUY_LUIS-3,SELL_CALG-1,SELL_UEBR-1,BUY_CALG-1,BUY_UEBR-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,2,2026-02-01 12:23:45.908145,SPNG,25.07,25.0,25.07,2115300.0,1951300.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 12:23:45.908145,SMMR,24.9,24.85,24.9,1871000.0,2263500.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 12:23:45.908145,ATMN,24.85,24.85,25.04,2316300.0,1668600.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 12:23:45.908145,WNTR,25.1,24.97,25.08,2185600.0,2083100.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,3,2026-02-01 12:23:46.942832,SPNG,24.97,24.97,25.12,2118000.0,1938700.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 12:23:46.942832,SMMR,25.01,24.92,25.01,2235700.0,2298200.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 12:23:46.942832,ATMN,25.08,24.89,25.08,2299500.0,1564200.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 12:23:46.942832,WNTR,25.1,25.04,25.06,2168700.0,2035500.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,4,2026-02-01 12:23:47.975268,SPNG,24.71,24.62,24.71,2122000.0,1855600.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 12:23:47.975268,SMMR,24.85,24.85,25.04,2109000.0,2320700.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 12:23:47.975268,ATMN,25.08,24.89,25.08,2299500.0,1685300.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 12:23:47.975268,WNTR,25.04,25.04,25.06,2168700.0,2013300.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,5,2026-02-01 12:23:49.012332,SPNG,24.71,25.0,25.11,2125800.0,1847200.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 12:23:49.012332,SMMR,24.85,24.85,24.9,2239400.0,2315100.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 12:23:49.012332,ATMN,24.81,24.81,25.08,2324800.0,1685300.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 12:23:49.012332,WNTR,25.04,24.97,25.02,2185600.0,2007100.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,6,2026-02-01 12:23:50.077186,SPNG,24.71,25.0,25.11,2110600.0,2018900.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 12:23:50.077186,SMMR,24.85,24.89,24.9,2326900.0,2315100.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 12:23:50.077186,ATMN,24.81,24.81,25.08,2371400.0,1685300.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 12:23:50.077186,WNTR,25.04,24.97,25.01,2162400.0,2003800.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,7,2026-02-01 12:23:51.121915,SPNG,24.9,24.9,25.11,2132600.0,2139000.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 12:23:51.121915,SMMR,24.9,25.03,25.04,2306000.0,2320700.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 12:23:51.121915,ATMN,25.27,24.81,25.27,2350900.0,1438900.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 12:23:51.121915,WNTR,24.94,24.94,25.01,2163300.0,2003800.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,8,2026-02-01 12:23:52.166889,SPNG,24.62,24.62,24.95,2122000.0,2145500.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 12:23:52.166889,SMMR,25.03,25.0,25.01,2328400.0,2309800.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 12:23:52.166889,ATMN,25.27,25.12,25.27,2361500.0,1628600.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 12:23:52.166889,WNTR,25.0,24.88,25.0,2162800.0,2012100.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,9,2026-02-01 12:23:53.215304,SPNG,24.95,24.76,24.95,2156600.0,2145500.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 12:23:53.215304,SMMR,24.89,24.89,25.01,2321500.0,2309800.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 12:23:53.215304,ATMN,24.81,24.81,25.27,2350900.0,1749200.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 12:23:53.215304,WNTR,25.02,24.88,25.02,2143600.0,2004600.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,10,2026-02-01 12:23:54.270990,SPNG,24.95,25.0,25.11,2131500.0,2135700.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 12:23:54.270990,SMMR,25.01,25.01,25.06,2319700.0,2287700.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 12:23:54.270990,ATMN,24.8,24.8,25.07,2343200.0,1963100.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 12:23:54.270990,WNTR,24.87,24.87,25.02,2142300.0,2004600.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,11,2026-02-01 12:23:55.313237,SPNG,25.17,25.03,25.17,2155500.0,2105300.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 12:23:55.313237,SMMR,25.01,24.89,24.94,2321500.0,2289100.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 12:23:55.313237,ATMN,25.2,25.19,25.2,2327600.0,1965200.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 12:23:55.313237,WNTR,25.06,24.95,25.06,2139200.0,2053900.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,12,2026-02-01 12:23:56.355547,SPNG,24.76,24.76,25.17,2167000.0,2072500.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 12:23:56.355547,SMMR,25.0,24.9,25.0,2327500.0,2311700.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 12:23:56.355547,ATMN,25.19,25.19,25.2,2327600.0,2218800.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 12:23:56.355547,WNTR,24.79,24.83,25.07,1974900.0,2064700.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,13,2026-02-01 12:23:57.394979,SPNG,24.76,24.76,25.17,2157300.0,2077500.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 12:23:57.394979,SMMR,25.11,24.9,25.11,2327500.0,2301100.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 12:23:57.394979,ATMN,24.98,24.99,25.2,2342100.0,2218600.0,0,0,0,0,0,0,0,0,0,0,0,0
