news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_CHUL-1,SELL_LUIS-1,BUY_CHUL-4,BUY_LUIS-1,SELL_CHUL-4,SELL_CHUL-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,1,2026-02-02 00:20:42.399158,SPNG,25.24,24.74,25.0,2172100.0,2222200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-02 00:20:42.399158,SMMR,25.0,25.0,25.06,2223100.0,2326700.0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:20:42.399158,ATMN,24.72,24.72,25.21,2201600.0,2263100.0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:20:42.399158,WNTR,25.05,25.02,25.05,1410700.0,2355300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,2,2026-02-02 00:20:43.432124,SPNG,24.89,24.74,24.89,2172100.0,2194800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-02 00:20:43.432124,SMMR,24.99,24.99,25.06,2222200.0,2319300.0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:20:43.432124,ATMN,24.72,24.72,25.05,2337400.0,2241000.0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:20:43.432124,WNTR,24.9,24.9,25.05,1517000.0,2334800.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,3,2026-02-02 00:20:44.491198,SPNG,24.55,24.39,24.55,2155600.0,2224800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-02 00:20:44.491198,SMMR,25.06,24.99,25.06,2195500.0,2299800.0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:20:44.491198,ATMN,24.78,24.72,24.78,2315200.0,2267900.0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:20:44.491198,WNTR,25.06,24.9,25.06,1661000.0,2317300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,4,2026-02-02 00:20:45.536121,SPNG,25.33,24.39,25.33,2155600.0,1968300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-02 00:20:45.536121,SMMR,25.08,25.03,25.08,2230900.0,2316900.0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:20:45.536121,ATMN,24.78,24.8,24.89,2286200.0,2248400.0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:20:45.536121,WNTR,24.81,24.79,24.81,1588900.0,2324500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,5,2026-02-02 00:20:46.565380,SPNG,25.33,24.87,24.99,2277400.0,2190100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-02 00:20:46.565380,SMMR,24.89,24.89,24.93,1983500.0,2343700.0,0,0,0,0,0,0
,,,,,,5,2026-02-02 00:20:46.565380,ATMN,25.38,24.8,25.38,2270000.0,2253000.0,0,0,0,0,0,0
,,,,,,5,2026-02-02 00:20:46.565380,WNTR,25.07,24.96,25.07,1859000.0,2318300.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,6,2026-02-02 00:20:47.594793,SPNG,24.87,24.87,25.45,2277400.0,2116800.0,3000.0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-02 00:20:47.594793,SMMR,24.89,24.89,24.93,2191500.0,2343700.0,,0,0,0,0,0
,,,,,,6,2026-02-02 00:20:47.594793,ATMN,25.38,25.01,25.27,2316000.0,2257900.0,,0,0,0,0,0
,,,,,,6,2026-02-02 00:20:47.594793,WNTR,25.08,24.96,24.98,1859000.0,2303200.0,,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,7,2026-02-02 00:20:48.647763,SPNG,24.19,25.04,25.45,2188800.0,2124200.0,3000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-02 00:20:48.647763,SMMR,24.93,24.89,24.93,2225300.0,2343700.0,,,0,0,0,0
,,,,,,7,2026-02-02 00:20:48.647763,ATMN,25.38,25.01,25.38,2293800.0,2240900.0,,,0,0,0,0
,,,,,,7,2026-02-02 00:20:48.647763,WNTR,24.98,25.0,25.06,2078700.0,2335700.0,,3000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,8,2026-02-02 00:20:49.681024,SPNG,25.45,24.04,25.45,1954400.0,2136300.0,3000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-02 00:20:49.681024,SMMR,24.93,24.91,24.93,2221000.0,2352100.0,,,0,0,0,0
,,,,,,8,2026-02-02 00:20:49.681024,ATMN,24.95,24.95,25.07,2282200.0,2273700.0,,,0,0,0,0
,,,,,,8,2026-02-02 00:20:49.681024,WNTR,25.0,25.0,25.06,2294500.0,2328200.0,,3000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,9,2026-02-02 00:20:50.712516,SPNG,25.11,25.11,25.45,2071400.0,2139800.0,3000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-02 00:20:50.712516,SMMR,24.88,24.88,24.93,2233000.0,2352100.0,,,0,0,0,0
,,,,,,9,2026-02-02 00:20:50.712516,ATMN,25.07,24.95,25.05,2282200.0,2262900.0,,,0,0,0,0
,,,,,,9,2026-02-02 00:20:50.712516,WNTR,25.08,25.02,25.05,2138600.0,2194800.0,3000.0,6000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,10,2026-02-02 00:20:51.745202,SPNG,23.73,25.1,25.44,1976200.0,2026800.0,6000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-02 00:20:51.745202,SMMR,24.88,24.88,24.93,2223600.0,2360000.0,,,0,0,0,0
,,,,,,10,2026-02-02 00:20:51.745202,ATMN,25.07,24.95,25.07,2282200.0,2241700.0,,,0,0,0,0
,,,,,,10,2026-02-02 00:20:51.745202,WNTR,25.08,25.02,25.05,2138600.0,2181900.0,3000.0,6000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,11,2026-02-02 00:20:52.783157,SPNG,25.1,25.1,25.4,1976200.0,1996100.0,6000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-02 00:20:52.783157,SMMR,24.94,24.88,24.94,2223600.0,2354500.0,,,0,0,0,0
,,,,,,11,2026-02-02 00:20:52.783157,ATMN,25.31,24.95,25.29,2282200.0,2193600.0,,,0,0,0,0
,,,,,,11,2026-02-02 00:20:52.783157,WNTR,25.08,25.05,25.08,2024300.0,2293300.0,,9000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,13,2026-02-02 00:20:53.817958,SPNG,25.4,25.11,25.4,3000.0,1844700.0,2017000.0,6000.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-02 00:20:53.817958,SMMR,24.98,24.95,24.98,,2226500.0,2343600.0,,0,0,0,0
,,,,,,13,2026-02-02 00:20:53.817958,ATMN,24.87,24.87,24.91,,2267400.0,2226300.0,,0,0,0,0
,,,,,,13,2026-02-02 00:20:53.817958,WNTR,25.1,25.05,25.07,9000.0,2038600.0,2203100.0,3000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,14,2026-02-02 00:20:54.899078,SPNG,25.11,24.08,24.37,2077100.0,1914300.0,9000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-02 00:20:54.899078,SMMR,25.08,24.95,25.08,2227000.0,2359700.0,,,0,0,0,0
,,,,,,14,2026-02-02 00:20:54.899078,ATMN,25.18,24.87,25.18,2260100.0,2215100.0,,,0,0,0,0
,,,,,,14,2026-02-02 00:20:54.899078,WNTR,25.07,25.07,25.09,1921800.0,2303700.0,,12000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 9000 shares for this week.,15,2026-02-02 00:20:55.936880,SPNG,24.37,24.08,24.37,2314900.0,1914300.0,9000.0,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-02 00:20:55.936880,SMMR,24.86,24.86,25.08,2178000.0,2359700.0,,,0,0,0,0
