news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_BOST-3
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,3,2026-02-01 08:54:49.845813,RITC,10.02,10.0,10.02,195700.0,193300.0,0
,,,,,,3,2026-02-01 08:54:49.845813,COMP,25.01,25.01,25.02,142100.0,144100.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,4,2026-02-01 08:54:50.867269,RITC,10.03,10.0,10.03,196700.0,192600.0,0
,,,,,,4,2026-02-01 08:54:50.867269,COMP,25.01,25.01,25.02,143500.0,144100.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,5,2026-02-01 08:54:51.893467,RITC,10.03,10.0,10.03,195700.0,192600.0,0
,,,,,,5,2026-02-01 08:54:51.893467,COMP,25.01,25.01,25.02,144200.0,144100.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,6,2026-02-01 08:54:52.914104,RITC,10.04,10.0,10.04,195700.0,192500.0,0
,,,,,,6,2026-02-01 08:54:52.914104,COMP,25.03,25.01,25.03,144500.0,145200.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,7,2026-02-01 08:54:53.935633,RITC,10.0,10.0,10.04,192800.0,192500.0,0
,,,,,,7,2026-02-01 08:54:53.935633,COMP,25.04,25.01,25.04,144500.0,144300.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,8,2026-02-01 08:54:54.943589,RITC,10.0,10.03,10.04,190900.0,192500.0,0
,,,,,,8,2026-02-01 08:54:54.943589,COMP,25.04,25.01,25.04,146400.0,144300.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,9,2026-02-01 08:54:55.967025,RITC,10.05,10.03,10.05,190900.0,192200.0,0
,,,,,,9,2026-02-01 08:54:55.967025,COMP,25.04,25.01,25.04,144200.0,144300.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,10,2026-02-01 08:54:56.983219,RITC,10.04,10.03,10.04,190900.0,195200.0,0
,,,,,,10,2026-02-01 08:54:56.983219,COMP,25.04,25.01,25.04,144400.0,144300.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,11,2026-02-01 08:54:58.006502,RITC,10.03,10.03,10.04,190900.0,197700.0,0
,,,,,,11,2026-02-01 08:54:58.006502,COMP,25.04,25.01,25.04,144400.0,144400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,12,2026-02-01 08:54:59.023952,RITC,10.03,10.03,10.04,193700.0,196500.0,0
,,,,,,12,2026-02-01 08:54:59.023952,COMP,25.04,25.03,25.04,143700.0,144400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,13,2026-02-01 08:55:00.043507,RITC,10.03,10.03,10.04,194600.0,198600.0,0
,,,,,,13,2026-02-01 08:55:00.043507,COMP,25.04,25.03,25.04,142600.0,144400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,14,2026-02-01 08:55:01.062463,RITC,10.03,10.03,10.04,190900.0,198600.0,0
,,,,,,14,2026-02-01 08:55:01.062463,COMP,25.04,25.03,25.04,142600.0,144400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,15,2026-02-01 08:55:02.083455,RITC,10.02,10.02,10.04,189100.0,196200.0,0
,,,,,,15,2026-02-01 08:55:02.083455,COMP,25.04,25.03,25.04,139900.0,144400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,16,2026-02-01 08:55:03.107354,RITC,10.01,10.02,10.04,189100.0,196200.0,0
,,,,,,16,2026-02-01 08:55:03.107354,COMP,25.04,25.04,25.05,139800.0,143100.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,17,2026-02-01 08:55:04.127356,RITC,10.0,10.0,10.04,193100.0,193400.0,0
,,,,,,17,2026-02-01 08:55:04.127356,COMP,25.03,25.03,25.05,139900.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,18,2026-02-01 08:55:05.146139,RITC,10.0,10.0,10.02,190400.0,195300.0,0
,,,,,,18,2026-02-01 08:55:05.146139,COMP,25.02,25.02,25.05,142200.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,19,2026-02-01 08:55:06.169228,RITC,10.0,10.0,10.01,193500.0,192500.0,0
,,,,,,19,2026-02-01 08:55:06.169228,COMP,25.0,25.0,25.05,142900.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,20,2026-02-01 08:55:07.183384,RITC,10.02,10.0,10.02,196100.0,195300.0,0
,,,,,,20,2026-02-01 08:55:07.183384,COMP,24.99,24.99,25.05,141900.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,21,2026-02-01 08:55:08.213228,RITC,10.02,10.0,10.02,198300.0,195300.0,0
,,,,,,21,2026-02-01 08:55:08.213228,COMP,24.99,24.99,25.03,141900.0,143000.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,22,2026-02-01 08:55:09.237738,RITC,10.04,10.0,10.04,196400.0,193300.0,0
,,,,,,22,2026-02-01 08:55:09.237738,COMP,24.99,24.99,25.03,142500.0,143000.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,23,2026-02-01 08:55:10.253296,RITC,10.05,10.04,10.05,195500.0,193200.0,0
,,,,,,23,2026-02-01 08:55:10.253296,COMP,25.05,24.99,25.05,142500.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,24,2026-02-01 08:55:11.273271,RITC,10.05,10.04,10.05,195500.0,192200.0,0
,,,,,,24,2026-02-01 08:55:11.273271,COMP,25.05,25.0,25.05,143500.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,25,2026-02-01 08:55:12.286410,RITC,10.05,10.04,10.05,200600.0,192200.0,0
,,,,,,25,2026-02-01 08:55:12.286410,COMP,25.05,25.0,25.05,144300.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,26,2026-02-01 08:55:13.330222,RITC,10.05,10.04,10.05,199300.0,193400.0,0
,,,,,,26,2026-02-01 08:55:13.330222,COMP,25.05,25.01,25.03,143300.0,143700.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,27,2026-02-01 08:55:14.358528,RITC,10.06,10.04,10.06,200900.0,194400.0,0
,,,,,,27,2026-02-01 08:55:14.358528,COMP,25.0,25.0,25.03,144300.0,143700.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,28,2026-02-01 08:55:15.383453,RITC,10.04,10.04,10.06,202200.0,194400.0,0
,,,,,,28,2026-02-01 08:55:15.383453,COMP,24.99,24.99,25.03,142500.0,143700.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,29,2026-02-01 08:55:16.405274,RITC,10.04,10.05,10.06,204600.0,194400.0,0
,,,,,,29,2026-02-01 08:55:16.405274,COMP,24.99,24.99,25.05,142500.0,143500.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,30,2026-02-01 08:55:17.426764,RITC,10.04,10.05,10.06,201300.0,194400.0,0
,,,,,,30,2026-02-01 08:55:17.426764,COMP,24.99,24.99,25.05,142500.0,144200.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,31,2026-02-01 08:55:18.446874,RITC,10.06,10.05,10.06,201300.0,190800.0,0
,,,,,,31,2026-02-01 08:55:18.446874,COMP,24.99,24.99,25.03,141700.0,145000.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,32,2026-02-01 08:55:19.473300,RITC,10.06,10.05,10.06,201300.0,180300.0,0
,,,,,,32,2026-02-01 08:55:19.473300,COMP,24.99,24.99,25.03,141700.0,146400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,33,2026-02-01 08:55:20.495336,RITC,10.06,10.05,10.06,203600.0,180300.0,0
,,,,,,33,2026-02-01 08:55:20.495336,COMP,25.03,24.99,25.03,140100.0,146400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,34,2026-02-01 08:55:21.517990,RITC,10.06,10.05,10.06,206600.0,170000.0,0
,,,,,,34,2026-02-01 08:55:21.517990,COMP,25.03,24.99,25.03,140100.0,145400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,35,2026-02-01 08:55:22.531207,RITC,10.06,10.05,10.06,208200.0,158100.0,0
,,,,,,35,2026-02-01 08:55:22.531207,COMP,24.99,24.99,25.03,140200.0,145400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,36,2026-02-01 08:55:23.563324,RITC,10.07,10.06,10.07,205900.0,149800.0,0
,,,,,,36,2026-02-01 08:55:23.563324,COMP,25.05,24.99,25.05,140200.0,145600.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,37,2026-02-01 08:55:24.589175,RITC,10.07,10.06,10.07,207800.0,149800.0,0
,,,,,,37,2026-02-01 08:55:24.589175,COMP,25.05,25.05,25.06,139300.0,145400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,38,2026-02-01 08:55:25.618052,RITC,10.1,10.09,10.11,204800.0,122900.0,0
,,,,,,38,2026-02-01 08:55:25.618052,COMP,24.99,24.99,25.01,141400.0,147400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,39,2026-02-01 08:55:26.639521,RITC,10.11,10.11,10.12,206300.0,114100.0,0
,,,,,,39,2026-02-01 08:55:26.639521,COMP,24.99,24.99,25.01,141400.0,147400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,40,2026-02-01 08:55:27.670209,RITC,10.11,10.11,10.12,207100.0,114100.0,0
,,,,,,40,2026-02-01 08:55:27.670209,COMP,24.99,24.99,25.01,138600.0,147400.0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,41,2026-02-01 08:55:28.689368,RITC,10.15,10.11,10.15,207100.0,95200.0,0
,,,,,,41,2026-02-01 08:55:28.689368,COMP,24.99,24.99,25.01,138600.0,144900.0,0
