news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-1,SELL_CHUL-2,BUY_CNCD-1,SELL_CNCD-1,BUY_COLB-1,SELL_COLB-1,SELL_LUIS-1,SELL_BOST-3
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,2,2026-02-01 11:52:36.419447,RITC,10.01,10.0,10.01,201800.0,210100.0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:52:36.419447,COMP,24.99,24.99,25.01,142600.0,140600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,3,2026-02-01 11:52:37.456173,RITC,10.01,10.0,10.01,200800.0,207100.0,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:52:37.456173,COMP,24.99,24.99,25.01,142100.0,142800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,4,2026-02-01 11:52:38.492544,RITC,10.01,10.0,10.01,200800.0,198200.0,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:52:38.492544,COMP,24.98,24.98,25.01,143300.0,142800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,5,2026-02-01 11:52:39.523987,RITC,10.02,10.0,10.02,198900.0,186300.0,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:52:39.523987,COMP,24.96,24.96,25.0,145200.0,141200.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,6,2026-02-01 11:52:40.545316,RITC,10.02,10.01,10.02,197800.0,186300.0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:52:40.545316,COMP,24.96,24.96,25.0,145200.0,140000.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,7,2026-02-01 11:52:41.575477,RITC,10.04,10.01,10.04,197800.0,164400.0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 11:52:41.575477,COMP,24.96,24.96,25.0,145200.0,138800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,8,2026-02-01 11:52:42.606978,RITC,10.04,10.02,10.04,196300.0,164400.0,0,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 11:52:42.606978,COMP,24.94,24.94,25.0,145000.0,139600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,9,2026-02-01 11:52:43.628681,RITC,10.05,10.03,10.05,196800.0,152800.0,0,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 11:52:43.628681,COMP,24.94,24.94,25.0,145600.0,139600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,10,2026-02-01 11:52:44.648092,RITC,10.05,10.03,10.05,194400.0,141100.0,0,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 11:52:44.648092,COMP,24.93,24.93,25.0,146200.0,140300.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,11,2026-02-01 11:52:45.678087,RITC,10.05,10.04,10.05,192500.0,141100.0,,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 11:52:45.678087,COMP,24.84,24.93,24.99,147100.0,121100.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,12,2026-02-01 11:52:46.695321,RITC,10.05,10.04,10.05,193000.0,141100.0,,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 11:52:46.695321,COMP,24.84,24.93,24.94,147100.0,121800.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,13,2026-02-01 11:52:47.726298,RITC,10.06,10.04,10.06,193000.0,118900.0,,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 11:52:47.726298,COMP,24.93,24.93,24.94,140100.0,121800.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,14,2026-02-01 11:52:48.744253,RITC,10.07,10.04,10.07,193000.0,97500.0,,0,0,0,0,0,0,0
,,,,,,14,2026-02-01 11:52:48.744253,COMP,24.93,24.91,24.92,134200.0,122100.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,15,2026-02-01 11:52:49.765457,RITC,10.07,10.05,10.07,195200.0,97500.0,,0,0,0,0,0,0,0
,,,,,,15,2026-02-01 11:52:49.765457,COMP,24.91,24.91,24.92,134200.0,122100.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,16,2026-02-01 11:52:50.797413,RITC,10.07,10.05,10.07,193000.0,98400.0,,0,0,0,0,0,0,0
,,,,,,16,2026-02-01 11:52:50.797413,COMP,24.91,24.91,24.92,134200.0,121500.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,17,2026-02-01 11:52:51.826833,RITC,10.1,10.07,10.1,194800.0,100100.0,,0,0,0,0,0,0,0
,,,,,,17,2026-02-01 11:52:51.826833,COMP,24.91,24.91,24.92,134200.0,121000.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,18,2026-02-01 11:52:52.865097,RITC,10.1,10.07,10.1,198400.0,100100.0,,0,0,0,0,0,0,0
,,,,,,18,2026-02-01 11:52:52.865097,COMP,24.89,24.89,24.91,120800.0,120500.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,19,2026-02-01 11:52:53.894330,RITC,10.1,10.09,10.1,198700.0,98200.0,,0,0,0,0,0,0,0
,,,,,,19,2026-02-01 11:52:53.894330,COMP,24.88,24.88,24.91,114900.0,120500.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,20,2026-02-01 11:52:54.914742,RITC,10.1,10.09,10.1,202000.0,96500.0,,0,0,0,0,0,0,0
