ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-2,BUY_GIOT-2,tick,timestamp
RITC,10.0,9.99,10.0,207400.0,197500.0,0,0,0,2026-02-02 22:59:36.442837
COMP,0.0,24.99,25.0,134100.0,143700.0,0,0,0,2026-02-02 22:59:36.442837
RITC,10.0,9.99,10.0,207400.0,197500.0,0,0,1,2026-02-02 22:59:36.970919,1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!
COMP,24.99,24.99,25.0,134100.0,143700.0,0,0,1,2026-02-02 22:59:36.970919,,,,,,
RITC,9.98,9.98,10.0,188500.0,197500.0,0,0,2,2026-02-02 22:59:37.997679
COMP,24.99,24.97,24.99,132600.0,142800.0,0,0,2,2026-02-02 22:59:37.997679
RITC,9.98,9.97,9.98,177700.0,192600.0,0,0,3,2026-02-02 22:59:39.031288
COMP,24.99,24.97,24.99,132300.0,142800.0,0,0,3,2026-02-02 22:59:39.031288
RITC,9.97,9.96,9.97,157000.0,193400.0,0,0,4,2026-02-02 22:59:40.061230
COMP,24.97,24.97,24.99,132300.0,142800.0,0,0,4,2026-02-02 22:59:40.061230
RITC,9.97,9.96,9.97,157000.0,189900.0,0,0,5,2026-02-02 22:59:41.085879
COMP,25.0,24.97,25.0,132300.0,143700.0,0,0,5,2026-02-02 22:59:41.085879
RITC,9.96,9.96,9.97,157000.0,188200.0,0,0,6,2026-02-02 22:59:42.117063
COMP,24.99,24.97,24.99,132300.0,144100.0,0,0,6,2026-02-02 22:59:42.117063
RITC,9.96,9.96,9.97,157000.0,189000.0,0,0,7,2026-02-02 22:59:43.157948
COMP,25.02,24.97,25.02,132300.0,144400.0,0,0,7,2026-02-02 22:59:43.157948
RITC,9.96,9.96,9.97,147000.0,189000.0,0,0,8,2026-02-02 22:59:43.689276
COMP,25.02,24.97,25.02,132500.0,144400.0,0,0,8,2026-02-02 22:59:43.689276
RITC,9.96,9.96,9.97,137400.0,191700.0,0,0,9,2026-02-02 22:59:44.845202
COMP,25.02,24.97,25.02,132500.0,144500.0,0,0,9,2026-02-02 22:59:44.845202
RITC,9.96,9.93,9.95,127000.0,193600.0,0,0,10,2026-02-02 22:59:45.820320
COMP,25.02,24.97,25.02,132500.0,143500.0,0,0,10,2026-02-02 22:59:45.820320
RITC,9.96,9.93,9.94,127000.0,196200.0,0,0,11,2026-02-02 22:59:47.061234
COMP,25.02,24.97,25.02,132500.0,143100.0,0,0,11,2026-02-02 22:59:47.061234
RITC,9.93,9.91,9.93,116100.0,195000.0,0,0,12,2026-02-02 22:59:48.103278
COMP,24.95,24.95,25.02,133300.0,143100.0,0,0,12,2026-02-02 22:59:48.103278
RITC,9.93,9.91,9.92,116100.0,200600.0,0,0,13,2026-02-02 22:59:49.133498
COMP,24.95,24.97,25.02,133600.0,143100.0,0,0,13,2026-02-02 22:59:49.133498
RITC,9.93,9.91,9.92,116100.0,200000.0,0,0,14,2026-02-02 22:59:50.190829
COMP,25.02,25.02,25.03,133100.0,142100.0,0,0,14,2026-02-02 22:59:50.190829
RITC,9.91,9.89,9.91,104600.0,202000.0,0,0,15,2026-02-02 22:59:51.252763
COMP,24.97,24.97,25.03,133700.0,142100.0,0,0,15,2026-02-02 22:59:51.252763
RITC,9.91,9.89,9.9,104600.0,204600.0,0,0,16,2026-02-02 22:59:51.812095
COMP,24.97,24.97,24.98,133700.0,140600.0,0,0,16,2026-02-02 22:59:51.812095
RITC,9.91,9.89,9.9,104600.0,204900.0,0,0,17,2026-02-02 22:59:52.872201
COMP,24.98,25.0,25.02,134400.0,141100.0,0,0,17,2026-02-02 22:59:52.872201
RITC,9.89,9.89,9.9,104000.0,204900.0,0,0,18,2026-02-02 22:59:53.977095
