ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-1,SELL_GIOT-2,BUY_GIOT-3,BUY_GIOT-2,SELL_GIOT-1,SELL_GIOT-3,tick,timestamp
RITC,0.0,0.0,0.0,205700.0,194800.0,0,0,0,0,0,0,0,2026-02-03 01:01:54.651431
COMP,0.0,0.0,0.0,131800.0,140400.0,0,0,0,0,0,0,0,2026-02-03 01:01:54.651431
RITC,10.01,10.0,10.01,205500.0,195200.0,0,0,0,0,0,0,1,2026-02-03 01:01:55.772831,1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!
COMP,0.0,25.0,25.01,131800.0,140600.0,0,0,0,0,0,0,1,2026-02-03 01:01:55.772831,,,,,,
RITC,10.01,10.0,10.01,205100.0,197500.0,0,0,0,0,0,0,2,2026-02-03 01:01:56.796942
COMP,24.99,24.99,25.01,132100.0,138600.0,0,0,0,0,0,0,2,2026-02-03 01:01:56.796942
RITC,10.01,10.0,10.01,207200.0,197500.0,0,0,0,0,0,0,3,2026-02-03 01:01:57.826941
COMP,24.99,24.99,25.01,132300.0,138600.0,0,0,0,0,0,0,3,2026-02-03 01:01:57.826941
RITC,10.02,10.0,10.02,207200.0,193200.0,0,0,0,0,0,0,4,2026-02-03 01:01:58.848582
COMP,25.01,24.99,25.01,132300.0,139700.0,0,0,0,0,0,0,4,2026-02-03 01:01:58.848582
RITC,10.02,10.01,10.02,207100.0,193200.0,0,0,0,0,0,0,5,2026-02-03 01:01:59.872815
COMP,25.01,24.99,25.01,132300.0,138800.0,0,0,0,0,0,0,5,2026-02-03 01:01:59.872815
RITC,10.02,10.01,10.02,207300.0,190200.0,0,0,0,0,0,0,6,2026-02-03 01:02:00.893257
COMP,24.93,24.93,25.01,132600.0,138800.0,0,0,0,0,0,0,6,2026-02-03 01:02:00.893257
RITC,10.03,10.01,10.03,204900.0,193700.0,0,0,0,0,0,0,7,2026-02-03 01:02:01.931217
COMP,24.93,24.95,25.01,130900.0,138800.0,0,0,0,0,0,0,7,2026-02-03 01:02:01.931217
RITC,10.03,10.02,10.03,207000.0,193700.0,0,0,0,0,0,0,8,2026-02-03 01:02:02.469934
COMP,24.93,24.96,25.01,133000.0,138800.0,0,0,0,0,0,0,8,2026-02-03 01:02:02.469934
RITC,10.03,10.02,10.03,205300.0,193700.0,0,0,0,0,0,0,9,2026-02-03 01:02:03.504266
COMP,24.93,24.96,24.98,133000.0,137500.0,0,0,0,0,0,0,9,2026-02-03 01:02:03.504266
RITC,10.03,10.03,10.04,204400.0,182300.0,0,0,0,0,0,0,10,2026-02-03 01:02:04.537649
COMP,24.93,24.96,24.98,133000.0,137500.0,0,0,0,0,0,0,10,2026-02-03 01:02:04.537649
RITC,10.04,10.03,10.04,206600.0,182300.0,0,0,0,0,0,0,11,2026-02-03 01:02:05.567225
COMP,24.96,24.96,24.98,133000.0,137900.0,0,0,0,0,0,0,11,2026-02-03 01:02:05.567225
RITC,10.05,10.05,10.06,205100.0,161700.0,0,0,0,0,0,0,12,2026-02-03 01:02:06.599999
COMP,24.96,24.96,24.98,133000.0,136700.0,0,0,0,0,0,0,12,2026-02-03 01:02:06.599999
RITC,10.05,10.05,10.06,201300.0,161700.0,0,0,0,0,0,0,13,2026-02-03 01:02:07.628694
COMP,25.0,24.96,25.0,133000.0,138000.0,0,0,0,0,0,0,13,2026-02-03 01:02:07.628694
RITC,10.07,10.05,10.07,201300.0,143400.0,0,0,0,0,0,0,14,2026-02-03 01:02:08.658532
COMP,25.0,25.0,25.01,134900.0,137600.0,0,0,0,0,0,0,14,2026-02-03 01:02:08.658532
RITC,10.07,10.07,10.08,203900.0,134000.0,0,0,0,0,0,0,15,2026-02-03 01:02:09.688357
COMP,25.02,25.0,25.02,134900.0,137800.0,0,0,0,0,0,0,15,2026-02-03 01:02:09.688357
RITC,10.08,10.07,10.08,201300.0,134000.0,0,0,0,0,0,0,16,2026-02-03 01:02:10.711122
COMP,24.84,25.0,25.02,134900.0,137800.0,0,0,0,0,0,0,16,2026-02-03 01:02:10.711122
RITC,10.09,10.07,10.09,203000.0,124500.0,,0,0,0,0,0,17,2026-02-03 01:02:11.737575
COMP,25.02,24.95,25.02,133000.0,131900.0,5000.0,0,0,0,0,0,17,2026-02-03 01:02:11.737575
RITC,10.09,10.07,10.09,203000.0,115300.0,,0,0,0,0,0,18,2026-02-03 01:02:12.763521
COMP,25.02,25.0,25.02,132200.0,131900.0,5000.0,0,0,0,0,0,18,2026-02-03 01:02:12.763521
RITC,10.09,10.07,10.09,202300.0,95500.0,,0,0,0,0,0,19,2026-02-03 01:02:13.789157
COMP,25.02,25.0,25.02,132200.0,131900.0,5000.0,0,0,0,0,0,19,2026-02-03 01:02:13.789157
RITC,10.09,10.08,10.09,203900.0,95500.0,,0,0,0,0,0,20,2026-02-03 01:02:14.809132
COMP,25.02,25.0,25.02,134300.0,131900.0,5000.0,0,0,0,0,0,20,2026-02-03 01:02:14.809132
RITC,10.11,10.1,10.11,202300.0,93800.0,,0,0,0,0,0,21,2026-02-03 01:02:15.834074
COMP,25.02,25.0,25.02,135600.0,131900.0,5000.0,0,0,0,0,0,21,2026-02-03 01:02:15.834074
RITC,10.11,10.1,10.11,202300.0,93800.0,,0,0,0,0,0,22,2026-02-03 01:02:16.856509
COMP,25.02,25.0,25.02,137100.0,131900.0,5000.0,0,0,0,0,0,22,2026-02-03 01:02:16.856509
RITC,10.11,10.1,10.11,198200.0,93800.0,,0,0,0,0,0,23,2026-02-03 01:02:17.876286
COMP,25.02,25.0,25.02,137100.0,131900.0,5000.0,0,0,0,0,0,23,2026-02-03 01:02:17.876286
RITC,10.11,10.1,10.11,198700.0,96800.0,,0,0,0,0,0,24,2026-02-03 01:02:18.901198
COMP,25.02,25.0,25.02,136800.0,131300.0,5000.0,0,0,0,0,0,24,2026-02-03 01:02:18.901198
RITC,10.13,10.1,10.13,196300.0,99500.0,,0,0,0,0,0,25,2026-02-03 01:02:19.930277
COMP,25.02,25.0,25.02,136800.0,131700.0,5000.0,0,0,0,0,0,25,2026-02-03 01:02:19.930277
RITC,10.13,10.1,10.13,196300.0,96900.0,,0,0,0,0,0,26,2026-02-03 01:02:20.959255
COMP,25.02,25.01,25.02,137900.0,131800.0,5000.0,0,0,0,0,0,26,2026-02-03 01:02:20.959255
RITC,10.13,10.13,10.15,197300.0,101300.0,,0,0,0,0,0,27,2026-02-03 01:02:21.981756
COMP,25.01,25.01,25.02,137900.0,131800.0,5000.0,0,0,0,0,0,27,2026-02-03 01:02:21.981756
RITC,10.18,10.16,10.18,197300.0,97700.0,,0,0,0,0,0,28,2026-02-03 01:02:23.012617
COMP,25.02,25.01,25.02,137900.0,135000.0,5000.0,0,0,0,0,0,28,2026-02-03 01:02:23.012617
RITC,10.15,10.15,10.18,196600.0,97700.0,,0,0,0,0,0,29,2026-02-03 01:02:24.051977
COMP,25.02,25.01,25.02,137900.0,136200.0,5000.0,0,0,0,0,0,29,2026-02-03 01:02:24.051977
RITC,10.15,10.17,10.18,199700.0,97700.0,,0,0,0,0,0,30,2026-02-03 01:02:25.089657
COMP,25.02,25.01,25.02,137900.0,135900.0,5000.0,0,0,0,0,0,30,2026-02-03 01:02:25.089657
RITC,10.15,10.17,10.18,201700.0,97700.0,,0,0,0,0,0,31,2026-02-03 01:02:26.125684
COMP,25.03,25.01,25.03,137900.0,135900.0,5000.0,0,0,0,0,0,31,2026-02-03 01:02:26.125684
RITC,10.17,10.17,10.18,201700.0,97700.0,,0,0,0,0,0,32,2026-02-03 01:02:26.651772
COMP,25.03,25.01,25.03,137900.0,135900.0,5000.0,0,0,0,0,0,32,2026-02-03 01:02:26.651772
RITC,10.17,10.17,10.18,201200.0,97700.0,,0,0,0,0,0,33,2026-02-03 01:02:27.677903
COMP,25.03,25.01,25.03,137900.0,137400.0,5000.0,0,0,0,0,0,33,2026-02-03 01:02:27.677903
RITC,10.19,10.17,10.19,201200.0,98900.0,,0,0,0,0,0,34,2026-02-03 01:02:28.702144
COMP,25.01,25.01,25.03,137900.0,137400.0,5000.0,0,0,0,0,0,34,2026-02-03 01:02:28.702144
RITC,10.2,10.18,10.19,200800.0,97300.0,,0,0,0,0,0,35,2026-02-03 01:02:29.728061
COMP,25.03,25.01,25.03,137900.0,138800.0,5000.0,0,0,0,0,0,35,2026-02-03 01:02:29.728061
RITC,10.19,10.18,10.19,200800.0,97300.0,,0,0,0,0,0,36,2026-02-03 01:02:30.761151
COMP,25.03,25.01,25.03,138500.0,138800.0,5000.0,0,0,0,0,0,36,2026-02-03 01:02:30.761151
