ticker,last_price,bid_price,ask_price,BUY_ZUAI-5,SELL_ZUAI-5,BUY_ANON,SELL_ANON,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
PHR,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
BYL,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
CLD,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
GGD,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
PNR,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
FSR,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
ATB,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
SPK,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
EEC,0.0,0.0,0.0,0,0,0,0,0,2026-02-03 06:30:51.952964
TGX,43.62,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
BYL,43.51,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
GGD,31.51,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
FSR,30.52,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
SPK,52.8,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,1,2026-02-03 06:30:52.989470,,,,,,
TGX,43.55,43.54,43.56,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
PHR,47.06,47.05,47.07,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
BYL,43.53,43.52,43.54,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
CLD,79.43,79.42,79.44,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
GGD,31.49,31.48,31.5,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
PNR,59.8,59.79,59.81,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
FSR,30.55,30.54,30.56,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
ATB,62.17,62.16,62.18,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
SPK,52.74,52.73,52.75,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
EEC,47.88,47.87,47.89,50000000.0,50000000.0,0,0,2,2026-02-03 06:30:54.027583
TGX,43.61,43.6,43.62,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
PHR,47.12,47.11,47.13,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
BYL,43.47,43.46,43.48,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
CLD,79.16,79.15,79.17,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
GGD,31.47,31.46,31.48,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
PNR,59.88,59.87,59.89,50000000.0,50000000.0,0,0,3,2026-02-03 06:30:54.556556
