ticker,last_price,bid_price,ask_price,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,BUY_ANON,SELL_ANON,SELL_WRSW-6,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 10:28:29.512588
TGX,43.68,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
BYL,43.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
GGD,31.52,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
FSR,30.52,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
SPK,52.79,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 10:28:30.052688,,,,,,
TGX,43.67,43.66,43.68,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 10:28:31.100169
PHR,47.82,47.81,47.83,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 10:28:31.100169
BYL,43.55,43.54,43.56,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 10:28:31.100169
