ticker,last_price,bid_price,ask_price,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,BUY_ANON,SELL_ANON,SELL_WRSW-6,BUY_OTWA-1,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 19:44:33.265250
TGX,43.76,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
BYL,43.51,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
GGD,31.58,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
FSR,30.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
SPK,52.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 19:44:33.823172,,,,,,
TGX,43.68,43.67,43.69,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
PHR,47.6,47.59,47.61,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
BYL,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
CLD,79.91,79.9,79.92,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
GGD,31.6,31.59,31.61,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
PNR,59.77,59.76,59.78,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
FSR,30.55,30.54,30.56,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
ATB,61.96,61.95,61.97,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
SPK,52.67,52.66,52.68,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
EEC,47.69,47.68,47.7,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 19:44:34.866151
TGX,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
PHR,47.91,47.9,47.92,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
BYL,43.62,43.61,43.63,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
CLD,79.64,79.63,79.65,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
GGD,31.68,31.67,31.69,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
PNR,59.5,59.49,59.51,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
FSR,30.56,30.55,30.57,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
ATB,62.28,62.27,62.29,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
SPK,52.7,52.69,52.71,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
EEC,47.74,47.73,47.75,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 19:44:35.901443
TGX,43.74,43.73,43.75,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
PHR,47.77,47.76,47.78,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
BYL,43.6,43.59,43.61,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
CLD,79.61,79.6,79.62,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
GGD,31.71,31.7,31.72,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
PNR,59.49,59.48,59.5,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
FSR,30.58,30.57,30.59,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
ATB,61.87,61.86,61.88,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
SPK,52.68,52.67,52.69,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
EEC,47.73,47.72,47.74,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 19:44:36.931063
TGX,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
PHR,47.82,47.81,47.83,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
BYL,43.42,43.41,43.43,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
CLD,79.17,79.16,79.18,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
GGD,31.71,31.7,31.72,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
PNR,59.37,59.36,59.38,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
FSR,30.63,30.62,30.64,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
ATB,62.09,62.08,62.1,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
SPK,52.61,52.6,52.62,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
EEC,47.56,47.55,47.57,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 19:44:37.969500
TGX,43.7,43.69,43.71,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
PHR,48.3,48.29,48.31,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
BYL,43.6,43.59,43.61,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
CLD,79.62,79.61,79.63,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
GGD,31.73,31.72,31.74,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
PNR,59.52,59.51,59.53,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
FSR,30.64,30.63,30.65,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
ATB,61.88,61.87,61.89,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
SPK,52.76,52.75,52.77,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
EEC,47.78,47.77,47.79,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 19:44:38.999178
TGX,43.72,43.71,43.73,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
PHR,48.44,48.43,48.45,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
BYL,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
CLD,79.89,79.88,79.9,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
GGD,31.69,31.68,31.7,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
PNR,59.45,59.44,59.46,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
FSR,30.62,30.61,30.63,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 19:44:40.036567
