ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,SELL_WRSW-6,BUY_OTWA-1,BUY_WRSW-6,tick,timestamp
TGX,43.67,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
BYL,43.47,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
GGD,31.52,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
FSR,30.57,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
SPK,52.92,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 21:38:07.840486
TGX,43.67,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
BYL,43.47,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
GGD,31.52,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
FSR,30.57,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 21:38:08.439736,,,,,,
