ticker,last_price,bid_price,ask_price,SELL_CITY-3,SELL_BABS-1,BUY_LUIS-1,BUY_COLA-6,BUY_UOTA-1,SELL_GIOT-1,SELL_ANON,SELL_OTWA-1,SELL_UEBR-2,BUY_BABS-1,SELL_LUIS-1,BUY_GIOT-1,BUY_DUBL-6,SELL_UOTA-1,BUY_OTWA-1,BUY_UEBR-2,BUY_CITY-3,BUY_ANON,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 23:12:22.066646
TGX,43.74,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
BYL,43.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
GGD,31.46,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
FSR,30.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
SPK,52.79,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 23:12:22.615961,,,,,,
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
PHR,47.56,47.55,47.57,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
BYL,43.48,43.47,43.49,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
CLD,79.31,79.3,79.32,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
GGD,31.49,31.48,31.5,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
PNR,59.82,59.81,59.83,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
FSR,30.52,30.51,30.53,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
ATB,61.79,61.78,61.8,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
SPK,52.88,52.87,52.89,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
EEC,48.09,48.08,48.1,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 23:12:23.703838
TGX,43.69,43.68,43.7,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
PHR,47.46,47.45,47.47,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
BYL,43.44,43.43,43.45,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
CLD,79.19,79.18,79.2,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
GGD,31.5,31.49,31.51,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
PNR,59.59,59.58,59.6,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
FSR,30.53,30.52,30.54,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
ATB,61.49,61.48,61.5,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
SPK,52.81,52.8,52.82,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
EEC,48.01,48.0,48.02,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 23:12:24.790783
TGX,43.74,43.73,43.75,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 23:12:25.898946
PHR,47.36,47.35,47.37,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 23:12:25.898946
BYL,43.43,43.42,43.44,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 23:12:25.898946
CLD,79.31,79.3,79.32,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 23:12:25.898946
