ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,tick,timestamp
NG,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-day2,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-day3,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-day4,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-day5,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-day6,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
ELEC-F,0.0,0.0,0.0,0,0,0,2026-02-04 12:04:05.968240
NG,2.2,2.18,2.22,800000.0,800000.0,1,2026-02-04 12:04:06.814483,3.0,1.0,1.0,,You are logged in as a PRODUCER,
ELEC-day2,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,,,,,,
ELEC-day5,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,,,,,,
ELEC-day6,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,,,,,,
ELEC-F,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.814483,,,,,,
NG,2.19,2.17,2.21,800000.0,800000.0,2,2026-02-04 12:04:07.501819,4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.
ELEC-day2,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
ELEC-day3,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
ELEC-day4,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
ELEC-day5,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
ELEC-day6,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
ELEC-F,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501819,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,3,2026-02-04 12:04:08.992539
ELEC-day2,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
ELEC-day3,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
ELEC-day4,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
ELEC-day5,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
ELEC-day6,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
ELEC-F,0.0,0.0,0.0,,,3,2026-02-04 12:04:08.992539
NG,2.21,2.19,2.23,800000.0,800000.0,4,2026-02-04 12:04:09.876342
ELEC-day2,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
ELEC-day3,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
ELEC-day4,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
ELEC-day5,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
ELEC-day6,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
ELEC-F,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.876342
NG,2.21,2.19,2.23,800000.0,800000.0,5,2026-02-04 12:04:10.417438
ELEC-day2,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
ELEC-day3,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
ELEC-day4,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
ELEC-day5,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
ELEC-day6,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
ELEC-F,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.417438
NG,2.21,2.19,2.23,800000.0,800000.0,6,2026-02-04 12:04:11.467222
ELEC-day2,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
ELEC-day3,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
ELEC-day4,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
ELEC-day5,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
ELEC-day6,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
ELEC-F,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.467222
NG,2.21,2.19,2.23,800000.0,800000.0,7,2026-02-04 12:04:12.543161
ELEC-day2,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
ELEC-day3,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
ELEC-day4,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
ELEC-day5,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
ELEC-day6,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
ELEC-F,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.543161
NG,2.19,2.17,2.21,800000.0,800000.0,8,2026-02-04 12:04:13.594038
ELEC-day2,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
ELEC-day3,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
ELEC-day4,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
ELEC-day5,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
ELEC-day6,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
ELEC-F,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.594038
