news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-T1,BUY_LUIS-T1
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,2,2026-02-01 05:09:23.718975,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,2,2026-02-01 05:09:23.718975,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 05:09:23.718975,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 05:09:23.718975,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 05:09:23.718975,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 05:09:23.718975,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 05:09:23.718975,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,3,2026-02-01 05:09:24.854114,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,3,2026-02-01 05:09:24.854114,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 05:09:24.854114,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 05:09:24.854114,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 05:09:24.854114,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 05:09:24.854114,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 05:09:24.854114,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,4,2026-02-01 05:09:25.886133,NG,2.21,2.19,2.23,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,4,2026-02-01 05:09:25.886133,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 05:09:25.886133,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 05:09:25.886133,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 05:09:25.886133,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 05:09:25.886133,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 05:09:25.886133,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,5,2026-02-01 05:09:26.923178,NG,2.21,2.19,2.23,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,5,2026-02-01 05:09:26.923178,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 05:09:26.923178,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 05:09:26.923178,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 05:09:26.923178,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 05:09:26.923178,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 05:09:26.923178,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,6,2026-02-01 05:09:27.950083,NG,2.21,2.19,2.23,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,6,2026-02-01 05:09:27.950083,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 05:09:27.950083,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 05:09:27.950083,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 05:09:27.950083,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 05:09:27.950083,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 05:09:27.950083,ELEC-F,0.0,0.0,0.0,,,0,0
