ticker,last_price,bid_price,ask_price,BUY_CITY-P,BUY_ANON,SELL_CITY-P,SELL_ANON,BUY_CITY-D,BUY_DUBL-T1,SELL_DUBL-T1,SELL_CITY-T1,BUY_CHUL-P,BUY_CITY-T1,SELL_CITY-D,SELL_CITY-T2,tick,timestamp
NG,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-day2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-day3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-day4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-day5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-day6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
ELEC-F,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:31:47.383688
NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:31:47.924416,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:31:48.967286,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:31:50.010710
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:31:51.052214
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:31:52.091402
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:31:53.128599
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:31:53.128599
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:31:53.128599
