ticker,last_price,bid_price,ask_price,SELL_UOTB-D,BUY_ANON,SELL_ANON,BUY_UOTB-P,BUY_UOTB-D,SELL_UOTB-T1,SELL_UOTB-P,SELL_BABS-P,tick,timestamp
NG,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-day2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-day3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-day4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-day5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-day6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
ELEC-F,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 17:04:07.342698
NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 17:04:07.956816,,,,,,
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 27 and 34 degrees Celsius.
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 17:04:09.119267,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 17:04:10.156550
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,4,2026-02-04 17:04:11.204347
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,5,2026-02-04 17:04:12.259743
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:13.299885
NG,2.23,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.344742
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:14.930713
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.086075
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.127921
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.198365
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:19.278240
NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.325244
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.362552
