news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-P,SELL_GIOT-P
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 02:26:28.364029,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 02:26:28.364029,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 02:26:28.364029,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:26:28.364029,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:26:28.364029,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:26:28.364029,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:26:28.364029,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 02:26:29.498359,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 02:26:29.498359,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 02:26:29.498359,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:26:29.498359,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:26:29.498359,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:26:29.498359,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:26:29.498359,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 02:26:30.547946,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 02:26:30.547946,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 02:26:30.547946,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:26:30.547946,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:26:30.547946,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:26:30.547946,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:26:30.547946,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,5,2026-02-01 02:26:31.588181,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 02:26:31.588181,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 02:26:31.588181,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 02:26:31.588181,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 02:26:31.588181,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 02:26:31.588181,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 02:26:31.588181,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,6,2026-02-01 02:26:32.624273,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 02:26:32.624273,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 02:26:32.624273,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 02:26:32.624273,ELEC-day4,0.0,0.0,0.0,,,0,0
