news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-P,BUY_LUIS-T2,BUY_BOST-D,BUY_LUIS-T1,BUY_GIOT-P,SELL_LUIS-T2,SELL_LUIS-T1
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,3,2026-02-01 11:24:19.967037,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,3,2026-02-01 11:24:19.967037,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 11:24:19.967037,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 11:24:19.967037,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:24:19.967037,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:24:19.967037,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:24:19.967037,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,4,2026-02-01 11:24:20.996985,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,4,2026-02-01 11:24:20.996985,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 11:24:20.996985,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 11:24:20.996985,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:24:20.996985,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:24:20.996985,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:24:20.996985,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,5,2026-02-01 11:24:22.026642,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,5,2026-02-01 11:24:22.026642,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 11:24:22.026642,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 11:24:22.026642,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:24:22.026642,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:24:22.026642,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:24:22.026642,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,6,2026-02-01 11:24:23.064978,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,6,2026-02-01 11:24:23.064978,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 11:24:23.064978,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 11:24:23.064978,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:24:23.064978,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:24:23.064978,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:24:23.064978,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,7,2026-02-01 11:24:24.087056,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,7,2026-02-01 11:24:24.087056,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 11:24:24.087056,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 11:24:24.087056,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
