news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CALG-1,BUY_CALG-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,1,2026-02-01 02:52:32.019128,SPNG,24.82,24.82,25.08,2340500.0,2066900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 02:52:32.019128,SMMR,25.06,24.98,25.06,2064100.0,2036800.0,0,0
,,,,,,1,2026-02-01 02:52:32.019128,ATMN,25.16,24.76,25.16,2040100.0,1758900.0,0,0
,,,,,,1,2026-02-01 02:52:32.019128,WNTR,25.05,25.02,25.05,2133100.0,2196900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,2,2026-02-01 02:52:33.041270,SPNG,25.08,24.82,25.08,2340500.0,2164400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 02:52:33.041270,SMMR,25.07,25.03,25.07,2090800.0,2039000.0,0,0
,,,,,,2,2026-02-01 02:52:33.041270,ATMN,24.76,24.76,25.16,2036200.0,1855100.0,0,0
,,,,,,2,2026-02-01 02:52:33.041270,WNTR,25.02,25.02,25.08,2103700.0,2195200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,4,2026-02-01 02:52:34.093307,SPNG,25.25,24.82,24.84,2345100.0,2158000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 02:52:34.093307,SMMR,25.07,25.03,25.07,2078700.0,2012100.0,0,0
,,,,,,4,2026-02-01 02:52:34.093307,ATMN,24.76,24.76,25.16,2021500.0,1855100.0,0,0
,,,,,,4,2026-02-01 02:52:34.093307,WNTR,24.97,24.97,25.08,2114900.0,2211700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,5,2026-02-01 02:52:35.122995,SPNG,24.84,25.14,25.25,2317700.0,2062400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 02:52:35.122995,SMMR,25.07,25.03,25.07,2074700.0,2022500.0,0,0
,,,,,,5,2026-02-01 02:52:35.122995,ATMN,24.76,24.97,25.03,2049000.0,1955900.0,0,0
,,,,,,5,2026-02-01 02:52:35.122995,WNTR,24.95,24.9,24.93,2093200.0,2200000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,6,2026-02-01 02:52:36.155493,SPNG,24.9,24.82,24.9,2344000.0,2188000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 02:52:36.155493,SMMR,25.03,25.03,25.07,2040500.0,2022500.0,0,0
,,,,,,6,2026-02-01 02:52:36.155493,ATMN,24.97,24.97,25.03,2045100.0,1962800.0,0,0
,,,,,,6,2026-02-01 02:52:36.155493,WNTR,24.93,24.88,24.93,2080800.0,2200000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,7,2026-02-01 02:52:37.198737,SPNG,24.9,24.92,24.93,2338600.0,2177400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 02:52:37.198737,SMMR,24.98,24.98,25.07,2013700.0,2024700.0,0,0
,,,,,,7,2026-02-01 02:52:37.198737,ATMN,24.76,24.76,25.03,2021500.0,1962800.0,0,0
,,,,,,7,2026-02-01 02:52:37.198737,WNTR,24.93,25.07,25.08,2071800.0,2203300.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,8,2026-02-01 02:52:38.223489,SPNG,24.93,25.14,25.25,2319200.0,2174300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 02:52:38.223489,SMMR,24.98,24.98,25.01,2013700.0,2005200.0,0,0
,,,,,,8,2026-02-01 02:52:38.223489,ATMN,24.76,24.98,25.03,2035300.0,1997900.0,0,0
,,,,,,8,2026-02-01 02:52:38.223489,WNTR,25.09,24.96,25.09,2067400.0,2198600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,9,2026-02-01 02:52:39.259808,SPNG,24.92,24.92,25.25,2308900.0,2184900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 02:52:39.259808,SMMR,24.92,24.95,24.98,2055800.0,2012200.0,0,0
,,,,,,9,2026-02-01 02:52:39.259808,ATMN,24.98,24.98,25.03,2035300.0,1996900.0,0,0
,,,,,,9,2026-02-01 02:52:39.259808,WNTR,25.09,24.96,25.01,2077200.0,2193400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,10,2026-02-01 02:52:40.289272,SPNG,24.82,24.82,24.83,2320200.0,2175400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 02:52:40.289272,SMMR,24.92,24.92,25.0,2074700.0,2025300.0,0,0
,,,,,,10,2026-02-01 02:52:40.289272,ATMN,24.96,24.96,25.03,2034000.0,2003800.0,0,0
,,,,,,10,2026-02-01 02:52:40.289272,WNTR,25.12,24.96,25.12,2077200.0,2178900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,11,2026-02-01 02:52:41.318157,SPNG,25.2,25.2,25.25,2360500.0,2178000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 02:52:41.318157,SMMR,25.07,24.94,25.07,2052300.0,2016300.0,0,0
,,,,,,11,2026-02-01 02:52:41.318157,ATMN,25.04,24.96,25.04,2022100.0,2010300.0,0,0
,,,,,,11,2026-02-01 02:52:41.318157,WNTR,24.96,24.87,24.9,2081800.0,2173000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,12,2026-02-01 02:52:42.341695,SPNG,25.25,24.81,25.25,2301900.0,2178000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 02:52:42.341695,SMMR,25.09,24.92,25.09,2072300.0,2059400.0,0,0
,,,,,,12,2026-02-01 02:52:42.341695,ATMN,24.96,24.91,24.95,2025500.0,1995600.0,0,0
,,,,,,12,2026-02-01 02:52:42.341695,WNTR,24.86,24.87,24.91,2108300.0,2169900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,13,2026-02-01 02:52:43.384270,SPNG,25.25,25.19,25.25,2349800.0,2202400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 02:52:43.384270,SMMR,25.1,24.99,25.1,2106400.0,2079600.0,0,0
,,,,,,13,2026-02-01 02:52:43.384270,ATMN,25.04,24.91,25.04,2025500.0,2010300.0,0,0
,,,,,,13,2026-02-01 02:52:43.384270,WNTR,24.91,24.97,25.07,2103200.0,2146600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,14,2026-02-01 02:52:44.443661,SPNG,25.26,24.76,25.26,2345600.0,2195200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 02:52:44.443661,SMMR,25.11,24.89,25.11,2118200.0,2078700.0,0,0
,,,,,,14,2026-02-01 02:52:44.443661,ATMN,25.19,25.2,25.23,2038300.0,2007500.0,0,0
,,,,,,14,2026-02-01 02:52:44.443661,WNTR,25.12,24.97,25.12,2103200.0,2195300.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,15,2026-02-01 02:52:45.479912,SPNG,25.26,25.2,25.26,2347100.0,2195200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 02:52:45.479912,SMMR,25.01,25.01,25.11,2090600.0,2073600.0,0,0
,,,,,,15,2026-02-01 02:52:45.479912,ATMN,25.2,24.91,25.05,2025500.0,1999000.0,0,0
,,,,,,15,2026-02-01 02:52:45.479912,WNTR,24.97,24.97,25.12,2139800.0,2218300.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,16,2026-02-01 02:52:46.510603,SPNG,25.2,25.2,25.35,2347100.0,2142200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,16,2026-02-01 02:52:46.510603,SMMR,24.89,24.89,25.13,2089600.0,2079200.0,0,0
,,,,,,16,2026-02-01 02:52:46.510603,ATMN,25.28,25.25,25.28,2041100.0,2016300.0,0,0
,,,,,,16,2026-02-01 02:52:46.510603,WNTR,24.95,24.97,25.01,2153800.0,2228200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,17,2026-02-01 02:52:47.537975,SPNG,25.2,24.76,25.15,2369600.0,2201400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 02:52:47.537975,SMMR,25.16,25.07,25.16,2112500.0,2082500.0,0,0
,,,,,,17,2026-02-01 02:52:47.537975,ATMN,25.25,25.25,25.28,2041100.0,2021100.0,0,0
,,,,,,17,2026-02-01 02:52:47.537975,WNTR,25.01,24.97,25.01,2153800.0,2206000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,18,2026-02-01 02:52:48.591579,SPNG,24.75,24.75,25.35,2336200.0,2176200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 02:52:48.591579,SMMR,25.16,25.07,25.11,2092400.0,2075500.0,0,0
,,,,,,18,2026-02-01 02:52:48.591579,ATMN,24.91,24.91,25.28,2040400.0,1996200.0,0,0
,,,,,,18,2026-02-01 02:52:48.591579,WNTR,24.96,24.96,25.01,2149000.0,2206000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,19,2026-02-01 02:52:49.661898,SPNG,25.24,24.95,25.03,2329400.0,2192900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,19,2026-02-01 02:52:49.661898,SMMR,25.11,25.07,25.1,2092400.0,2068700.0,0,0
,,,,,,19,2026-02-01 02:52:49.661898,ATMN,24.68,24.81,25.28,2047800.0,1996200.0,0,0
,,,,,,19,2026-02-01 02:52:49.661898,WNTR,25.07,24.88,24.93,2130600.0,2244500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,20,2026-02-01 02:52:50.717533,SPNG,25.0,24.95,25.0,2329400.0,2177400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,20,2026-02-01 02:52:50.717533,SMMR,25.11,25.08,25.11,2094900.0,2065500.0,0,0
,,,,,,20,2026-02-01 02:52:50.717533,ATMN,24.67,25.25,25.28,2029400.0,1996200.0,0,0
,,,,,,20,2026-02-01 02:52:50.717533,WNTR,24.88,24.88,25.12,2130600.0,2209500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,21,2026-02-01 02:52:51.752515,SPNG,24.89,24.89,25.42,2345200.0,2166100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,21,2026-02-01 02:52:51.752515,SMMR,25.14,25.08,25.14,2094900.0,2036900.0,0,0
,,,,,,21,2026-02-01 02:52:51.752515,ATMN,25.25,25.08,25.1,2016400.0,2034000.0,0,0
,,,,,,21,2026-02-01 02:52:51.752515,WNTR,24.88,25.06,25.12,2167300.0,2209500.0,0,0
