news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_COLA-6,BUY_COLA-6
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,2,2026-02-01 04:59:44.524395,SPNG,25.17,24.58,25.17,2147600.0,1696800.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 04:59:44.524395,SMMR,24.99,24.99,25.0,2119600.0,2134300.0,0,0
,,,,,,2,2026-02-01 04:59:44.524395,ATMN,25.17,24.82,25.17,1597200.0,2074800.0,0,0
,,,,,,2,2026-02-01 04:59:44.524395,WNTR,25.11,24.98,25.11,2097500.0,2027000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,3,2026-02-01 04:59:45.554956,SPNG,24.69,24.69,25.17,2152100.0,1696800.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 04:59:45.554956,SMMR,24.99,24.99,25.0,2112200.0,2114000.0,0,0
,,,,,,3,2026-02-01 04:59:45.554956,ATMN,24.62,25.14,25.16,1588100.0,2095600.0,0,0
,,,,,,3,2026-02-01 04:59:45.554956,WNTR,25.13,24.98,25.13,2077800.0,1816400.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,4,2026-02-01 04:59:46.575623,SPNG,24.69,25.01,25.16,2146200.0,1908300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 04:59:46.575623,SMMR,24.98,24.98,25.07,2106500.0,2104900.0,0,0
,,,,,,4,2026-02-01 04:59:46.575623,ATMN,25.14,25.14,25.16,1588100.0,2117700.0,0,0
,,,,,,4,2026-02-01 04:59:46.575623,WNTR,24.99,24.98,24.99,2055600.0,2042000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,5,2026-02-01 04:59:47.599015,SPNG,25.16,25.01,25.11,2146200.0,2115100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 04:59:47.599015,SMMR,25.13,24.91,25.13,2112100.0,2070600.0,0,0
,,,,,,5,2026-02-01 04:59:47.599015,ATMN,24.6,24.6,25.06,1351800.0,2119600.0,0,0
,,,,,,5,2026-02-01 04:59:47.599015,WNTR,25.1,24.96,25.1,2071400.0,1941000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,6,2026-02-01 04:59:48.616827,SPNG,25.16,25.01,25.11,2149700.0,2115100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 04:59:48.616827,SMMR,24.93,24.91,24.93,2128800.0,2081500.0,0,0
,,,,,,6,2026-02-01 04:59:48.616827,ATMN,25.06,25.12,25.16,1458100.0,2123300.0,0,0
,,,,,,6,2026-02-01 04:59:48.616827,WNTR,24.96,24.96,25.1,2055600.0,1941000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,7,2026-02-01 04:59:49.649900,SPNG,25.01,25.01,25.11,2205800.0,2129100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 04:59:49.649900,SMMR,24.89,24.89,25.09,2128200.0,2111100.0,0,0
,,,,,,7,2026-02-01 04:59:49.649900,ATMN,24.96,24.86,24.96,1452100.0,2136400.0,0,0
,,,,,,7,2026-02-01 04:59:49.649900,WNTR,25.06,25.02,25.06,2038100.0,2126500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,8,2026-02-01 04:59:50.674368,SPNG,25.01,25.01,25.16,2191100.0,2117400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 04:59:50.674368,SMMR,25.14,24.89,24.93,2128200.0,2095500.0,0,0
,,,,,,8,2026-02-01 04:59:50.674368,ATMN,24.96,25.09,25.16,1584600.0,2123300.0,0,0
,,,,,,8,2026-02-01 04:59:50.674368,WNTR,25.06,25.02,25.06,2047300.0,2126500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,9,2026-02-01 04:59:51.706225,SPNG,25.17,24.95,25.17,2169400.0,2003700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 04:59:51.706225,SMMR,24.93,25.05,25.14,2143600.0,2103100.0,0,0
,,,,,,9,2026-02-01 04:59:51.706225,ATMN,25.09,24.71,24.91,1703700.0,2129100.0,0,0
,,,,,,9,2026-02-01 04:59:51.706225,WNTR,25.09,25.09,25.1,2064200.0,1941000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,10,2026-02-01 04:59:52.749172,SPNG,24.69,24.69,25.56,2154900.0,1808400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 04:59:52.749172,SMMR,24.92,24.92,25.14,2116700.0,2103100.0,0,0
,,,,,,10,2026-02-01 04:59:52.749172,ATMN,24.91,24.76,24.91,1796300.0,2129100.0,0,0
,,,,,,10,2026-02-01 04:59:52.749172,WNTR,25.13,25.09,25.13,2041000.0,1904900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,11,2026-02-01 04:59:53.778720,SPNG,24.69,24.69,25.52,2168400.0,1993100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 04:59:53.778720,SMMR,25.18,25.04,25.18,2129500.0,2107600.0,0,0
,,,,,,11,2026-02-01 04:59:53.778720,ATMN,24.91,25.0,25.16,2020200.0,2115400.0,0,0
,,,,,,11,2026-02-01 04:59:53.778720,WNTR,25.1,25.09,25.1,2049300.0,2021100.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,12,2026-02-01 04:59:54.814292,SPNG,25.56,24.69,25.56,2168400.0,1983500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 04:59:54.814292,SMMR,24.81,25.16,25.18,2152900.0,2136400.0,0,0
,,,,,,12,2026-02-01 04:59:54.814292,ATMN,25.18,25.0,25.18,2020200.0,2113000.0,0,0
,,,,,,12,2026-02-01 04:59:54.814292,WNTR,25.1,25.09,25.1,2078000.0,2021100.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,13,2026-02-01 04:59:55.881467,SPNG,25.56,25.07,25.51,2174600.0,2099700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 04:59:55.881467,SMMR,25.16,24.98,25.14,2135700.0,2129200.0,0,0
,,,,,,13,2026-02-01 04:59:55.881467,ATMN,25.07,25.0,25.07,2020200.0,2074000.0,0,0
,,,,,,13,2026-02-01 04:59:55.881467,WNTR,25.06,25.06,25.1,2064700.0,2142600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,14,2026-02-01 04:59:56.960237,SPNG,25.08,25.27,25.49,2163000.0,2100500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 04:59:56.960237,SMMR,25.04,24.98,25.04,2135700.0,2105800.0,0,0
,,,,,,14,2026-02-01 04:59:56.960237,ATMN,25.15,25.0,25.14,2020200.0,2095200.0,0,0
,,,,,,14,2026-02-01 04:59:56.960237,WNTR,25.14,25.06,25.14,2074800.0,1940800.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,15,2026-02-01 04:59:57.997064,SPNG,24.69,25.01,25.49,2160400.0,2100500.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 04:59:57.997064,SMMR,25.04,24.98,25.04,2146600.0,2114900.0,0,0
,,,,,,15,2026-02-01 04:59:57.997064,ATMN,25.06,25.06,25.12,2138600.0,2087700.0,0,0
,,,,,,15,2026-02-01 04:59:57.997064,WNTR,25.14,25.09,25.11,2074700.0,2152900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,17,2026-02-01 04:59:59.050130,SPNG,24.69,25.01,25.3,2125500.0,2078400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 04:59:59.050130,SMMR,25.06,24.99,25.06,2142600.0,2088500.0,0,0
,,,,,,17,2026-02-01 04:59:59.050130,ATMN,24.76,24.87,25.12,2016800.0,2087700.0,0,0
,,,,,,17,2026-02-01 04:59:59.050130,WNTR,25.14,25.1,25.14,2047200.0,2158200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,18,2026-02-01 05:00:00.089873,SPNG,24.58,24.98,25.3,2149700.0,2043900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 05:00:00.089873,SMMR,25.06,24.89,24.98,2142000.0,2115500.0,0,0
,,,,,,18,2026-02-01 05:00:00.089873,ATMN,24.76,24.95,25.12,2238900.0,2087700.0,0,0
,,,,,,18,2026-02-01 05:00:00.089873,WNTR,25.15,25.06,25.15,2074800.0,2051600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,19,2026-02-01 05:00:01.132098,SPNG,25.02,25.02,25.3,2187600.0,2043900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,19,2026-02-01 05:00:01.132098,SMMR,25.09,24.93,25.09,2158800.0,2112100.0,0,0
,,,,,,19,2026-02-01 05:00:01.132098,ATMN,24.87,24.87,25.12,2142400.0,2092900.0,0,0
,,,,,,19,2026-02-01 05:00:01.132098,WNTR,25.05,25.05,25.23,2088200.0,1855500.0,0,0
