news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-3,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,1,2026-02-01 05:18:11.116903,SPNG,24.98,24.98,25.05,1997700.0,2120700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 05:18:11.116903,SMMR,24.95,25.05,25.07,2066900.0,2213300.0,0,0,0,0
,,,,,,1,2026-02-01 05:18:11.116903,ATMN,24.78,24.78,0.0,2367300.0,2274200.0,0,0,0,0
,,,,,,1,2026-02-01 05:18:11.116903,WNTR,25.07,24.93,25.07,2186400.0,2299500.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,2,2026-02-01 05:18:12.183083,SPNG,24.95,24.95,25.05,1753400.0,2119400.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 05:18:12.183083,SMMR,25.05,24.93,24.95,2033400.0,2238800.0,0,0,0,0
,,,,,,2,2026-02-01 05:18:12.183083,ATMN,24.77,24.77,25.09,2249000.0,2274200.0,0,0,0,0
,,,,,,2,2026-02-01 05:18:12.183083,WNTR,25.07,24.93,25.05,2186400.0,2291400.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,3,2026-02-01 05:18:13.238077,SPNG,25.04,25.04,25.05,1970900.0,2500.0,2108700.0,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 05:18:13.238077,SMMR,25.07,24.93,25.07,2139900.0,,2221200.0,,0,0
,,,,,,3,2026-02-01 05:18:13.238077,ATMN,25.12,24.77,24.89,2249000.0,,2197300.0,2500.0,0,0
,,,,,,3,2026-02-01 05:18:13.238077,WNTR,25.17,24.93,25.17,2187900.0,,2331900.0,,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,4,2026-02-01 05:18:14.263109,SPNG,25.05,25.04,25.05,2088900.0,2500.0,2108700.0,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 05:18:14.263109,SMMR,25.09,24.97,25.07,2073500.0,2500.0,2121100.0,2500.0,0,0
,,,,,,4,2026-02-01 05:18:14.263109,ATMN,24.74,24.74,25.19,2256500.0,,2174900.0,2500.0,0,0
,,,,,,4,2026-02-01 05:18:14.263109,WNTR,24.93,24.93,25.06,2187900.0,,2236300.0,5000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,5,2026-02-01 05:18:15.303353,SPNG,24.91,25.03,25.16,1946900.0,2120600.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 05:18:15.303353,SMMR,25.02,24.97,25.02,2073500.0,2257700.0,2500.0,,0,0
,,,,,,5,2026-02-01 05:18:15.303353,ATMN,25.2,24.75,25.2,2256500.0,2278700.0,2500.0,,0,0
,,,,,,5,2026-02-01 05:18:15.303353,WNTR,25.13,24.94,25.05,2099700.0,2236300.0,2500.0,2500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,6,2026-02-01 05:18:16.344757,SPNG,25.16,25.16,25.24,1736600.0,2121600.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 05:18:16.344757,SMMR,24.93,24.84,24.85,2149400.0,2181000.0,2500.0,,0,0
,,,,,,6,2026-02-01 05:18:16.344757,ATMN,25.27,24.78,24.95,2211800.0,2290700.0,,5000.0,0,0
,,,,,,6,2026-02-01 05:18:16.344757,WNTR,25.13,25.14,25.17,2154700.0,2331900.0,,,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,7,2026-02-01 05:18:17.395390,SPNG,25.16,24.77,24.98,1754300.0,5000.0,5000.0,1992800.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 05:18:17.395390,SMMR,24.93,24.84,24.85,2212300.0,,2500.0,2181000.0,0,0
,,,,,,7,2026-02-01 05:18:17.395390,ATMN,25.04,24.78,25.04,2211800.0,5000.0,,2303700.0,0,0
,,,,,,7,2026-02-01 05:18:17.395390,WNTR,24.91,25.0,25.17,2170700.0,,,2361500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,8,2026-02-01 05:18:18.437857,SPNG,25.33,24.77,25.33,1867100.0,5000.0,2140700.0,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 05:18:18.437857,SMMR,24.85,24.86,25.01,2207400.0,,2148200.0,2500.0,0,0
,,,,,,8,2026-02-01 05:18:18.437857,ATMN,24.76,24.76,25.03,2196400.0,5000.0,2228600.0,2500.0,0,0
,,,,,,8,2026-02-01 05:18:18.437857,WNTR,25.0,25.1,25.12,2062000.0,2500.0,2242500.0,2500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,9,2026-02-01 05:18:19.473345,SPNG,25.06,24.78,24.95,10000.0,1997000.0,2040200.0,5000.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 05:18:19.473345,SMMR,25.09,24.87,25.02,2500.0,2091700.0,2094200.0,2500.0,0,0
,,,,,,9,2026-02-01 05:18:19.473345,ATMN,24.98,24.77,24.98,7500.0,2088400.0,2229100.0,2500.0,0,0
,,,,,,9,2026-02-01 05:18:19.473345,WNTR,25.0,24.91,24.97,,2190800.0,2267100.0,2500.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,10,2026-02-01 05:18:20.592419,SPNG,24.9,24.98,25.31,12500.0,1990700.0,7500.0,1905200.0,0,0
