news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-3,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,1,2026-02-01 09:15:00.932835,SPNG,24.78,25.04,0.0,2052500.0,2186900.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 09:15:00.932835,SMMR,0.0,0.0,0.0,1986100.0,2051400.0,0,0,0,0,0,0
,,,,,,1,2026-02-01 09:15:00.932835,ATMN,25.07,0.0,25.07,2153300.0,1977100.0,0,0,0,0,0,0
,,,,,,1,2026-02-01 09:15:00.932835,WNTR,25.02,25.03,25.07,2310100.0,2116600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,2,2026-02-01 09:15:01.955911,SPNG,24.78,24.78,25.05,2059500.0,2159300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 09:15:01.955911,SMMR,24.98,24.98,25.05,1986100.0,2043200.0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:15:01.955911,ATMN,24.87,24.87,25.07,2193200.0,2087000.0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:15:01.955911,WNTR,25.07,24.99,25.07,2291800.0,2116600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,3,2026-02-01 09:15:02.982817,SPNG,24.72,24.72,25.05,2072200.0,2159300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 09:15:02.982817,SMMR,24.98,24.98,25.0,2194700.0,2033500.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:15:02.982817,ATMN,25.01,25.02,25.07,2200600.0,2087000.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:15:02.982817,WNTR,24.99,25.02,25.07,2269300.0,2232800.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,4,2026-02-01 09:15:04.001089,SPNG,25.03,24.75,25.01,2074100.0,2170300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 09:15:04.001089,SMMR,24.99,24.99,25.0,2214500.0,2033500.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:15:04.001089,ATMN,25.07,24.87,25.0,2193200.0,2294300.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:15:04.001089,WNTR,24.99,25.02,25.07,2268700.0,2272100.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,5,2026-02-01 09:15:05.031445,SPNG,25.03,24.87,25.01,2090300.0,2170300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 09:15:05.031445,SMMR,25.05,24.98,25.05,2169400.0,2019200.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:15:05.031445,ATMN,24.83,24.83,25.0,2164100.0,2294300.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:15:05.031445,WNTR,25.09,25.03,25.09,2274500.0,2239200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,6,2026-02-01 09:15:06.052978,SPNG,25.16,24.87,25.16,2090300.0,2189500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 09:15:06.052978,SMMR,24.96,24.96,25.05,2185100.0,2027600.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:15:06.052978,ATMN,24.83,24.97,25.0,2172800.0,2288700.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:15:06.052978,WNTR,25.02,25.07,25.09,2241800.0,2239200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,7,2026-02-01 09:15:07.086501,SPNG,25.16,24.87,25.16,2076700.0,2192700.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 09:15:07.086501,SMMR,24.91,24.91,25.06,2176900.0,2028300.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:15:07.086501,ATMN,24.83,24.97,25.0,2162900.0,2277500.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:15:07.086501,WNTR,25.01,25.05,25.09,2242400.0,2239200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,8,2026-02-01 09:15:08.105228,SPNG,24.75,24.75,25.16,2095800.0,2192700.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 09:15:08.105228,SMMR,25.01,25.03,25.06,2181700.0,2011800.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:15:08.105228,ATMN,24.97,24.83,24.88,2174900.0,2275200.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:15:08.105228,WNTR,25.0,25.0,25.02,2282300.0,2278600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,9,2026-02-01 09:15:09.139467,SPNG,25.43,25.43,25.5,2101500.0,2172000.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 09:15:09.139467,SMMR,25.1,25.03,25.1,2173100.0,2029200.0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:15:09.139467,ATMN,25.06,25.06,25.07,2192800.0,2282400.0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:15:09.139467,WNTR,25.12,24.98,25.12,2272900.0,2223800.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,10,2026-02-01 09:15:10.183009,SPNG,24.71,24.71,25.4,2098100.0,2167300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 09:15:10.183009,SMMR,24.91,24.91,25.1,2057600.0,2030300.0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:15:10.183009,ATMN,24.69,24.93,25.07,2178500.0,2282400.0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:15:10.183009,WNTR,25.12,25.05,25.12,2289400.0,2259700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,11,2026-02-01 09:15:11.209825,SPNG,25.5,24.71,25.5,2098100.0,2172000.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 09:15:11.209825,SMMR,25.12,24.9,25.12,2072000.0,2034000.0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:15:11.209825,ATMN,24.93,24.89,24.92,2172800.0,2268000.0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:15:11.209825,WNTR,25.12,25.05,25.12,2289400.0,2261100.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,12,2026-02-01 09:15:12.242707,SPNG,25.02,24.71,25.02,2085600.0,2178100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 09:15:12.242707,SMMR,25.13,25.12,25.13,1963700.0,2062100.0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:15:12.242707,ATMN,24.69,24.69,24.91,2151100.0,2218700.0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:15:12.242707,WNTR,25.01,25.1,25.12,2301000.0,2251200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,13,2026-02-01 09:15:13.262718,SPNG,25.02,25.12,25.5,2084000.0,2172000.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 09:15:13.262718,SMMR,24.82,24.98,25.13,1865300.0,2062100.0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:15:13.262718,ATMN,25.07,24.77,25.07,2146800.0,2266600.0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:15:13.262718,WNTR,25.01,25.1,25.12,2311100.0,2243500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,14,2026-02-01 09:15:14.313018,SPNG,24.98,24.98,25.41,2087700.0,2126100.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 09:15:14.313018,SMMR,24.91,24.91,25.13,1768100.0,2062100.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 09:15:14.313018,ATMN,25.09,24.77,25.09,2146800.0,2236300.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 09:15:14.313018,WNTR,25.08,25.08,25.12,2299500.0,2249700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,15,2026-02-01 09:15:15.342825,SPNG,24.71,24.71,25.41,2085600.0,2116300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 09:15:15.342825,SMMR,24.91,24.81,24.83,1823100.0,2050600.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 09:15:15.342825,ATMN,25.11,24.69,25.11,2151100.0,2263000.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 09:15:15.342825,WNTR,24.92,24.92,25.12,2284400.0,2249700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,16,2026-02-01 09:15:16.377971,SPNG,24.71,25.32,25.41,2078100.0,2111300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,16,2026-02-01 09:15:16.377971,SMMR,25.12,24.81,25.02,1952300.0,2065500.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 09:15:16.377971,ATMN,24.75,24.82,25.11,2175300.0,2263000.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 09:15:16.377971,WNTR,24.92,24.92,25.12,2281800.0,2255600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,17,2026-02-01 09:15:17.393484,SPNG,24.71,25.32,25.41,2078100.0,2083400.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 09:15:17.393484,SMMR,25.12,24.81,25.02,2134400.0,2065500.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 09:15:17.393484,ATMN,25.22,25.08,25.22,2194400.0,2267300.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 09:15:17.393484,WNTR,24.92,24.92,25.12,2281800.0,2252600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,18,2026-02-01 09:15:18.421266,SPNG,25.32,24.78,24.96,2088400.0,2080600.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 09:15:18.421266,SMMR,24.8,24.8,25.12,2138900.0,2084100.0,0,0,0,0,0,0
,,,,,,18,2026-02-01 09:15:18.421266,ATMN,24.82,24.82,25.22,2175300.0,2200800.0,0,0,0,0,0,0
,,,,,,18,2026-02-01 09:15:18.421266,WNTR,24.91,24.91,25.12,2261200.0,2253000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,19,2026-02-01 09:15:19.460130,SPNG,24.78,24.78,25.48,2088400.0,2097400.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,19,2026-02-01 09:15:19.460130,SMMR,25.14,25.01,25.14,2119900.0,2082100.0,0,0,0,0,0,0
,,,,,,19,2026-02-01 09:15:19.460130,ATMN,25.06,24.82,25.03,2175300.0,2177900.0,0,0,0,0,0,0
,,,,,,19,2026-02-01 09:15:19.460130,WNTR,25.01,24.91,25.01,2261200.0,2238800.0,0,0,0,0,0,0
