news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_IESE-1,BUY_IESE-1,SELL_LUIS-1,SELL_LUIS-3,BUY_LUIS-1,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,2,2026-02-01 11:16:34.280120,SPNG,24.49,24.49,25.25,2149500.0,2061900.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 11:16:34.280120,SMMR,24.96,24.88,24.96,2132400.0,1941300.0,2000.0,,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:16:34.280120,ATMN,0.0,24.96,24.99,1942800.0,1997900.0,1000.0,2000.0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:16:34.280120,WNTR,24.93,24.93,25.09,1991700.0,2373300.0,,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,3,2026-02-01 11:16:35.307062,SPNG,24.66,24.81,25.24,2175400.0,2500.0,2061900.0,,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 11:16:35.307062,SMMR,24.92,24.92,24.95,1855300.0,2500.0,1824900.0,2000.0,2500.0,2000.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:16:35.307062,ATMN,24.89,24.89,25.0,2158000.0,,2025800.0,,,1000.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:16:35.307062,WNTR,24.93,24.98,25.09,2192000.0,,2357000.0,,,,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,4,2026-02-01 11:16:36.323105,SPNG,24.66,24.82,24.99,2500.0,2059500.0,1974900.0,5000.0,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 11:16:36.323105,SMMR,25.02,25.01,25.02,2500.0,1719900.0,1946600.0,,3000.0,2000.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:16:36.323105,ATMN,24.89,24.96,24.99,,2049300.0,1908200.0,2500.0,1000.0,1000.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:16:36.323105,WNTR,25.09,24.99,25.08,2500.0,2203700.0,2242600.0,2500.0,,,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,5,2026-02-01 11:16:37.346850,SPNG,24.99,24.92,24.99,2152600.0,1974900.0,5000.0,,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 11:16:37.346850,SMMR,24.92,24.92,25.0,1737600.0,1816800.0,,3000.0,2500.0,3000.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:16:37.346850,ATMN,24.89,24.89,25.37,2172200.0,2141800.0,,,,,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:16:37.346850,WNTR,24.93,24.95,24.99,2305300.0,2090100.0,2500.0,,,1000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,6,2026-02-01 11:16:38.369496,SPNG,25.12,25.12,25.23,2030800.0,2500.0,5000.0,1971200.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 11:16:38.369496,SMMR,24.88,24.93,24.99,2007600.0,2500.0,2500.0,2007500.0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:16:38.369496,ATMN,25.22,25.22,25.27,2074100.0,2500.0,2500.0,2062600.0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:16:38.369496,WNTR,24.99,25.01,25.08,2321900.0,,2500.0,2266500.0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,7,2026-02-01 11:16:39.390318,SPNG,25.12,24.94,25.02,5000.0,1933400.0,1954000.0,5000.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 11:16:39.390318,SMMR,25.0,24.93,25.0,2500.0,2007600.0,2118800.0,,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 11:16:39.390318,ATMN,24.66,24.67,25.27,2500.0,2050200.0,2036500.0,2500.0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 11:16:39.390318,WNTR,24.99,25.01,25.03,,2321900.0,2257000.0,2500.0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,8,2026-02-01 11:16:40.418549,SPNG,24.92,24.97,25.0,1000.0,2025400.0,1000.0,7500.0,1765200.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 11:16:40.418549,SMMR,25.0,25.01,25.02,,2117900.0,,,2138700.0,,0,0,0,0,0,0
,,,,,,8,2026-02-01 11:16:40.418549,ATMN,25.35,24.67,25.3,,2050200.0,,2500.0,2008900.0,2500.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 11:16:40.418549,WNTR,24.99,25.01,25.03,1000.0,2210000.0,1000.0,2500.0,2115600.0,,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,9,2026-02-01 11:16:41.441365,SPNG,25.08,25.12,25.24,1795900.0,2000.0,2500.0,2500.0,2085000.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-01 11:16:41.441365,SMMR,24.96,24.99,25.01,1808300.0,2000.0,2500.0,2500.0,2013500.0,,0,0,0,0,0,0
,,,,,,9,2026-02-01 11:16:41.441365,ATMN,24.95,25.13,25.29,1935300.0,,5000.0,5000.0,1896600.0,,0,0,0,0,0,0
,,,,,,9,2026-02-01 11:16:41.441365,WNTR,25.05,25.01,25.04,2119200.0,2000.0,,2500.0,2123000.0,1000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,10,2026-02-01 11:16:42.477605,SPNG,25.08,24.3,24.85,2500.0,2021800.0,2079600.0,2500.0,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,10,2026-02-01 11:16:42.477605,SMMR,24.99,24.99,25.0,2500.0,1578600.0,1880000.0,,4000.0,2000.0,0,0,0,0,0,0
,,,,,,10,2026-02-01 11:16:42.477605,ATMN,24.95,25.14,25.21,7500.0,1846400.0,1889200.0,5000.0,,,0,0,0,0,0,0
,,,,,,10,2026-02-01 11:16:42.477605,WNTR,24.93,24.93,25.04,,2333500.0,2014400.0,2500.0,,2000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,11,2026-02-01 11:16:43.509107,SPNG,24.29,24.74,25.24,2146000.0,2500.0,2085000.0,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,11,2026-02-01 11:16:43.509107,SMMR,24.88,24.88,25.0,2125200.0,,2056900.0,,0,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 11:16:43.509107,ATMN,25.13,24.77,25.07,1931600.0,7500.0,1772400.0,5000.0,0,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 11:16:43.509107,WNTR,24.93,24.88,24.89,2335800.0,5000.0,2159400.0,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,12,2026-02-01 11:16:44.526803,SPNG,25.26,24.75,25.09,2500.0,2053600.0,2500.0,2061500.0,,0,0,0,0,0,0,0
