news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,BUY_CHUL-1,SELL_CHUL-1,SELL_COLA-6,BUY_COLA-6
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,2,2026-02-01 11:33:46.566668,SPNG,25.33,24.96,25.17,1887600.0,2187300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 11:33:46.566668,SMMR,25.11,24.94,25.11,1931600.0,2317400.0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:33:46.566668,ATMN,25.03,24.8,25.03,1724800.0,2201500.0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:33:46.566668,WNTR,25.07,25.09,25.13,2103800.0,1717000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,3,2026-02-01 11:33:47.586905,SPNG,25.17,25.3,25.33,1890800.0,2202200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 11:33:47.586905,SMMR,24.78,24.78,25.11,1711100.0,2317400.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:33:47.586905,ATMN,25.18,24.8,25.18,1724800.0,2167800.0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:33:47.586905,WNTR,25.07,25.09,25.12,2095700.0,1922600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,4,2026-02-01 11:33:48.616913,SPNG,25.17,25.3,25.33,1890800.0,2238800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 11:33:48.616913,SMMR,24.78,24.96,25.11,1953600.0,2289900.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:33:48.616913,ATMN,25.18,24.81,25.18,1959400.0,2172900.0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:33:48.616913,WNTR,25.02,24.9,25.02,2072000.0,2088600.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,5,2026-02-01 11:33:49.656876,SPNG,24.88,24.91,25.33,1977400.0,2238800.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 11:33:49.656876,SMMR,24.91,24.91,24.96,1851000.0,2275600.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:33:49.656876,ATMN,25.18,25.19,25.23,2052200.0,2176300.0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:33:49.656876,WNTR,24.82,24.82,25.02,2102800.0,2065500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,6,2026-02-01 11:33:50.700968,SPNG,24.88,24.91,25.33,1977400.0,2260600.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 11:33:50.700968,SMMR,24.96,24.98,24.99,2111900.0,2287700.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:33:50.700968,ATMN,24.8,24.75,24.78,1748800.0,2234900.0,0,0,0,0,0,0
,,,,,,6,2026-02-01 11:33:50.700968,WNTR,24.81,24.91,24.97,2106800.0,2082000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,7,2026-02-01 11:33:51.724160,SPNG,24.78,24.78,25.33,1863800.0,2244300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 11:33:51.724160,SMMR,24.84,24.97,24.99,1969400.0,2287700.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 11:33:51.724160,ATMN,24.78,25.0,25.07,2088300.0,2194200.0,0,0,0,0,0,0
,,,,,,7,2026-02-01 11:33:51.724160,WNTR,24.81,24.91,24.94,2106800.0,2112100.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,8,2026-02-01 11:33:52.756882,SPNG,24.78,24.84,24.91,1960200.0,2251300.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-01 11:33:52.756882,SMMR,24.97,24.97,24.99,1969400.0,2290100.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 11:33:52.756882,ATMN,24.75,24.85,25.07,2077300.0,2221700.0,0,0,0,0,0,0
,,,,,,8,2026-02-01 11:33:52.756882,WNTR,24.81,24.81,24.94,2100400.0,2112100.0,0,0,0,0,0,0
