news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-1,SELL_LUIS-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 8000 shares for this week.,1,2026-02-01 11:39:04.307712,SPNG,24.71,24.71,25.14,2278100.0,2073700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 11:39:04.307712,SMMR,24.93,24.88,24.9,1805800.0,2150000.0,0,0
,,,,,,1,2026-02-01 11:39:04.307712,ATMN,25.22,25.03,25.22,1704300.0,2132300.0,0,0
,,,,,,1,2026-02-01 11:39:04.307712,WNTR,25.14,25.14,25.38,2122500.0,1846600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 8000 shares for this week.,2,2026-02-01 11:39:05.326838,SPNG,24.63,24.63,25.34,2275700.0,1957200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 11:39:05.326838,SMMR,24.88,24.88,25.03,1904000.0,2133600.0,0,0
,,,,,,2,2026-02-01 11:39:05.326838,ATMN,24.99,24.66,24.76,1487400.0,2109300.0,0,0
,,,,,,2,2026-02-01 11:39:05.326838,WNTR,24.82,24.82,25.17,2126000.0,1965200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 8000 shares for this week.,3,2026-02-01 11:39:06.356909,SPNG,25.12,24.61,25.12,2304000.0,2085700.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 11:39:06.356909,SMMR,25.03,24.88,25.03,2013200.0,2169500.0,0,0
,,,,,,3,2026-02-01 11:39:06.356909,ATMN,24.76,25.13,25.16,1849000.0,2080000.0,0,0
,,,,,,3,2026-02-01 11:39:06.356909,WNTR,24.82,24.96,25.16,2158200.0,2142900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 8000 shares for this week.,4,2026-02-01 11:39:07.376919,SPNG,25.34,24.61,25.34,2290300.0,1957200.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 11:39:07.376919,SMMR,25.03,25.0,25.03,1984800.0,2167600.0,0,0
,,,,,,4,2026-02-01 11:39:07.376919,ATMN,24.85,24.75,24.77,1733800.0,2095000.0,0,0
,,,,,,4,2026-02-01 11:39:07.376919,WNTR,24.9,25.07,25.16,2150600.0,2126000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 8000 shares for this week.,5,2026-02-01 11:39:08.406594,SPNG,25.47,24.61,25.31,2290300.0,2047300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 11:39:08.406594,SMMR,25.05,25.0,25.02,1984800.0,2152000.0,0,0
,,,,,,5,2026-02-01 11:39:08.406594,ATMN,25.22,25.0,25.22,1945600.0,2084800.0,0,0
,,,,,,5,2026-02-01 11:39:08.406594,WNTR,24.82,24.82,24.85,2126000.0,2160200.0,0,0
