news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_CHUL-1,SELL_LUIS-1,BUY_CHUL-4,BUY_LUIS-1,SELL_CHUL-4,SELL_CHUL-1
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,1,2026-02-02 00:02:31.346450,SPNG,24.55,24.55,25.17,2410300.0,2092200.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-02 00:02:31.346450,SMMR,24.93,24.88,24.93,2267100.0,1952600.0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:02:31.346450,ATMN,25.41,25.07,25.41,1972900.0,1929400.0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:02:31.346450,WNTR,24.98,25.01,25.1,2135600.0,2169500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,2,2026-02-02 00:02:32.372813,SPNG,24.55,24.96,25.17,2431100.0,2216500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-02 00:02:32.372813,SMMR,24.92,24.88,24.92,2265300.0,2051300.0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:02:32.372813,ATMN,25.41,25.07,25.24,1972900.0,2022700.0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:02:32.372813,WNTR,25.08,25.01,25.08,2123600.0,2172700.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,3,2026-02-02 00:02:33.415916,SPNG,25.31,24.7,25.31,2402000.0,2114900.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-02 00:02:33.415916,SMMR,25.04,24.88,25.04,2270100.0,1703800.0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:02:33.415916,ATMN,25.24,24.82,25.24,2017000.0,2022700.0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:02:33.415916,WNTR,25.08,25.09,25.1,2119900.0,2189400.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,4,2026-02-02 00:02:34.442885,SPNG,24.7,24.7,25.04,2402000.0,2245400.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-02 00:02:34.442885,SMMR,25.04,24.88,25.04,2294600.0,1703800.0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:02:34.442885,ATMN,25.42,24.82,25.17,2013600.0,2029100.0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:02:34.442885,WNTR,25.09,25.01,25.09,2132400.0,2186000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 11000 shares for this week.,6,2026-02-02 00:02:35.511040,SPNG,25.04,24.7,25.04,2390100.0,2245400.0,0,0,0,0,0,0
