news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_COLB-2,BUY_COLB-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,1,2026-02-02 00:50:21.274877,SPNG,0.0,24.75,0.0,2406000.0,1916300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-02 00:50:21.274877,SMMR,0.0,24.98,0.0,2367500.0,2381300.0,0,0
,,,,,,1,2026-02-02 00:50:21.274877,ATMN,25.04,25.06,25.08,1710300.0,1974100.0,0,0
,,,,,,1,2026-02-02 00:50:21.274877,WNTR,0.0,0.0,0.0,2178400.0,2291600.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,2,2026-02-02 00:50:22.330331,SPNG,0.0,24.75,24.9,2359300.0,2022400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-02 00:50:22.330331,SMMR,25.02,24.99,25.02,2358100.0,2383200.0,0,0
,,,,,,2,2026-02-02 00:50:22.330331,ATMN,24.72,25.03,25.08,1735300.0,1974100.0,0,0
,,,,,,2,2026-02-02 00:50:22.330331,WNTR,25.03,24.98,25.03,2302700.0,2305900.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,3,2026-02-02 00:50:23.357656,SPNG,25.21,25.0,25.21,2449200.0,1816300.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-02 00:50:23.357656,SMMR,24.98,24.98,25.02,2363200.0,2338100.0,0,0
,,,,,,3,2026-02-02 00:50:23.357656,ATMN,25.08,24.72,25.08,1625700.0,2001300.0,0,0
,,,,,,3,2026-02-02 00:50:23.357656,WNTR,25.1,25.02,25.1,2310800.0,2274700.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,4,2026-02-02 00:50:24.399635,SPNG,24.85,24.85,25.21,2409100.0,2059100.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-02 00:50:24.399635,SMMR,24.98,24.98,25.02,2363200.0,2338100.0,0,0
,,,,,,4,2026-02-02 00:50:24.399635,ATMN,25.06,25.06,25.08,1714100.0,2003500.0,0,0
,,,,,,4,2026-02-02 00:50:24.399635,WNTR,24.97,24.97,24.98,2356100.0,2288200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,5,2026-02-02 00:50:25.444940,SPNG,24.85,24.75,24.77,2395600.0,2085400.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-02 00:50:25.444940,SMMR,25.09,25.02,25.09,2381500.0,2352800.0,0,0
