news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-1,BUY_CHUL-2,SELL_CHUL-2,BUY_CNCD-1,SELL_CNCD-1,BUY_COLB-1,SELL_COLB-1,SELL_LUIS-1,SELL_BOST-3
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,2,2026-02-01 12:03:44.075232,RITC,10.01,10.0,10.01,193500.0,208900.0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 12:03:44.075232,COMP,0.0,24.99,25.0,135800.0,145600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,3,2026-02-01 12:03:45.326307,RITC,10.01,10.0,10.01,193500.0,208200.0,0,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 12:03:45.326307,COMP,24.99,24.99,25.0,135800.0,145600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,4,2026-02-01 12:03:46.522247,RITC,10.01,10.0,10.01,194900.0,204800.0,0,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 12:03:46.522247,COMP,24.99,24.94,24.96,136200.0,145400.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,5,2026-02-01 12:03:47.768228,RITC,10.01,10.0,10.01,195400.0,204800.0,0,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 12:03:47.768228,COMP,24.99,24.94,24.96,136200.0,145000.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,7,2026-02-01 12:03:48.995643,RITC,10.01,10.0,10.01,196100.0,204800.0,0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 12:03:48.995643,COMP,24.99,24.94,24.96,135000.0,145100.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,8,2026-02-01 12:03:50.181994,RITC,10.01,10.01,10.02,194800.0,206200.0,0,0,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 12:03:50.181994,COMP,24.94,24.94,24.96,136600.0,143700.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,9,2026-02-01 12:03:51.448493,RITC,10.02,10.01,10.02,194700.0,206200.0,0,0,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 12:03:51.448493,COMP,24.94,24.94,24.95,136600.0,143900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,10,2026-02-01 12:03:52.702969,RITC,10.03,10.01,10.03,196500.0,194700.0,0,0,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 12:03:52.702969,COMP,24.94,24.94,24.95,138700.0,143900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,12,2026-02-01 12:03:54.018204,RITC,10.03,10.01,10.03,196500.0,171400.0,0,0,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 12:03:54.018204,COMP,24.94,24.94,24.95,141000.0,145900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,13,2026-02-01 12:03:55.436417,RITC,10.04,10.03,10.04,199500.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 12:03:55.436417,COMP,24.92,24.92,24.94,132700.0,145900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,14,2026-02-01 12:03:56.520490,RITC,10.04,10.03,10.04,199600.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,14,2026-02-01 12:03:56.520490,COMP,24.91,24.91,24.94,119100.0,145900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,15,2026-02-01 12:03:57.566615,RITC,10.04,10.03,10.04,196700.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,15,2026-02-01 12:03:57.566615,COMP,24.91,24.91,24.94,119100.0,147600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,16,2026-02-01 12:03:58.599736,RITC,10.04,10.03,10.04,196700.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,16,2026-02-01 12:03:58.599736,COMP,24.91,24.91,24.94,119100.0,145700.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,17,2026-02-01 12:03:59.633063,RITC,10.11,10.03,10.04,197900.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,17,2026-02-01 12:03:59.633063,COMP,24.91,24.91,24.94,119100.0,145700.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,18,2026-02-01 12:04:00.721211,RITC,10.04,10.03,10.04,196500.0,159900.0,0,0,0,0,0,0,0,0,0
,,,,,,18,2026-02-01 12:04:00.721211,COMP,24.91,24.91,24.94,119100.0,145100.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,19,2026-02-01 12:04:01.885423,RITC,10.04,10.03,10.04,195400.0,148100.0,0,0,0,0,0,0,0,0,0
,,,,,,19,2026-02-01 12:04:01.885423,COMP,24.91,24.91,24.94,125600.0,145100.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,21,2026-02-01 12:04:03.207648,RITC,10.04,10.03,10.04,192900.0,137100.0,0,0,0,0,0,0,0,0,0
,,,,,,21,2026-02-01 12:04:03.207648,COMP,24.94,24.85,24.94,118400.0,143100.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,22,2026-02-01 12:04:04.521191,RITC,10.05,10.04,10.05,192500.0,116100.0,0,0,0,0,0,0,0,0,0
,,,,,,22,2026-02-01 12:04:04.521191,COMP,24.83,24.83,24.94,117000.0,143100.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,23,2026-02-01 12:04:05.807411,RITC,10.05,10.04,10.05,192100.0,97100.0,0,0,0,0,0,0,0,0,0
,,,,,,23,2026-02-01 12:04:05.807411,COMP,24.83,24.86,24.91,111200.0,142700.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,25,2026-02-01 12:04:07.040423,RITC,10.05,10.04,10.05,190200.0,98200.0,0,0,0,0,0,0,0,0,0
,,,,,,25,2026-02-01 12:04:07.040423,COMP,24.83,24.82,24.83,105500.0,141000.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,26,2026-02-01 12:04:08.221262,RITC,10.16,10.1,10.16,189500.0,74000.0,0,0,0,0,0,0,0,0,0
,,,,,,26,2026-02-01 12:04:08.221262,COMP,24.83,24.82,24.83,105500.0,142900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,27,2026-02-01 12:04:09.350496,RITC,10.16,10.14,10.16,188100.0,102400.0,0,0,0,0,0,0,0,0,0
,,,,,,27,2026-02-01 12:04:09.350496,COMP,24.82,24.82,24.83,105500.0,144500.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,28,2026-02-01 12:04:10.397291,RITC,10.16,10.14,10.16,189600.0,101900.0,0,0,0,0,0,0,0,0,0
,,,,,,28,2026-02-01 12:04:10.397291,COMP,24.81,24.81,24.82,91100.0,144500.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,29,2026-02-01 12:04:11.432951,RITC,10.16,10.14,10.16,187400.0,101900.0,0,0,0,0,0,0,0,0,0
,,,,,,29,2026-02-01 12:04:11.432951,COMP,24.78,24.78,24.82,77600.0,144500.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,30,2026-02-01 12:04:12.466747,RITC,10.16,10.14,10.16,189600.0,101900.0,0,0,0,0,0,0,0,0,0
,,,,,,30,2026-02-01 12:04:12.466747,COMP,24.78,24.78,24.82,77600.0,145900.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,31,2026-02-01 12:04:13.499280,RITC,10.16,10.17,10.19,185700.0,98800.0,0,0,0,0,0,0,0,0,0
,,,,,,31,2026-02-01 12:04:13.499280,COMP,24.78,24.75,24.77,69700.0,145300.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,32,2026-02-01 12:04:14.527867,RITC,10.16,10.18,10.19,186900.0,98800.0,0,0,0,0,0,0,0,0,0
,,,,,,32,2026-02-01 12:04:14.527867,COMP,24.75,24.75,24.77,69700.0,145300.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,33,2026-02-01 12:04:15.549350,RITC,10.19,10.19,10.2,189900.0,97600.0,0,0,0,0,0,0,0,0,0
,,,,,,33,2026-02-01 12:04:15.549350,COMP,24.75,24.75,24.77,69700.0,145300.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,34,2026-02-01 12:04:16.582449,RITC,10.2,10.2,10.24,192300.0,95100.0,0,0,0,0,0,0,0,0,0
,,,,,,34,2026-02-01 12:04:16.582449,COMP,24.68,24.68,24.71,70200.0,146500.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,35,2026-02-01 12:04:17.612906,RITC,10.2,10.2,10.24,193800.0,106000.0,0,0,0,0,0,0,0,0,0
,,,,,,35,2026-02-01 12:04:17.612906,COMP,24.68,24.68,24.71,70200.0,146500.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,36,2026-02-01 12:04:18.645357,RITC,10.2,10.2,10.21,193800.0,128100.0,0,0,0,0,0,0,0,0,0
,,,,,,36,2026-02-01 12:04:18.645357,COMP,24.68,24.61,24.63,70000.0,145600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,37,2026-02-01 12:04:19.662650,RITC,10.21,10.21,10.23,190400.0,116700.0,0,0,0,0,0,0,0,0,0
,,,,,,37,2026-02-01 12:04:19.662650,COMP,24.6,24.6,24.63,77900.0,145600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,38,2026-02-01 12:04:20.679621,RITC,10.23,10.21,10.23,192600.0,116700.0,0,0,0,0,0,0,0,0,0
,,,,,,38,2026-02-01 12:04:20.679621,COMP,24.6,24.6,24.63,84100.0,145600.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,39,2026-02-01 12:04:21.716343,RITC,10.21,10.21,10.23,194900.0,116700.0,0,0,0,0,0,0,0,0,0
,,,,,,39,2026-02-01 12:04:21.716343,COMP,24.63,24.65,24.69,91500.0,147200.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,40,2026-02-01 12:04:22.746579,RITC,10.22,10.22,10.23,197000.0,116700.0,0,0,0,0,0,0,0,0,0
,,,,,,40,2026-02-01 12:04:22.746579,COMP,24.69,24.65,24.69,91500.0,147200.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,41,2026-02-01 12:04:23.768626,RITC,10.2,10.2,10.23,193400.0,116700.0,0,0,0,0,0,0,0,0,0
,,,,,,41,2026-02-01 12:04:23.768626,COMP,24.69,24.65,24.69,98000.0,148700.0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,42,2026-02-01 12:04:24.801298,RITC,10.23,10.23,10.24,190500.0,106000.0,0,0,0,0,0,0,0,0,0
