news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_CNCD-1,BUY_COLB-1,SELL_LUIS-1,BUY_LUIS-1,BUY_CHUL-2,SELL_CHUL-2,SELL_OTWA-2,SELL_CNCD-1,BUY_DUBL-6,SELL_COLB-1,BUY_OTWA-2,SELL_BOST-3,SELL_DUBL-6
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,1,2026-02-01 12:26:04.623190,RITC,10.0,10.0,10.01,192700.0,206400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-01 12:26:04.623190,COMP,0.0,25.0,25.01,141500.0,144600.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,2,2026-02-01 12:26:05.658477,RITC,10.0,9.98,10.0,194400.0,206300.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 12:26:05.658477,COMP,25.0,25.0,25.01,141500.0,144600.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,3,2026-02-01 12:26:06.687057,RITC,9.98,9.98,10.0,195200.0,208700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 12:26:06.687057,COMP,25.0,25.0,25.01,141500.0,146200.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,4,2026-02-01 12:26:07.720201,RITC,9.97,9.98,9.99,196300.0,209400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 12:26:07.720201,COMP,25.0,25.0,25.01,142500.0,145400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,5,2026-02-01 12:26:08.740298,RITC,9.97,9.98,9.99,193300.0,209400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 12:26:08.740298,COMP,25.0,25.0,25.01,142500.0,147100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,6,2026-02-01 12:26:09.771553,RITC,9.98,9.98,9.99,195300.0,209400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 12:26:09.771553,COMP,25.0,25.0,25.01,142500.0,147700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,7,2026-02-01 12:26:10.802351,RITC,9.97,9.97,9.99,195800.0,209400.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 12:26:10.802351,COMP,25.01,25.0,25.01,142500.0,147300.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,8,2026-02-01 12:26:11.835759,RITC,9.97,9.97,9.99,195800.0,199300.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 12:26:11.835759,COMP,25.02,25.0,25.02,142500.0,146000.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,9,2026-02-01 12:26:12.869627,RITC,9.97,9.97,9.99,195800.0,195500.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 12:26:12.869627,COMP,25.03,25.0,25.03,142500.0,147200.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,10,2026-02-01 12:26:13.893248,RITC,9.97,9.97,9.99,193500.0,196000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 12:26:13.893248,COMP,24.99,24.99,25.03,140500.0,147200.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,11,2026-02-01 12:26:14.930992,RITC,9.97,9.97,9.98,193500.0,196100.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 12:26:14.930992,COMP,25.03,24.99,25.03,140500.0,143800.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,12,2026-02-01 12:26:15.954071,RITC,9.97,9.97,9.98,193100.0,195300.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 12:26:15.954071,COMP,25.03,25.02,25.03,141500.0,143800.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,13,2026-02-01 12:26:16.984566,RITC,9.97,9.97,9.98,193100.0,193000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 12:26:16.984566,COMP,25.03,25.02,25.03,141500.0,144100.0,,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,14,2026-02-01 12:26:18.005539,RITC,9.96,9.96,9.98,195500.0,193000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,14,2026-02-01 12:26:18.005539,COMP,25.06,25.02,25.06,141500.0,129400.0,,0,0,0,0,0,0,0,0,0,0,0,0
