ticker,last_price,bid_price,ask_price,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,BUY_ANON,SELL_ANON,SELL_WRSW-6,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-03 15:23:18.803581
TGX,43.74,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
BYL,43.55,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
GGD,31.53,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
FSR,30.48,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
SPK,52.82,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 15:23:19.336047,,,,,,
TGX,43.68,43.67,43.69,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 15:23:20.370485
PHR,47.54,47.53,47.55,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 15:23:20.370485
BYL,43.41,43.4,43.42,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 15:23:20.370485
CLD,78.96,78.95,78.97,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 15:23:20.370485
GGD,31.55,31.54,31.56,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 15:23:20.370485
