ticker,last_price,bid_price,ask_price,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,BUY_ANON,SELL_ANON,SELL_WRSW-6,BUY_OTWA-1,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-03 18:47:54.973021
TGX,43.71,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
BYL,43.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
GGD,31.48,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
FSR,30.57,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
SPK,52.81,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 18:47:55.545651,,,,,,
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
PHR,47.54,47.53,47.55,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
BYL,43.42,43.41,43.43,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
CLD,79.29,79.28,79.3,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
GGD,31.51,31.5,31.52,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
PNR,59.96,59.95,59.97,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
FSR,30.55,30.54,30.56,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
ATB,62.08,62.07,62.09,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
SPK,52.89,52.88,52.9,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
EEC,48.16,48.15,48.17,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 18:47:56.580397
TGX,43.7,43.69,43.71,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
PHR,47.73,47.72,47.74,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
BYL,43.48,43.47,43.49,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
CLD,79.41,79.4,79.42,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
GGD,31.44,31.43,31.45,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
PNR,59.77,59.76,59.78,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
FSR,30.52,30.51,30.53,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
ATB,62.47,62.46,62.48,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
SPK,52.94,52.93,52.95,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
EEC,48.28,48.27,48.29,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 18:47:57.620375
