ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,SELL_WRSW-6,BUY_OTWA-1,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
PHR,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
BYL,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
CLD,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
GGD,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
PNR,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
FSR,0.0,0.0,0.0,,,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
ATB,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
SPK,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
EEC,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-03 23:31:51.479514
TGX,43.67,43.67,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
BYL,43.57,43.57,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
CLD,79.31,0.0,79.31,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
GGD,31.48,31.48,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
PNR,59.81,0.0,59.81,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
FSR,30.55,30.55,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
