ticker,last_price,bid_price,ask_price,BUY_GIOT-1,BUY_DUBL-6,BUY_COLA-6,BUY_OTWA-1,SELL_ANON,SELL_OTWA-1,BUY_ANON,tick,timestamp
TGX,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
PHR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
BYL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
CLD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
GGD,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
PNR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
FSR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
ATB,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
SPK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
EEC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2026-02-04 16:22:01.359602
TGX,43.7,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
BYL,43.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
GGD,31.55,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
FSR,30.51,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
SPK,52.84,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-04 16:22:01.904162,,,,,,
TGX,43.68,43.67,43.69,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
PHR,47.43,47.42,47.44,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
BYL,43.66,43.65,43.67,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
CLD,79.61,79.6,79.62,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
GGD,31.52,31.51,31.53,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
PNR,59.58,59.57,59.59,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
FSR,30.52,30.51,30.53,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
ATB,62.58,62.57,62.59,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
SPK,52.76,52.75,52.77,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
EEC,47.92,47.91,47.93,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-04 16:22:02.962026
TGX,43.7,43.69,43.71,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
PHR,47.18,47.17,47.19,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
BYL,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
CLD,79.65,79.64,79.66,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
GGD,31.5,31.49,31.51,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
PNR,59.63,59.62,59.64,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
FSR,30.53,30.52,30.54,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
ATB,62.57,62.56,62.58,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
SPK,52.81,52.8,52.82,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
EEC,48.03,48.02,48.04,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-04 16:22:04.021770
TGX,43.78,43.77,43.79,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
PHR,47.24,47.23,47.25,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
BYL,43.6,43.59,43.61,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
CLD,79.44,79.43,79.45,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
GGD,31.47,31.46,31.48,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
PNR,59.62,59.61,59.63,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
FSR,30.56,30.55,30.57,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
ATB,62.41,62.4,62.42,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
SPK,52.69,52.68,52.7,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
EEC,47.83,47.82,47.84,50000000.0,50000000.0,0,0,0,0,0,4,2026-02-04 16:22:04.574598
TGX,43.8,43.79,43.81,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
PHR,47.27,47.26,47.28,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
BYL,43.69,43.68,43.7,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
CLD,79.77,79.76,79.78,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
GGD,31.48,31.47,31.49,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
PNR,59.64,59.63,59.65,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
FSR,30.56,30.55,30.57,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
ATB,62.13,62.12,62.14,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
SPK,52.65,52.64,52.66,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
EEC,47.83,47.82,47.84,50000000.0,50000000.0,0,0,0,0,0,5,2026-02-04 16:22:05.619786
TGX,43.83,43.82,43.84,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
PHR,47.45,47.44,47.46,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
BYL,43.7,43.69,43.71,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
CLD,79.84,79.83,79.85,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
GGD,31.49,31.48,31.5,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
PNR,59.36,59.35,59.37,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
FSR,30.59,30.58,30.6,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
ATB,62.37,62.36,62.38,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
SPK,52.52,52.51,52.53,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
EEC,47.61,47.6,47.62,50000000.0,50000000.0,0,0,0,0,0,6,2026-02-04 16:22:06.662351
TGX,43.8,43.79,43.81,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
PHR,47.5,47.49,47.51,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
BYL,43.63,43.62,43.64,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
CLD,79.61,79.6,79.62,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
GGD,31.48,31.47,31.49,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
PNR,59.4,59.39,59.41,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
FSR,30.57,30.56,30.58,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
ATB,62.05,62.04,62.06,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
SPK,52.57,52.56,52.58,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
EEC,47.65,47.64,47.66,50000000.0,50000000.0,0,0,0,0,0,7,2026-02-04 16:22:07.722001
TGX,43.86,43.85,43.87,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
PHR,47.66,47.65,47.67,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
BYL,43.8,43.79,43.81,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
CLD,79.95,79.94,79.96,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
GGD,31.43,31.42,31.44,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
PNR,59.09,59.08,59.1,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
FSR,30.59,30.58,30.6,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
ATB,61.96,61.95,61.97,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
SPK,52.64,52.63,52.65,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
EEC,47.69,47.68,47.7,50000000.0,50000000.0,0,0,0,0,0,8,2026-02-04 16:22:08.806456
TGX,43.86,43.85,43.87,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
PHR,47.35,47.34,47.36,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
BYL,43.88,43.87,43.89,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
CLD,80.06,80.05,80.07,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
GGD,31.41,31.4,31.42,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
PNR,59.12,59.11,59.13,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
FSR,30.57,30.56,30.58,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
ATB,61.84,61.83,61.85,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
SPK,52.59,52.58,52.6,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
EEC,47.6,47.59,47.61,50000000.0,50000000.0,0,0,0,0,0,9,2026-02-04 16:22:09.935168
TGX,43.91,43.9,43.92,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
PHR,47.63,47.62,47.64,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
BYL,44.15,44.14,44.16,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
CLD,80.55,80.54,80.56,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
GGD,31.35,31.34,31.36,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
PNR,59.27,59.26,59.28,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
FSR,30.54,30.53,30.55,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
ATB,62.04,62.03,62.05,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
SPK,52.55,52.54,52.56,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
EEC,47.48,47.47,47.49,50000000.0,50000000.0,0,0,0,0,0,10,2026-02-04 16:22:11.124411
TGX,43.91,43.9,43.92,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
PHR,47.51,47.5,47.52,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
BYL,44.22,44.21,44.23,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
CLD,80.6,80.59,80.61,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
GGD,31.27,31.26,31.28,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
PNR,59.23,59.22,59.24,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
FSR,30.54,30.53,30.55,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
ATB,62.14,62.13,62.15,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
SPK,52.6,52.59,52.61,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
EEC,47.65,47.64,47.66,50000000.0,50000000.0,0,0,0,0,0,11,2026-02-04 16:22:11.669644
TGX,43.92,43.91,43.93,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
PHR,47.2,47.19,47.21,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
BYL,44.23,44.22,44.24,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
CLD,80.62,80.61,80.63,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
GGD,31.25,31.24,31.26,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
PNR,59.18,59.17,59.19,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
FSR,30.54,30.53,30.55,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
ATB,62.02,62.01,62.03,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
SPK,52.65,52.64,52.66,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
EEC,47.83,47.82,47.84,50000000.0,50000000.0,0,0,0,0,0,12,2026-02-04 16:22:12.717288
TGX,43.91,43.9,43.92,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
PHR,47.4,47.39,47.41,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
BYL,44.33,44.32,44.34,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
CLD,80.82,80.81,80.83,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
GGD,31.28,31.27,31.29,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
PNR,59.31,59.3,59.32,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
FSR,30.59,30.58,30.6,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
ATB,62.02,62.01,62.03,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
SPK,52.71,52.7,52.72,50000000.0,50000000.0,0,0,0,0,0,13,2026-02-04 16:22:13.760802
