ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-1,BUY_DUBL-6,BUY_COLA-6,BUY_OTWA-1,SELL_GIOT-1,SELL_OTWA-1,tick,timestamp
TGX,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
PHR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
BYL,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
CLD,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
GGD,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
PNR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
FSR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
ATB,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
SPK,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
EEC,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,2026-02-04 21:51:06.099998
TGX,43.81,43.8,43.82,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,47.49,47.51,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
BYL,43.49,43.48,43.5,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
CLD,79.3,79.29,79.31,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
GGD,31.45,31.44,31.46,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
PNR,59.8,59.79,59.81,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
FSR,30.44,30.43,30.45,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
ATB,62.2,62.19,62.21,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
SPK,52.79,52.78,52.8,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
EEC,48.0,47.99,48.01,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-04 21:51:07.214260,,,,,,
TGX,43.82,43.81,43.83,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
PHR,47.35,47.34,47.36,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
BYL,43.22,43.21,43.23,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
CLD,78.67,78.66,78.68,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
GGD,31.43,31.42,31.44,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
PNR,59.78,59.77,59.79,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
FSR,30.48,30.47,30.49,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
ATB,62.26,62.25,62.27,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
SPK,52.75,52.74,52.76,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
EEC,47.94,47.93,47.95,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-04 21:51:07.992644
TGX,43.79,43.78,43.8,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
PHR,47.22,47.21,47.23,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
BYL,43.32,43.31,43.33,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
CLD,78.88,78.87,78.89,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
GGD,31.44,31.43,31.45,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
PNR,59.85,59.84,59.86,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
FSR,30.46,30.45,30.47,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
ATB,62.1,62.09,62.11,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
SPK,52.7,52.69,52.71,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
EEC,47.86,47.85,47.87,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-04 21:51:08.587984
TGX,43.83,43.82,43.84,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
PHR,47.17,47.16,47.18,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
BYL,43.27,43.26,43.28,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
CLD,78.74,78.73,78.75,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
GGD,31.51,31.5,31.52,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
PNR,59.86,59.85,59.87,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
FSR,30.52,30.51,30.53,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
ATB,61.96,61.95,61.97,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
SPK,52.72,52.71,52.73,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
EEC,47.83,47.82,47.84,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-04 21:51:09.670837
TGX,43.81,43.8,43.82,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
PHR,46.96,46.95,46.97,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
BYL,43.24,43.23,43.25,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
CLD,78.72,78.71,78.73,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
GGD,31.56,31.55,31.57,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
PNR,59.69,59.68,59.7,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
FSR,30.53,30.52,30.54,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
ATB,61.61,61.6,61.62,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
SPK,52.87,52.86,52.88,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
EEC,48.05,48.04,48.06,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-04 21:51:10.742375
TGX,43.87,43.86,43.88,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
PHR,46.98,46.97,46.99,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
BYL,43.39,43.38,43.4,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
CLD,79.09,79.08,79.1,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
GGD,31.63,31.62,31.64,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
PNR,59.77,59.76,59.78,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
FSR,30.51,30.5,30.52,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
ATB,61.99,61.98,62.0,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
SPK,52.85,52.84,52.86,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
EEC,47.97,47.96,47.98,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-04 21:51:11.811333
TGX,43.9,43.89,43.91,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
PHR,47.05,47.04,47.06,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
BYL,43.65,43.64,43.66,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
CLD,79.69,79.68,79.7,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
GGD,31.64,31.63,31.65,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
PNR,59.47,59.46,59.48,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
FSR,30.5,30.49,30.51,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
ATB,61.36,61.35,61.37,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
SPK,52.81,52.8,52.82,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
EEC,47.84,47.83,47.85,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-04 21:51:12.358827
TGX,43.92,43.91,43.93,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
PHR,46.82,46.81,46.83,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
BYL,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
CLD,80.02,80.01,80.03,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
GGD,31.63,31.62,31.64,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
PNR,59.53,59.52,59.54,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
FSR,30.55,30.54,30.56,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
ATB,61.8,61.79,61.81,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-04 21:51:13.452701
