subheat,news_week,forecast_low,forecast_high,forecast_mid,actual_vol,in_range,error
1,1,0.1,0.15,0.125,0.11,True,0.015
1,2,0.35,0.4,0.375,0.38,True,0.0050000000000000044
1,3,0.35,0.4,0.375,0.36,True,0.015000000000000013
2,1,0.1,0.15,0.125,0.11,True,0.015
2,2,0.32,0.37,0.345,0.36,True,0.015000000000000013
2,3,0.23,0.28,0.255,0.25,True,0.0050000000000000044
3,1,0.26,0.31,0.28500000000000003,0.3,True,0.014999999999999958
3,2,0.12,0.17,0.14500000000000002,0.15,True,0.004999999999999977
3,3,0.19,0.24,0.215,0.2,True,0.014999999999999986
4,1,0.23,0.28,0.255,0.24,True,0.015000000000000013
4,2,0.33,0.38,0.355,0.34,True,0.014999999999999958
4,3,0.27,0.32,0.29500000000000004,0.28,True,0.015000000000000013
5,1,0.34,0.39,0.365,0.35,True,0.015000000000000013
5,2,0.34,0.39,0.365,0.34,True,0.024999999999999967
5,3,0.36,0.41,0.385,0.37,True,0.015000000000000013
