news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-P,SELL_GIOT-P
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 03:15:17.793446,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 03:15:17.793446,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 03:15:17.793446,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 03:15:17.793446,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 03:15:17.793446,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 03:15:17.793446,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 03:15:17.793446,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 03:15:18.838136,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 03:15:18.838136,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 03:15:18.838136,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 03:15:18.838136,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 03:15:18.838136,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 03:15:18.838136,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 03:15:18.838136,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 03:15:19.875162,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 03:15:19.875162,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 03:15:19.875162,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 03:15:19.875162,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 03:15:19.875162,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 03:15:19.875162,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 03:15:19.875162,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,5,2026-02-01 03:15:20.910744,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 03:15:20.910744,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 03:15:20.910744,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 03:15:20.910744,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 03:15:20.910744,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 03:15:20.910744,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 03:15:20.910744,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,6,2026-02-01 03:15:21.941600,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 03:15:21.941600,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 03:15:21.941600,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 03:15:21.941600,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 03:15:21.941600,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 03:15:21.941600,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 03:15:21.941600,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,7,2026-02-01 03:15:22.977859,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 03:15:22.977859,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 03:15:22.977859,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 03:15:22.977859,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 03:15:22.977859,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 03:15:22.977859,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 03:15:22.977859,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,8,2026-02-01 03:15:24.003576,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 03:15:24.003576,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 03:15:24.003576,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 03:15:24.003576,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 03:15:24.003576,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 03:15:24.003576,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 03:15:24.003576,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,9,2026-02-01 03:15:25.029242,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",9,2026-02-01 03:15:25.029242,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,9,2026-02-01 03:15:25.029242,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 03:15:25.029242,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 03:15:25.029242,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 03:15:25.029242,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 03:15:25.029242,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,10,2026-02-01 03:15:26.058486,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
