news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-P,BUY_LUIS-T2,BUY_BOST-D,BUY_LUIS-T1,BUY_GIOT-P,SELL_LUIS-T2,SELL_LUIS-T1
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 09:14:01.194517,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 09:14:01.194517,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 09:14:01.194517,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:14:01.194517,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:14:01.194517,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:14:01.194517,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 09:14:01.194517,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 09:14:02.222524,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 09:14:02.222524,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 09:14:02.222524,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:14:02.222524,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:14:02.222524,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:14:02.222524,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 09:14:02.222524,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 09:14:03.245667,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 09:14:03.245667,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 09:14:03.245667,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:14:03.245667,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:14:03.245667,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:14:03.245667,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 09:14:03.245667,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,5,2026-02-01 09:14:04.273510,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 09:14:04.273510,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 09:14:04.273510,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:14:04.273510,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:14:04.273510,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:14:04.273510,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 09:14:04.273510,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,6,2026-02-01 09:14:05.307292,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 09:14:05.307292,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 09:14:05.307292,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:14:05.307292,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:14:05.307292,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:14:05.307292,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,6,2026-02-01 09:14:05.307292,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,7,2026-02-01 09:14:06.343065,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 09:14:06.343065,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 09:14:06.343065,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:14:06.343065,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:14:06.343065,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:14:06.343065,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,7,2026-02-01 09:14:06.343065,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,8,2026-02-01 09:14:07.377168,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 09:14:07.377168,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 09:14:07.377168,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:14:07.377168,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:14:07.377168,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:14:07.377168,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,8,2026-02-01 09:14:07.377168,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,9,2026-02-01 09:14:08.398085,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",9,2026-02-01 09:14:08.398085,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,9,2026-02-01 09:14:08.398085,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:14:08.398085,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:14:08.398085,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:14:08.398085,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,9,2026-02-01 09:14:08.398085,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,10,2026-02-01 09:14:09.423197,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",10,2026-02-01 09:14:09.423197,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,10,2026-02-01 09:14:09.423197,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:14:09.423197,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:14:09.423197,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:14:09.423197,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,10,2026-02-01 09:14:09.423197,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,11,2026-02-01 09:14:10.457313,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",11,2026-02-01 09:14:10.457313,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,11,2026-02-01 09:14:10.457313,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:14:10.457313,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:14:10.457313,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:14:10.457313,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,11,2026-02-01 09:14:10.457313,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,12,2026-02-01 09:14:11.482191,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",12,2026-02-01 09:14:11.482191,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,12,2026-02-01 09:14:11.482191,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:14:11.482191,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:14:11.482191,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:14:11.482191,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,12,2026-02-01 09:14:11.482191,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,13,2026-02-01 09:14:12.502903,NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",13,2026-02-01 09:14:12.502903,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,13,2026-02-01 09:14:12.502903,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:14:12.502903,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:14:12.502903,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:14:12.502903,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0
,,,,,,13,2026-02-01 09:14:12.502903,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,14,2026-02-01 09:14:13.537075,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0
