news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-T1,BUY_LUIS-T1
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,2,2026-02-01 04:36:47.663215,NG,2.21,2.19,2.23,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,2,2026-02-01 04:36:47.663215,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 04:36:47.663215,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 04:36:47.663215,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:36:47.663215,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:36:47.663215,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:36:47.663215,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,3,2026-02-01 04:36:48.776357,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,3,2026-02-01 04:36:48.776357,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 04:36:48.776357,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 04:36:48.776357,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:36:48.776357,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:36:48.776357,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:36:48.776357,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,4,2026-02-01 04:36:49.851954,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,4,2026-02-01 04:36:49.851954,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 04:36:49.851954,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 04:36:49.851954,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:36:49.851954,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:36:49.851954,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:36:49.851954,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,5,2026-02-01 04:36:50.880889,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,5,2026-02-01 04:36:50.880889,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 04:36:50.880889,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 04:36:50.880889,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:36:50.880889,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:36:50.880889,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:36:50.880889,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,6,2026-02-01 04:36:51.910070,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,6,2026-02-01 04:36:51.910070,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 04:36:51.910070,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 04:36:51.910070,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:36:51.910070,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:36:51.910070,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:36:51.910070,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,7,2026-02-01 04:36:52.944173,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,7,2026-02-01 04:36:52.944173,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 04:36:52.944173,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 04:36:52.944173,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:36:52.944173,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:36:52.944173,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:36:52.944173,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,8,2026-02-01 04:36:53.971690,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,8,2026-02-01 04:36:53.971690,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 04:36:53.971690,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 04:36:53.971690,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 04:36:53.971690,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 04:36:53.971690,ELEC-day6,0.0,0.0,0.0,,,0,0
