news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,2,2026-02-01 23:18:06.710190,NG,2.21,2.19,2.23,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,2,2026-02-01 23:18:06.710190,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 23:18:06.710190,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 23:18:06.710190,ELEC-day4,0.0,0.0,0.0,,
,,,,,,2,2026-02-01 23:18:06.710190,ELEC-day5,0.0,0.0,0.0,,
,,,,,,2,2026-02-01 23:18:06.710190,ELEC-day6,0.0,0.0,0.0,,
,,,,,,2,2026-02-01 23:18:06.710190,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,3,2026-02-01 23:18:07.745325,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,3,2026-02-01 23:18:07.745325,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 23:18:07.745325,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 23:18:07.745325,ELEC-day4,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 23:18:07.745325,ELEC-day5,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 23:18:07.745325,ELEC-day6,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 23:18:07.745325,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,4,2026-02-01 23:18:08.778749,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,4,2026-02-01 23:18:08.778749,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 23:18:08.778749,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 23:18:08.778749,ELEC-day4,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 23:18:08.778749,ELEC-day5,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 23:18:08.778749,ELEC-day6,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 23:18:08.778749,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,5,2026-02-01 23:18:09.809877,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,5,2026-02-01 23:18:09.809877,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 23:18:09.809877,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 23:18:09.809877,ELEC-day4,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 23:18:09.809877,ELEC-day5,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 23:18:09.809877,ELEC-day6,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 23:18:09.809877,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,6,2026-02-01 23:18:10.849484,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,6,2026-02-01 23:18:10.849484,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 23:18:10.849484,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 23:18:10.849484,ELEC-day4,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 23:18:10.849484,ELEC-day5,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 23:18:10.849484,ELEC-day6,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 23:18:10.849484,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,7,2026-02-01 23:18:11.879734,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,7,2026-02-01 23:18:11.879734,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 23:18:11.879734,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 23:18:11.879734,ELEC-day4,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 23:18:11.879734,ELEC-day5,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 23:18:11.879734,ELEC-day6,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 23:18:11.879734,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,8,2026-02-01 23:18:12.914934,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,8,2026-02-01 23:18:12.914934,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 23:18:12.914934,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 23:18:12.914934,ELEC-day4,0.0,0.0,0.0,,
,,,,,,8,2026-02-01 23:18:12.914934,ELEC-day5,0.0,0.0,0.0,,
,,,,,,8,2026-02-01 23:18:12.914934,ELEC-day6,0.0,0.0,0.0,,
,,,,,,8,2026-02-01 23:18:12.914934,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,9,2026-02-01 23:18:13.945981,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,9,2026-02-01 23:18:13.945981,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",9,2026-02-01 23:18:13.945981,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,9,2026-02-01 23:18:13.945981,ELEC-day4,0.0,0.0,0.0,,
,,,,,,9,2026-02-01 23:18:13.945981,ELEC-day5,0.0,0.0,0.0,,
,,,,,,9,2026-02-01 23:18:13.945981,ELEC-day6,0.0,0.0,0.0,,
,,,,,,9,2026-02-01 23:18:13.945981,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,10,2026-02-01 23:18:14.973909,NG,2.18,2.16,2.2,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,10,2026-02-01 23:18:14.973909,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",10,2026-02-01 23:18:14.973909,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,10,2026-02-01 23:18:14.973909,ELEC-day4,0.0,0.0,0.0,,
,,,,,,10,2026-02-01 23:18:14.973909,ELEC-day5,0.0,0.0,0.0,,
,,,,,,10,2026-02-01 23:18:14.973909,ELEC-day6,0.0,0.0,0.0,,
,,,,,,10,2026-02-01 23:18:14.973909,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,11,2026-02-01 23:18:16.009259,NG,2.18,2.16,2.2,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,11,2026-02-01 23:18:16.009259,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",11,2026-02-01 23:18:16.009259,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,11,2026-02-01 23:18:16.009259,ELEC-day4,0.0,0.0,0.0,,
,,,,,,11,2026-02-01 23:18:16.009259,ELEC-day5,0.0,0.0,0.0,,
,,,,,,11,2026-02-01 23:18:16.009259,ELEC-day6,0.0,0.0,0.0,,
,,,,,,11,2026-02-01 23:18:16.009259,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.,13,2026-02-01 23:18:17.094235,NG,2.17,2.15,2.19,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,13,2026-02-01 23:18:17.094235,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",13,2026-02-01 23:18:17.094235,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,13,2026-02-01 23:18:17.094235,ELEC-day4,0.0,0.0,0.0,,
