news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CHUL-T1,BUY_CHUL-T1
3.0,1.0,1.0,,You are logged in as a TRADER,,1,2026-02-01 23:34:23.764246,NG,2.2,0.0,0.0,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 23:34:23.764246,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 23:34:23.764246,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 23:34:23.764246,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 23:34:23.764246,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 23:34:23.764246,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 23:34:23.764246,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 23:34:24.794268,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 23:34:24.794268,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 23:34:24.794268,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 23:34:24.794268,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 23:34:24.794268,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 23:34:24.794268,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 23:34:24.794268,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 23:34:25.824560,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 23:34:25.824560,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 23:34:25.824560,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 23:34:25.824560,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 23:34:25.824560,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 23:34:25.824560,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 23:34:25.824560,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 23:34:26.864678,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 23:34:26.864678,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 23:34:26.864678,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 23:34:26.864678,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 23:34:26.864678,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 23:34:26.864678,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 23:34:26.864678,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,5,2026-02-01 23:34:27.887565,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 23:34:27.887565,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 23:34:27.887565,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 23:34:27.887565,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 23:34:27.887565,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 23:34:27.887565,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 23:34:27.887565,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,6,2026-02-01 23:34:28.914095,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 23:34:28.914095,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 23:34:28.914095,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 23:34:28.914095,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 23:34:28.914095,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 23:34:28.914095,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 23:34:28.914095,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,7,2026-02-01 23:34:29.934567,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 23:34:29.934567,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 23:34:29.934567,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 23:34:29.934567,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 23:34:29.934567,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 23:34:29.934567,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 23:34:29.934567,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,8,2026-02-01 23:34:30.971718,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 23:34:30.971718,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 23:34:30.971718,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 23:34:30.971718,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 23:34:30.971718,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 23:34:30.971718,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 23:34:30.971718,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,9,2026-02-01 23:34:31.996197,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",9,2026-02-01 23:34:31.996197,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,9,2026-02-01 23:34:31.996197,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 23:34:31.996197,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 23:34:31.996197,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 23:34:31.996197,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 23:34:31.996197,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,10,2026-02-01 23:34:33.027618,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",10,2026-02-01 23:34:33.027618,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,10,2026-02-01 23:34:33.027618,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 23:34:33.027618,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 23:34:33.027618,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 23:34:33.027618,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 23:34:33.027618,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,11,2026-02-01 23:34:34.063757,NG,2.17,2.15,2.19,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",11,2026-02-01 23:34:34.063757,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,11,2026-02-01 23:34:34.063757,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 23:34:34.063757,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 23:34:34.063757,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 23:34:34.063757,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 23:34:34.063757,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,12,2026-02-01 23:34:35.102704,NG,2.17,2.15,2.19,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",12,2026-02-01 23:34:35.102704,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,12,2026-02-01 23:34:35.102704,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 23:34:35.102704,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 23:34:35.102704,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 23:34:35.102704,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 23:34:35.102704,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,13,2026-02-01 23:34:36.123971,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",13,2026-02-01 23:34:36.123971,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,13,2026-02-01 23:34:36.123971,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 23:34:36.123971,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 23:34:36.123971,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 23:34:36.123971,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 23:34:36.123971,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,14,2026-02-01 23:34:37.150112,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",14,2026-02-01 23:34:37.150112,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,14,2026-02-01 23:34:37.150112,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,14,2026-02-01 23:34:37.150112,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,14,2026-02-01 23:34:37.150112,ELEC-day5,0.0,0.0,0.0,,,0,0
