timestamp,tick,period,ticks_until_close,nlv,nlv_delta,pnl_from_start,aggregate_position,aggregate_limit,gross_position,gross_limit,net_position,net_limit,SPNG_pos,SPNG_mid,SPNG_spread,SPNG_vwap,SPNG_unrealized,SPNG_realized,SPNG_momentum,SPNG_vol,SPNG_fill_rate,SPNG_news_adj,SPNG_bid_px,SPNG_ask_px,SPNG_bid_sz,SPNG_ask_sz,SPNG_fills,SPNG_posts,SPNG_cancels,SMMR_pos,SMMR_mid,SMMR_spread,SMMR_vwap,SMMR_unrealized,SMMR_realized,SMMR_momentum,SMMR_vol,SMMR_fill_rate,SMMR_news_adj,SMMR_bid_px,SMMR_ask_px,SMMR_bid_sz,SMMR_ask_sz,SMMR_fills,SMMR_posts,SMMR_cancels,ATMN_pos,ATMN_mid,ATMN_spread,ATMN_vwap,ATMN_unrealized,ATMN_realized,ATMN_momentum,ATMN_vol,ATMN_fill_rate,ATMN_news_adj,ATMN_bid_px,ATMN_ask_px,ATMN_bid_sz,ATMN_ask_sz,ATMN_fills,ATMN_posts,ATMN_cancels,WNTR_pos,WNTR_mid,WNTR_spread,WNTR_vwap,WNTR_unrealized,WNTR_realized,WNTR_momentum,WNTR_vol,WNTR_fill_rate,WNTR_news_adj,WNTR_bid_px,WNTR_ask_px,WNTR_bid_sz,WNTR_ask_sz,WNTR_fills,WNTR_posts,WNTR_cancels
1771296253.243,7,1,53,0.00,0.00,0.00,0,12000,0,50000,0,30000,0,25.1700,0.1400,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,25.09,25.25,1000,1000,0,2,0,0,25.0950,0.0100,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,25.02,25.17,1333,1333,0,2,0,0,25.1350,0.1300,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,25.05,25.21,1166,1166,0,2,0,0,25.0700,0.2800,0.0000,0.00,0.00,0.000450,0.000000,0.000,0.0000,24.93,25.21,1500,1500,0,2,0
1771296256.278,10,1,50,-292.58,0.00,0.00,5333,12000,5333,50000,-667,30000,1000,24.8950,0.0100,24.9100,-20.00,-300.00,-0.001546,0.000000,0.000,0.0000,24.78,24.94,1000,1000,5,15,8,1333,24.9950,0.1300,25.0200,-119.97,26.66,-0.000528,0.000000,0.000,0.0000,24.89,25.06,1333,1333,1,4,1,0,24.9250,0.0100,0.0000,0.00,180.73,-0.001568,0.000000,0.000,0.0000,24.84,25.00,1166,1166,3,11,6,-3000,25.0250,0.2700,25.0025,-472.50,-30.00,0.000056,0.000000,0.000,0.0000,24.93,25.20,1500,1500,6,17,9
1771296259.431,13,1,47,327.66,620.24,0.00,2699,12000,2699,50000,1633,30000,1000,25.0100,0.3000,24.9300,-40.00,-250.00,-0.000158,0.010719,0.000,0.0000,24.67,25.26,1000,1000,7,22,13,-533,25.0400,0.1000,24.9800,-58.63,165.30,-0.000726,0.002076,0.000,0.0000,25.00,25.16,1333,1333,3,13,8,1166,24.9950,0.2900,24.8900,-46.64,303.16,-0.000203,0.005066,0.000,0.0000,24.81,25.10,1166,1166,5,20,13,0,24.9250,0.0900,0.0000,0.00,262.50,-0.000485,0.004201,0.000,0.0000,24.85,25.01,1500,1500,9,24,13
1771296262.431,16,1,44,1286.15,958.49,0.00,3966,12000,3966,50000,3966,30000,2000,25.0500,0.2200,24.8400,200.00,-240.00,0.000839,0.009178,0.000,0.0000,24.80,25.22,1000,1000,7,27,18,800,24.9950,0.0100,25.0100,-16.00,269.28,-0.000055,0.002427,0.000,0.0000,24.88,25.03,1333,1333,6,19,11,1166,25.0450,0.3900,24.9400,-104.94,827.86,0.000926,0.004581,0.000,0.0000,24.81,25.20,4666,4666,8,31,21,0,25.0150,0.0700,0.0000,0.00,262.50,0.000533,0.003726,0.000,0.0000,24.92,25.08,1500,1500,9,26,15
1771296265.590,19,1,41,598.90,-687.25,0.00,9466,12000,9466,50000,5466,30000,-2000,24.9400,0.2000,24.9500,-500.00,20.00,0.000770,0.008587,0.000,0.0000,24.81,25.15,4000,4000,8,33,23,4800,25.0350,0.1500,25.0500,-432.00,407.94,0.000572,0.002284,0.000,0.0000,24.92,25.07,5333,5333,8,25,15,1166,25.0150,0.1500,25.2000,-303.16,617.76,0.000131,0.004345,0.000,0.0000,24.90,25.05,4666,4666,10,43,31,1500,24.8800,0.0600,24.9700,-180.00,435.00,-0.000702,0.003505,0.000,0.0000,24.77,24.93,6000,6000,12,35,21
1771296268.684,22,1,38,1254.84,655.94,0.00,9699,12000,9699,50000,-3367,30000,2000,24.8100,0.1800,24.8100,-180.00,340.00,-0.000701,0.007858,0.000,0.0000,24.62,24.92,4000,4000,9,37,26,-533,25.0700,0.0800,24.9500,-85.28,34.60,0.001072,0.003222,0.000,0.0000,25.03,25.19,5333,5333,9,33,22,1166,24.8800,0.1400,25.0200,-244.86,407.88,-0.000826,0.004099,0.000,0.0000,24.76,24.95,4666,4666,12,50,36,-6000,25.0050,0.0900,24.9975,-315.00,1297.50,0.000872,0.003294,0.000,0.0000,24.96,25.11,6000,6000,15,43,26
1771296271.712,25,1,35,757.18,-497.66,0.00,25966,12000,25966,50000,-10034,30000,2000,25.0750,0.7100,25.2500,-1060.00,220.00,0.005666,0.009297,0.000,0.0000,24.57,25.51,4000,4000,15,50,33,4800,24.9650,0.0500,25.0300,-432.00,98.62,-0.000338,0.003097,0.000,0.0000,24.83,24.99,5333,5333,10,36,24,1166,25.0150,0.0700,24.8260,179.57,391.64,-0.002083,0.006182,0.000,0.0000,24.87,25.07,4666,4666,20,64,42,-18000,24.8850,0.1700,24.9633,2040.00,2482.50,-0.001134,0.003193,0.000,0.0000,24.84,24.85,6000,6000,21,55,33
1771296274.850,28,1,32,-10161.97,-10919.15,0.00,25271,12000,25271,50000,-1661,30000,6000,24.8450,0.4500,24.9100,-1740.00,260.00,-0.000321,0.009198,0.000,0.0000,24.36,25.19,4000,4000,16,65,45,-5169,25.0900,0.0400,25.0300,-413.52,457.99,0.000253,0.002962,0.000,0.0000,25.05,25.21,5333,5333,13,49,32,-8297,25.1550,0.0700,25.1171,-604.62,1237.77,0.000544,0.006917,0.000,0.0000,25.11,25.34,4666,4666,24,73,45,5805,24.9100,0.0200,24.8200,464.40,4735.19,-0.000370,0.003165,0.000,0.0000,24.79,24.92,6000,6000,24,67,40
1771296277.972,31,1,29,-5480.18,4681.79,0.00,22675,12000,22675,50000,337,30000,-6000,25.1050,0.6500,25.2933,-820.00,1840.00,0.000547,0.008792,0.000,0.0000,24.68,25.56,4000,4000,19,77,54,-5169,25.0700,0.1000,25.0800,-206.76,572.85,0.000021,0.002884,0.000,0.0000,25.02,25.17,5333,5333,15,53,34,5701,24.7000,0.0200,24.8073,-383.46,2487.26,-0.001255,0.006661,0.000,0.0000,24.58,24.80,4666,4666,27,82,51,5805,24.7900,0.0200,24.9100,-754.65,5617.65,0.000232,0.003000,0.000,0.0000,24.68,24.84,6000,6000,26,73,44
1771296280.989,34,1,26,-1941.88,3538.30,0.00,16328,12000,16328,50000,-16328,30000,-2000,24.8300,0.3200,25.1711,-317.78,6057.78,0.002120,0.008676,0.000,0.0000,24.58,25.16,4000,3418,22,89,63,-10502,25.0400,0.1000,25.0751,-156.71,1211.17,0.000049,0.002735,0.000,0.0000,25.04,25.20,5333,2846,18,58,36,-3631,24.9450,0.0700,24.9900,36.31,2782.49,-0.000426,0.006347,0.000,0.0000,24.89,25.10,4666,3418,31,92,57,-195,24.9500,0.0800,24.9500,-7.80,6389.85,0.000590,0.003012,0.000,0.0000,24.95,25.11,6000,3418,30,85,52
1771296284.238,37,1,23,1779.00,3720.88,0.00,20424,12000,20424,50000,-4580,30000,-2000,24.7100,0.0800,24.7400,-20.00,6560.00,-0.001438,0.008660,0.005,0.0000,24.56,24.86,4000,4000,24,103,75,-10502,25.1000,0.0600,25.0751,-576.79,1211.17,0.000416,0.002663,0.000,0.0000,25.07,25.23,5333,2913,18,60,38,1035,25.0000,0.2000,25.0000,-103.50,3189.45,0.000631,0.006152,0.018,0.0000,24.87,25.12,4666,4666,34,103,65,6887,24.8950,0.0100,24.8848,35.69,6597.99,-0.000469,0.002914,0.032,0.0000,24.78,24.93,6000,6000,35,95,57
