news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,2,2026-02-12 12:29:52.035738,SPNG,24.66,24.92,24.98,2187600.0,2132600.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-12 12:29:52.035738,SMMR,24.98,24.9,24.98,2012500.0,1950500.0
,,,,,,2,2026-02-12 12:29:52.035738,ATMN,25.0,24.89,25.0,2504500.0,2231800.0
,,,,,,2,2026-02-12 12:29:52.035738,WNTR,25.07,24.98,25.05,2057400.0,1869200.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,3,2026-02-12 12:29:53.052457,SPNG,24.66,24.66,25.17,2094100.0,2132200.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-12 12:29:53.052457,SMMR,25.1,24.9,25.02,2027400.0,1803200.0
,,,,,,3,2026-02-12 12:29:53.052457,ATMN,24.89,24.89,25.0,2474200.0,2231800.0
,,,,,,3,2026-02-12 12:29:53.052457,WNTR,24.98,24.9,24.96,2062300.0,1988700.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,4,2026-02-12 12:29:54.065772,SPNG,25.17,24.66,24.77,2225900.0,2120800.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-12 12:29:54.065772,SMMR,25.02,25.06,25.1,2056400.0,1811800.0
,,,,,,4,2026-02-12 12:29:54.065772,ATMN,24.94,24.89,24.94,2474200.0,2398700.0
,,,,,,4,2026-02-12 12:29:54.065772,WNTR,24.96,24.9,24.96,2063600.0,2078600.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,5,2026-02-12 12:29:55.077784,SPNG,24.77,25.07,25.17,1958000.0,12000.0,2132200.0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-12 12:29:55.077784,SMMR,25.02,25.06,25.1,2056400.0,,2015600.0
,,,,,,5,2026-02-12 12:29:55.077784,ATMN,25.0,24.89,25.0,2465700.0,,2374800.0
,,,,,,5,2026-02-12 12:29:55.077784,WNTR,25.08,24.86,25.08,2050800.0,,1737300.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,6,2026-02-12 12:29:56.089216,SPNG,25.17,25.2,25.29,1981900.0,12000.0,2152500.0,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-12 12:29:56.089216,SMMR,25.06,24.9,25.04,1805200.0,12000.0,1846900.0,12000.0
,,,,,,6,2026-02-12 12:29:56.089216,ATMN,24.9,24.9,25.07,2301500.0,6000.0,2353600.0,
,,,,,,6,2026-02-12 12:29:56.089216,WNTR,25.1,24.86,25.05,2050800.0,,1740500.0,
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,7,2026-02-12 12:29:57.101593,SPNG,24.68,24.69,25.29,1970400.0,12000.0,2126600.0,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-12 12:29:57.101593,SMMR,24.92,24.9,24.92,1810300.0,12000.0,1872800.0,12000.0
,,,,,,7,2026-02-12 12:29:57.101593,ATMN,25.12,24.9,25.12,2165400.0,12000.0,2086100.0,12000.0
,,,,,,7,2026-02-12 12:29:57.101593,WNTR,24.86,24.86,25.05,1873200.0,12000.0,1740500.0,6000.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,8,2026-02-12 12:29:58.113686,SPNG,24.93,24.69,24.9,2080100.0,6000.0,2100800.0,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,8,2026-02-12 12:29:58.113686,SMMR,24.92,24.9,24.92,1677500.0,18000.0,1845600.0,12000.0
,,,,,,8,2026-02-12 12:29:58.113686,ATMN,25.19,24.9,25.19,2165400.0,12000.0,1981100.0,12000.0
,,,,,,8,2026-02-12 12:29:58.113686,WNTR,25.08,24.86,25.02,1837900.0,12000.0,1713500.0,12000.0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,9,2026-02-12 12:29:59.124984,SPNG,24.93,24.69,24.9,2091500.0,6000.0,2100800.0,
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,9,2026-02-12 12:29:59.124984,SMMR,24.92,24.9,24.92,1677500.0,18000.0,1741700.0,18000.0
