timestamp,tick,period,ticks_until_close,nlv,nlv_delta,pnl_from_start,aggregate_position,aggregate_limit,gross_position,gross_limit,net_position,net_limit,SPNG_pos,SPNG_mid,SPNG_spread,SPNG_vwap,SPNG_unrealized,SPNG_realized,SPNG_momentum,SPNG_vol,SPNG_fill_rate,SPNG_news_adj,SPNG_bid_px,SPNG_ask_px,SPNG_bid_sz,SPNG_ask_sz,SPNG_fills,SPNG_posts,SPNG_cancels,SMMR_pos,SMMR_mid,SMMR_spread,SMMR_vwap,SMMR_unrealized,SMMR_realized,SMMR_momentum,SMMR_vol,SMMR_fill_rate,SMMR_news_adj,SMMR_bid_px,SMMR_ask_px,SMMR_bid_sz,SMMR_ask_sz,SMMR_fills,SMMR_posts,SMMR_cancels,ATMN_pos,ATMN_mid,ATMN_spread,ATMN_vwap,ATMN_unrealized,ATMN_realized,ATMN_momentum,ATMN_vol,ATMN_fill_rate,ATMN_news_adj,ATMN_bid_px,ATMN_ask_px,ATMN_bid_sz,ATMN_ask_sz,ATMN_fills,ATMN_posts,ATMN_cancels,WNTR_pos,WNTR_mid,WNTR_spread,WNTR_vwap,WNTR_unrealized,WNTR_realized,WNTR_momentum,WNTR_vol,WNTR_fill_rate,WNTR_news_adj,WNTR_bid_px,WNTR_ask_px,WNTR_bid_sz,WNTR_ask_sz,WNTR_fills,WNTR_posts,WNTR_cancels
1771029539.361,49,1,11,0.00,0.00,0.00,0,9000,0,50000,0,30000,0,25.0600,0.1400,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,0.00,0.00,0,0,0,0,0,0,24.9350,0.1300,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,0.00,0.00,0,0,0,0,0,0,24.9550,0.0300,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,0.00,0.00,0,0,0,0,0,0,24.9950,0.1100,0.0000,0.00,0.00,0.000000,0.000000,0.000,0.0000,0.00,0.00,0,0,0,0,0
1771029542.591,52,1,8,-147.69,0.00,0.00,1044,9000,1044,50000,-156,30000,444,25.2000,0.3000,25.0105,-124.56,-2.13,0.001878,0.000000,0.000,0.0000,25.01,25.31,219,400,1,4,0,0,24.9200,0.0800,0.0000,0.00,0.00,-0.000026,0.000000,0.000,0.0000,24.84,25.00,219,533,0,4,0,0,24.9850,0.4900,0.0000,0.00,0.00,-0.000460,0.000000,0.000,0.0000,24.74,25.23,219,466,0,4,0,-600,24.8350,0.0900,24.8800,-36.00,15.00,-0.001324,0.000000,0.000,0.0000,24.75,24.91,219,600,0,4,0
1771029546.154,56,1,4,-12.64,135.04,0.00,516,9000,516,50000,516,30000,250,25.1000,0.7400,25.0400,-77.50,85.21,-0.000003,0.008370,0.000,0.0000,24.64,25.48,104,200,5,14,0,266,24.9900,0.1200,24.8900,-10.64,90.56,0.000581,0.000693,0.000,0.0000,24.95,25.11,266,104,2,14,0,0,24.8350,0.0500,0.0000,0.00,0.00,-0.000448,0.004618,0.000,0.0000,24.76,24.91,104,233,0,14,0,0,25.0250,0.0500,0.0000,0.00,-77.78,0.001077,0.004912,0.000,0.0000,24.91,25.07,104,300,4,14,0
1771029557.116,67,1,53,157.92,170.56,0.00,483,9000,483,50000,-483,30000,-250,24.7150,0.2100,25.3300,127.50,107.71,0.001060,0.023983,0.000,0.0000,24.54,24.97,4000,4000,5,20,0,0,25.6950,0.0500,0.0000,0.00,125.14,0.000196,0.004585,0.000,0.0000,25.62,25.77,5333,5333,3,20,0,-233,25.4900,0.1800,25.0300,-93.20,3.50,0.004394,0.019427,0.000,0.0000,25.35,25.71,4666,4666,0,20,0,0,23.9400,0.0400,0.0000,0.00,-77.78,0.000171,0.002308,0.000,0.0000,23.86,24.02,6000,6000,4,20,0
1771029560.585,70,1,50,-4821.85,-4979.77,0.00,38351,9000,38351,50000,3685,30000,7632,24.8600,0.0200,24.6010,-2679.12,384.03,0.000777,0.020150,0.000,0.0000,24.66,24.98,3882,4000,6,28,7,-5333,25.7100,0.2200,25.5200,-906.61,1405.06,0.000297,0.003836,0.000,0.0000,25.64,25.88,5333,5333,5,26,4,13386,24.8800,0.2800,25.1817,-3235.50,468.07,-0.004129,0.017584,0.000,0.0000,24.56,25.12,122,4666,4,30,6,-12000,23.9650,0.1100,24.0000,-480.00,222.22,0.000470,0.002024,0.000,0.0000,23.93,24.08,6000,952,5,27,6
1771029563.708,73,1,47,7466.94,12288.78,0.00,21048,9000,21048,50000,13882,30000,4079,24.4750,0.3900,24.5857,-1246.83,721.90,-0.004273,0.019835,0.000,0.0000,24.07,24.86,4000,4000,10,36,11,-2912,25.8050,0.0500,25.6189,-614.75,924.09,0.000916,0.003792,0.000,0.0000,25.74,25.90,5333,5333,6,30,7,13386,24.9900,0.0200,25.1184,6447.11,156.81,0.001779,0.016409,0.000,0.0000,24.82,25.14,122,4666,6,39,13,-671,23.9650,0.0900,24.0000,-6.71,1085.32,0.000353,0.001943,0.000,0.0000,23.92,24.06,5529,5904,6,32,10
1771029567.511,77,1,43,2388.09,-5078.85,0.00,21102,9000,21102,50000,12328,30000,3779,24.3750,0.1700,24.3701,-302.65,3239.51,-0.003022,0.017443,0.000,0.0000,24.19,24.54,4000,4000,13,44,16,-2912,25.6850,0.0300,25.6189,-236.19,924.09,0.000040,0.003726,0.000,0.0000,25.62,25.78,4418,5333,7,38,14,12936,24.9750,0.1300,25.1698,-3230.99,2242.30,-0.001654,0.015280,0.000,0.0000,24.80,25.12,269,4666,9,49,20,-1475,23.8950,0.0900,23.8500,-132.75,1039.99,-0.000319,0.001917,0.000,0.0000,23.83,23.99,4418,6000,8,38,14
1771029570.941,80,1,40,6063.91,3675.82,0.00,12794,9000,12794,50000,-5586,30000,-4221,24.9200,0.2800,24.7011,-1514.92,3961.61,-0.001642,0.016310,0.133,0.0000,24.65,25.21,4000,4000,15,54,24,-2912,25.6850,0.0100,25.6700,-87.36,1201.90,0.000181,0.003438,0.033,0.0000,25.61,25.77,5333,5333,9,44,18,3604,25.0750,0.2700,25.1698,-828.08,1964.51,0.001906,0.014187,0.100,0.0000,24.74,25.28,4666,4666,11,54,23,-2057,23.9100,0.0600,23.9400,-205.70,1571.95,-0.000072,0.001833,0.050,0.0000,23.82,23.98,6000,6000,9,44,19
1771029574.203,84,1,36,7848.89,1784.98,0.00,16918,9000,16918,50000,-16918,30000,-221,24.2600,0.0200,24.7011,95.27,4206.01,-0.001750,0.014999,0.133,0.0000,24.11,24.43,4000,4000,16,58,27,-2912,25.6650,0.0700,25.5800,-349.44,1517.31,0.000183,0.003158,0.033,0.0000,25.66,25.78,5333,5333,11,51,23,-5728,25.1600,0.0800,25.1752,-142.24,1725.78,0.000985,0.013059,0.100,0.0000,25.07,25.39,4666,4666,12,62,30,-8057,23.7550,0.1300,23.9243,-1013.11,1608.79,-0.001309,0.002078,0.050,0.0000,23.60,23.77,6000,6000,11,52,25
1771029577.705,87,1,33,10231.16,2382.27,0.00,12016,9000,12016,50000,-12016,30000,-221,24.6900,0.4800,24.4442,11.98,3222.78,0.002430,0.014245,0.133,0.0000,24.22,25.18,4000,4000,17,68,36,-2912,25.7250,0.0100,25.6200,-320.32,672.96,0.001210,0.003254,0.033,0.0000,25.67,25.82,5333,5333,13,58,28,-1062,24.9800,0.0200,25.1752,196.65,2286.48,0.000026,0.012403,0.100,0.0000,24.89,25.21,4666,4666,13,66,33,-7821,23.6650,0.0100,23.8333,-834.57,4995.20,-0.001125,0.002119,0.050,0.0000,23.59,23.76,6000,5994,14,62,32
